payment_id,payment_number,invoice_id,payment_date,amount_paid,payment_method,reference_number,notes
PAY-00000031,PAY-00000031,INV-00000037,2025-02-01,259.03,Credit Card,REF-215455,
PAY-00000032,PAY-00000032,INV-00000038,2025-07-14,1052.5,Wire Transfer,REF-641533,
PAY-00000033,PAY-00000033,INV-00000039,2025-02-08,412.41,Credit Card,REF-610782,
PAY-00000034,PAY-00000034,INV-00000040,2025-06-01,233.29,ACH,REF-295202,
PAY-00000035,PAY-00000035,INV-00000041,2025-07-24,479.55,Credit Card,REF-503587,
PAY-00000036,PAY-00000036,INV-00000043,2025-05-15,195.4,ACH,REF-346930,
PAY-00000037,PAY-00000037,INV-00000044,2024-03-16,3866.4,ACH,REF-584085,
PAY-00000038,PAY-00000038,INV-00000045,2023-10-09,224.2,Cash,REF-924954,
PAY-00000039,PAY-00000039,INV-00000047,2024-11-07,84.5,Credit Card,REF-370207,
PAY-00000040,PAY-00000040,INV-00000049,2023-08-08,1016.79,Check,REF-882687,
PAY-00000041,PAY-00000041,INV-00000050,2024-03-02,554.0,Wire Transfer,REF-493268,
PAY-00000042,PAY-00000042,INV-00000053,2025-07-16,2124.3,Wire Transfer,REF-324966,
PAY-00000043,PAY-00000043,INV-00000054,2023-11-06,227.7,Check,REF-267772,
PAY-00000044,PAY-00000044,INV-00000055,2023-12-18,18.46,Wire Transfer,REF-359681,
PAY-00000045,PAY-00000045,INV-00000057,2024-07-20,78.97,Wire Transfer,REF-509564,
PAY-00000046,PAY-00000046,INV-00000058,2024-07-13,38.7,Cash,REF-153544,
PAY-00000047,PAY-00000047,INV-00000059,2024-07-29,243.13,Credit Card,REF-589934,
PAY-00000048,PAY-00000048,INV-00000061,2025-02-24,65.92,ACH,REF-141710,
PAY-00000049,PAY-00000049,INV-00000065,2024-05-23,631.5,Wire Transfer,REF-995245,
PAY-00000050,PAY-00000050,INV-00000066,2024-05-09,111.88,Credit Card,REF-414883,
PAY-00000051,PAY-00000051,INV-00000068,2025-01-03,992.8,Cash,REF-525111,
PAY-00000052,PAY-00000052,INV-00000071,2025-08-03,250.3,ACH,REF-675514,
PAY-00000053,PAY-00000053,INV-00000077,2023-09-14,372.85,Check,REF-584773,
PAY-00000054,PAY-00000054,INV-00000079,2025-05-15,153.14,Wire Transfer,REF-280082,
PAY-00000055,PAY-00000055,INV-00000081,2023-10-15,739.4,Cash,REF-613515,
PAY-00000056,PAY-00000056,INV-00000086,2024-12-31,91.35,Credit Card,REF-795368,
PAY-00000057,PAY-00000057,INV-00000087,2024-11-19,745.65,Cash,REF-802367,
PAY-00000058,PAY-00000058,INV-00000088,2024-11-22,200.13,Credit Card,REF-549894,
PAY-00000059,PAY-00000059,INV-00000089,2024-09-27,70.5,Cash,REF-587734,
PAY-00000060,PAY-00000060,INV-00000092,2025-06-01,401.12,Cash,REF-735977,
PAY-00000061,PAY-00000061,INV-00000093,2025-02-13,38.52,Wire Transfer,REF-628182,
PAY-00000062,PAY-00000062,INV-00000095,2023-09-29,1746.95,Wire Transfer,REF-793987,
PAY-00000063,PAY-00000063,INV-00000097,2025-01-11,2903.5,ACH,REF-945478,
PAY-00000064,PAY-00000064,INV-00000098,2025-02-12,462.1,ACH,REF-269985,
PAY-00000065,PAY-00000065,INV-00000099,2025-05-31,2135.0,Check,REF-730437,
PAY-00000066,PAY-00000066,INV-00000100,2025-02-22,92.18,Check,REF-976251,
PAY-00000067,PAY-00000067,INV-00000101,2025-01-25,107.35,Cash,REF-455208,
PAY-00000068,PAY-00000068,INV-00000102,2024-07-09,297.67,Credit Card,REF-818245,
PAY-00000069,PAY-00000069,INV-00000103,2024-06-11,1014.8,Wire Transfer,REF-744069,
PAY-00000070,PAY-00000070,INV-00000104,2023-12-18,47.3,Credit Card,REF-758838,
PAY-00000071,PAY-00000071,INV-00000108,2025-03-27,159.22,Check,REF-586541,
PAY-00000072,PAY-00000072,INV-00000110,2024-03-30,85.5,Cash,REF-792964,
PAY-00000073,PAY-00000073,INV-00000113,2024-04-21,1043.63,Check,REF-793075,
PAY-00000074,PAY-00000074,INV-00000114,2024-03-20,21.4,Wire Transfer,REF-738162,
PAY-00000075,PAY-00000075,INV-00000116,2025-07-06,1228.66,Cash,REF-345553,
PAY-00000076,PAY-00000076,INV-00000118,2025-01-07,2049.15,ACH,REF-239997,
PAY-00000077,PAY-00000077,INV-00000119,2024-04-11,201.96,Wire Transfer,REF-477552,
PAY-00000078,PAY-00000078,INV-00000121,2024-11-23,963.96,Cash,REF-836981,
PAY-00000079,PAY-00000079,INV-00000123,2024-12-26,2646.56,ACH,REF-574080,
PAY-00000080,PAY-00000080,INV-00000124,2025-07-25,574.22,Cash,REF-651262,
PAY-00000081,PAY-00000081,INV-00000125,2025-01-01,319.7,Cash,REF-795164,
PAY-00000082,PAY-00000082,INV-00000127,2024-07-05,982.95,Credit Card,REF-293445,
PAY-00000083,PAY-00000083,INV-00000128,2023-09-23,378.1,Credit Card,REF-957082,
PAY-00000084,PAY-00000084,INV-00000130,2024-03-30,4500.1,Check,REF-688697,
PAY-00000085,PAY-00000085,INV-00000132,2024-12-23,338.73,Credit Card,REF-479870,
PAY-00000086,PAY-00000086,INV-00000134,2024-06-01,757.5,Cash,REF-229018,
PAY-00000087,PAY-00000087,INV-00000135,2024-10-14,3470.91,ACH,REF-665409,
PAY-00000088,PAY-00000088,INV-00000137,2024-01-09,333.89,ACH,REF-372558,
PAY-00000089,PAY-00000089,INV-00000141,2025-07-01,702.0,Cash,REF-810810,
PAY-00000090,PAY-00000090,INV-00000142,2024-10-22,390.61,ACH,REF-214233,
PAY-00000091,PAY-00000091,INV-00000143,2023-12-22,76.76,Wire Transfer,REF-321559,
PAY-00000092,PAY-00000092,INV-00000144,2025-01-23,396.0,Check,REF-406435,
PAY-00000093,PAY-00000093,INV-00000147,2023-10-04,46.15,Credit Card,REF-985071,
PAY-00000094,PAY-00000094,INV-00000149,2024-06-08,21.39,Credit Card,REF-969194,
PAY-00000095,PAY-00000095,INV-00000152,2023-09-22,1001.24,Check,REF-916665,
PAY-00000096,PAY-00000096,INV-00000153,2024-11-24,512.5,ACH,REF-739648,
PAY-00000097,PAY-00000097,INV-00000154,2024-12-17,9.98,Check,REF-827134,
PAY-00000098,PAY-00000098,INV-00000157,2024-01-16,103.5,Credit Card,REF-204850,
PAY-00000099,PAY-00000099,INV-00000158,2024-11-30,171.0,Check,REF-435685,
PAY-00000100,PAY-00000100,INV-00000160,2025-05-01,637.83,ACH,REF-178794,
PAY-00000101,PAY-00000101,INV-00000161,2024-10-17,420.11,Credit Card,REF-975256,
PAY-00000102,PAY-00000102,INV-00000162,2024-03-15,1255.5,Credit Card,REF-381537,
PAY-00000103,PAY-00000103,INV-00000163,2023-11-11,207.0,ACH,REF-714498,
PAY-00000104,PAY-00000104,INV-00000164,2025-05-26,29.5,Cash,REF-861905,
PAY-00000105,PAY-00000105,INV-00000165,2023-12-01,31.54,ACH,REF-363966,
PAY-00000106,PAY-00000106,INV-00000167,2023-08-17,73.2,Cash,REF-557301,
PAY-00000107,PAY-00000107,INV-00000168,2024-03-28,541.69,Cash,REF-410360,
PAY-00000108,PAY-00000108,INV-00000170,2023-08-17,538.0,Cash,REF-657891,
PAY-00000109,PAY-00000109,INV-00000171,2023-09-19,206.0,Check,REF-383184,
PAY-00000110,PAY-00000110,INV-00000172,2023-12-03,127.4,Cash,REF-215452,
PAY-00000111,PAY-00000111,INV-00000173,2024-10-01,26.95,Wire Transfer,REF-996177,
PAY-00000112,PAY-00000112,INV-00000175,2025-06-13,678.35,Wire Transfer,REF-476956,
PAY-00000113,PAY-00000113,INV-00000176,2024-08-05,451.85,ACH,REF-436978,
PAY-00000114,PAY-00000114,INV-00000178,2024-08-20,2566.25,Wire Transfer,REF-764509,
PAY-00000115,PAY-00000115,INV-00000180,2023-12-11,26.22,Credit Card,REF-248408,
PAY-00000116,PAY-00000116,INV-00000183,2024-06-16,26.86,Check,REF-388320,
PAY-00000117,PAY-00000117,INV-00000184,2024-12-19,77.1,Credit Card,REF-435018,
PAY-00000118,PAY-00000118,INV-00000185,2024-03-14,136.61,Credit Card,REF-398615,
PAY-00000119,PAY-00000119,INV-00000186,2025-07-13,41.46,ACH,REF-253759,
PAY-00000120,PAY-00000120,INV-00000187,2024-10-30,1231.25,Credit Card,REF-205182,
PAY-00000121,PAY-00000121,INV-00000188,2024-01-12,646.6,Cash,REF-422106,
PAY-00000122,PAY-00000122,INV-00000191,2025-07-25,85.75,Cash,REF-928412,
PAY-00000123,PAY-00000123,INV-00000193,2025-05-30,227.0,Wire Transfer,REF-372389,
PAY-00000124,PAY-00000124,INV-00000195,2025-03-20,380.01,Cash,REF-775492,
PAY-00000125,PAY-00000125,INV-00000197,2025-05-20,206.55,ACH,REF-202226,
PAY-00000126,PAY-00000126,INV-00000202,2024-01-11,2663.7,Check,REF-442147,
PAY-00000127,PAY-00000127,INV-00000204,2023-12-08,448.4,ACH,REF-958798,
PAY-00000128,PAY-00000128,INV-00000205,2025-02-22,472.45,Wire Transfer,REF-678001,
PAY-00000129,PAY-00000129,INV-00000207,2025-01-27,547.29,Cash,REF-719955,
PAY-00000130,PAY-00000130,INV-00000208,2024-11-30,2069.25,Credit Card,REF-977133,
PAY-00000131,PAY-00000131,INV-00000209,2025-03-13,956.44,ACH,REF-927916,
PAY-00000132,PAY-00000132,INV-00000210,2024-05-30,18211.5,ACH,REF-778528,
PAY-00000133,PAY-00000133,INV-00000211,2024-12-13,101.48,Check,REF-359193,
PAY-00000134,PAY-00000134,INV-00000212,2025-03-01,2988.15,Credit Card,REF-657628,
PAY-00000135,PAY-00000135,INV-00000213,2025-07-27,113.2,Cash,REF-344060,
PAY-00000136,PAY-00000136,INV-00000214,2024-05-13,128.6,Wire Transfer,REF-482403,
PAY-00000137,PAY-00000137,INV-00000215,2024-12-26,20.7,Wire Transfer,REF-176073,
PAY-00000138,PAY-00000138,INV-00000218,2024-12-23,77.53,Cash,REF-864744,
PAY-00000139,PAY-00000139,INV-00000221,2024-08-14,495.2,ACH,REF-292660,
PAY-00000140,PAY-00000140,INV-00000224,2024-03-03,33.94,Credit Card,REF-495291,
PAY-00000141,PAY-00000141,INV-00000225,2023-08-25,294.45,ACH,REF-938647,
PAY-00000142,PAY-00000142,INV-00000228,2025-06-21,329.6,Credit Card,REF-808995,
PAY-00000143,PAY-00000143,INV-00000229,2023-12-25,11.06,Cash,REF-911171,
PAY-00000144,PAY-00000144,INV-00000231,2023-11-30,502.2,Cash,REF-626145,
PAY-00000145,PAY-00000145,INV-00000232,2024-09-07,538.35,Wire Transfer,REF-404250,
PAY-00000146,PAY-00000146,INV-00000233,2025-03-01,11.66,Credit Card,REF-717503,
PAY-00000147,PAY-00000147,INV-00000234,2024-09-13,1638.2,Check,REF-243319,
PAY-00000148,PAY-00000148,INV-00000235,2023-11-21,179.76,ACH,REF-175389,
PAY-00000149,PAY-00000149,INV-00000236,2023-11-09,579.76,Credit Card,REF-516833,
PAY-00000150,PAY-00000150,INV-00000237,2024-07-07,166.5,Wire Transfer,REF-223413,
PAY-00000151,PAY-00000151,INV-00000238,2024-11-27,618.79,ACH,REF-269399,
PAY-00000152,PAY-00000152,INV-00000240,2025-05-17,42.25,Credit Card,REF-691823,
PAY-00000153,PAY-00000153,INV-00000243,2023-10-12,6648.0,Credit Card,REF-844094,
PAY-00000154,PAY-00000154,INV-00000244,2024-04-05,1017.02,Check,REF-755315,
PAY-00000155,PAY-00000155,INV-00000249,2025-04-12,46.4,Check,REF-839003,
PAY-00000156,PAY-00000156,INV-00000253,2025-05-20,303.0,ACH,REF-159961,
PAY-00000157,PAY-00000157,INV-00000254,2025-02-13,138.5,Check,REF-170202,
PAY-00000158,PAY-00000158,INV-00000256,2025-06-29,89.12,Credit Card,REF-649229,
PAY-00000159,PAY-00000159,INV-00000258,2025-07-02,1166.5,Credit Card,REF-433655,
PAY-00000160,PAY-00000160,INV-00000260,2025-07-10,1241.55,Cash,REF-866111,
PAY-00000161,PAY-00000161,INV-00000262,2024-07-17,325.88,Credit Card,REF-456459,
PAY-00000162,PAY-00000162,INV-00000263,2024-11-27,960.1,Check,REF-383129,
PAY-00000163,PAY-00000163,INV-00000264,2025-08-19,5573.08,Check,REF-160917,
PAY-00000164,PAY-00000164,INV-00000265,2024-09-12,593.37,Credit Card,REF-319312,
PAY-00000165,PAY-00000165,INV-00000266,2025-02-19,40.35,ACH,REF-911271,
PAY-00000166,PAY-00000166,INV-00000269,2024-12-22,41.3,Cash,REF-167988,
PAY-00000167,PAY-00000167,INV-00000274,2025-02-27,1455.0,ACH,REF-626481,
PAY-00000168,PAY-00000168,INV-00000275,2024-09-15,276.25,ACH,REF-960322,
PAY-00000169,PAY-00000169,INV-00000277,2024-04-23,112.8,ACH,REF-979239,
PAY-00000170,PAY-00000170,INV-00000282,2024-05-01,715.3,Credit Card,REF-175429,
PAY-00000171,PAY-00000171,INV-00000283,2023-12-12,1735.45,ACH,REF-102711,
PAY-00000172,PAY-00000172,INV-00000285,2025-06-25,838.0,Check,REF-327039,
PAY-00000173,PAY-00000173,INV-00000286,2025-06-24,1026.5,ACH,REF-179430,
PAY-00000174,PAY-00000174,INV-00000289,2024-10-09,357.45,Check,REF-598700,
PAY-00000175,PAY-00000175,INV-00000291,2024-03-29,958.2,Wire Transfer,REF-178197,
PAY-00000176,PAY-00000176,INV-00000292,2024-07-19,410.45,Check,REF-280069,
PAY-00000177,PAY-00000177,INV-00000294,2023-09-15,39.5,Wire Transfer,REF-536167,
PAY-00000178,PAY-00000178,INV-00000296,2025-07-29,9.76,Cash,REF-500225,
PAY-00000179,PAY-00000179,INV-00000298,2023-07-13,340.78,Wire Transfer,REF-313974,
PAY-00000180,PAY-00000180,INV-00000299,2024-12-07,777.42,Credit Card,REF-347868,
PAY-00000181,PAY-00000181,INV-00000301,2025-02-06,84.89,Cash,REF-125882,
PAY-00000182,PAY-00000182,INV-00000302,2024-05-11,16.94,Wire Transfer,REF-889304,
PAY-00000183,PAY-00000183,INV-00000303,2023-08-10,110.5,Check,REF-782239,
PAY-00000184,PAY-00000184,INV-00000304,2025-07-01,87.55,Credit Card,REF-647507,
PAY-00000185,PAY-00000185,INV-00000306,2024-06-28,73.2,Check,REF-140307,
PAY-00000186,PAY-00000186,INV-00000308,2025-02-08,43.4,ACH,REF-798469,
PAY-00000187,PAY-00000187,INV-00000309,2024-02-06,382.8,Check,REF-488062,
PAY-00000188,PAY-00000188,INV-00000310,2024-03-19,174.12,Check,REF-825260,
PAY-00000189,PAY-00000189,INV-00000311,2025-04-01,20.53,Wire Transfer,REF-716181,
PAY-00000190,PAY-00000190,INV-00000312,2025-07-16,898.2,ACH,REF-153435,
PAY-00000191,PAY-00000191,INV-00000313,2024-01-11,57.3,Check,REF-345047,
PAY-00000192,PAY-00000192,INV-00000314,2024-02-24,267.67,Credit Card,REF-989135,
PAY-00000193,PAY-00000193,INV-00000315,2025-06-24,4782.5,Cash,REF-722218,
PAY-00000194,PAY-00000194,INV-00000317,2025-02-21,992.8,ACH,REF-885611,
PAY-00000195,PAY-00000195,INV-00000320,2024-03-20,105.02,Credit Card,REF-498129,
PAY-00000196,PAY-00000196,INV-00000321,2025-04-09,270.59,Wire Transfer,REF-723862,
PAY-00000197,PAY-00000197,INV-00000322,2025-06-26,1008.1,Wire Transfer,REF-725184,
PAY-00000198,PAY-00000198,INV-00000323,2024-01-30,302.52,Check,REF-570110,
PAY-00000199,PAY-00000199,INV-00000324,2025-04-12,14.88,Wire Transfer,REF-569435,
PAY-00000200,PAY-00000200,INV-00000325,2025-01-27,351.52,Check,REF-728253,
PAY-00000201,PAY-00000201,INV-00000326,2024-12-19,3.66,Wire Transfer,REF-107521,
PAY-00000202,PAY-00000202,INV-00000331,2023-10-01,15.67,Credit Card,REF-453068,
PAY-00000203,PAY-00000203,INV-00000332,2025-07-28,456.48,ACH,REF-579041,
PAY-00000204,PAY-00000204,INV-00000333,2023-09-27,1530.68,Credit Card,REF-749187,
PAY-00000205,PAY-00000205,INV-00000334,2025-08-13,18.8,Wire Transfer,REF-694794,
PAY-00000206,PAY-00000206,INV-00000335,2024-05-24,163.06,Wire Transfer,REF-322719,
PAY-00000207,PAY-00000207,INV-00000336,2025-06-02,7661.5,Credit Card,REF-429033,
PAY-00000208,PAY-00000208,INV-00000339,2023-09-13,374.15,Credit Card,REF-378197,
PAY-00000209,PAY-00000209,INV-00000340,2023-11-02,182.03,Cash,REF-161446,
PAY-00000210,PAY-00000210,INV-00000344,2023-12-23,7.06,ACH,REF-307529,
PAY-00000211,PAY-00000211,INV-00000346,2024-05-19,1076.95,Check,REF-374390,
PAY-00000212,PAY-00000212,INV-00000347,2024-03-30,254.1,Wire Transfer,REF-779899,
PAY-00000213,PAY-00000213,INV-00000349,2024-05-24,135.8,Credit Card,REF-386668,
PAY-00000214,PAY-00000214,INV-00000350,2023-12-20,37.34,Credit Card,REF-172556,
PAY-00000215,PAY-00000215,INV-00000351,2023-12-31,1846.0,Cash,REF-115721,
PAY-00000216,PAY-00000216,INV-00000352,2024-03-24,26.18,Credit Card,REF-311591,
PAY-00000217,PAY-00000217,INV-00000353,2024-06-04,3288.87,Check,REF-643967,
PAY-00000218,PAY-00000218,INV-00000354,2025-04-23,584.12,Wire Transfer,REF-482247,
PAY-00000219,PAY-00000219,INV-00000356,2023-08-25,3163.03,Cash,REF-607222,
PAY-00000220,PAY-00000220,INV-00000357,2024-07-07,1350.9,Check,REF-608267,
PAY-00000221,PAY-00000221,INV-00000359,2025-06-13,164.89,Wire Transfer,REF-139760,
PAY-00000222,PAY-00000222,INV-00000360,2024-08-26,130.59,Check,REF-978743,
PAY-00000223,PAY-00000223,INV-00000363,2025-01-01,89.27,Credit Card,REF-742548,
PAY-00000224,PAY-00000224,INV-00000364,2024-05-23,1009.8,Cash,REF-852068,
PAY-00000225,PAY-00000225,INV-00000365,2025-03-21,127.39,Credit Card,REF-904668,
PAY-00000226,PAY-00000226,INV-00000366,2025-06-26,58.46,Credit Card,REF-432603,
PAY-00000227,PAY-00000227,INV-00000367,2025-06-06,590.51,Wire Transfer,REF-883478,
PAY-00000228,PAY-00000228,INV-00000369,2025-05-30,44.02,Credit Card,REF-435394,
PAY-00000229,PAY-00000229,INV-00000371,2025-04-25,752.69,Check,REF-846388,
PAY-00000230,PAY-00000230,INV-00000372,2023-11-26,1.49,Credit Card,REF-229765,
PAY-00000231,PAY-00000231,INV-00000373,2024-04-01,29.95,Check,REF-676126,
PAY-00000232,PAY-00000232,INV-00000375,2024-01-06,126.6,Cash,REF-226655,
PAY-00000233,PAY-00000233,INV-00000376,2025-06-22,276.5,Wire Transfer,REF-704745,
PAY-00000234,PAY-00000234,INV-00000377,2024-10-14,9255.9,ACH,REF-244069,
PAY-00000235,PAY-00000235,INV-00000379,2024-04-24,791.2,ACH,REF-285705,
PAY-00000236,PAY-00000236,INV-00000380,2025-05-04,273.22,ACH,REF-592318,
PAY-00000237,PAY-00000237,INV-00000381,2023-11-10,2196.34,Check,REF-773870,
PAY-00000238,PAY-00000238,INV-00000384,2024-09-13,250.8,Cash,REF-774592,
PAY-00000239,PAY-00000239,INV-00000385,2025-03-07,2611.8,Check,REF-986906,
PAY-00000240,PAY-00000240,INV-00000387,2023-09-02,2466.0,Check,REF-391972,
PAY-00000241,PAY-00000241,INV-00000388,2024-10-11,366.9,Cash,REF-240599,
PAY-00000242,PAY-00000242,INV-00000389,2025-05-02,882.56,ACH,REF-873065,
PAY-00000243,PAY-00000243,INV-00000392,2024-03-18,278.7,Credit Card,REF-728391,
PAY-00000244,PAY-00000244,INV-00000394,2025-06-22,171.0,Credit Card,REF-579789,
PAY-00000245,PAY-00000245,INV-00000395,2025-03-17,151.3,ACH,REF-945958,
PAY-00000246,PAY-00000246,INV-00000398,2023-10-22,2282.09,Cash,REF-502383,
PAY-00000247,PAY-00000247,INV-00000399,2024-12-09,2175.0,Wire Transfer,REF-218558,
PAY-00000248,PAY-00000248,INV-00000400,2025-01-07,227.8,Cash,REF-471315,
PAY-00000249,PAY-00000249,INV-00000401,2024-09-20,6.58,ACH,REF-698621,
PAY-00000250,PAY-00000250,INV-00000402,2024-05-16,110.9,ACH,REF-443840,
PAY-00000251,PAY-00000251,INV-00000405,2024-04-20,39.5,Cash,REF-511324,
PAY-00000252,PAY-00000252,INV-00000407,2023-12-18,681.9,Cash,REF-276475,
PAY-00000253,PAY-00000253,INV-00000408,2024-04-22,739.5,Wire Transfer,REF-358451,
PAY-00000254,PAY-00000254,INV-00000409,2024-07-27,366.94,Wire Transfer,REF-404351,
PAY-00000255,PAY-00000255,INV-00000411,2024-03-20,384.15,Wire Transfer,REF-909327,
PAY-00000256,PAY-00000256,INV-00000417,2025-03-16,63.2,Credit Card,REF-938823,
PAY-00000257,PAY-00000257,INV-00000419,2024-03-05,752.4,ACH,REF-296116,
PAY-00000258,PAY-00000258,INV-00000420,2024-11-24,1036.5,Cash,REF-583083,
PAY-00000259,PAY-00000259,INV-00000421,2024-06-30,376.07,Credit Card,REF-935520,
PAY-00000260,PAY-00000260,INV-00000422,2024-07-19,1242.15,Check,REF-119538,
PAY-00000261,PAY-00000261,INV-00000423,2023-12-17,24.16,Check,REF-222315,
PAY-00000262,PAY-00000262,INV-00000427,2024-11-26,153.25,Cash,REF-579827,
PAY-00000263,PAY-00000263,INV-00000428,2024-08-21,461.86,ACH,REF-781476,
PAY-00000264,PAY-00000264,INV-00000430,2024-12-29,92.9,Wire Transfer,REF-213149,
PAY-00000265,PAY-00000265,INV-00000433,2024-05-15,4076.5,ACH,REF-282602,
PAY-00000266,PAY-00000266,INV-00000437,2024-09-22,49.58,Credit Card,REF-513583,
PAY-00000267,PAY-00000267,INV-00000439,2025-02-22,101.37,Credit Card,REF-268844,
PAY-00000268,PAY-00000268,INV-00000442,2024-08-31,406.59,Wire Transfer,REF-119966,
PAY-00000269,PAY-00000269,INV-00000443,2025-07-31,167.8,Wire Transfer,REF-900409,
PAY-00000270,PAY-00000270,INV-00000444,2024-06-19,100.06,ACH,REF-624719,
PAY-00000271,PAY-00000271,INV-00000445,2025-01-02,20.5,Wire Transfer,REF-397046,
PAY-00000272,PAY-00000272,INV-00000447,2025-01-20,8.46,ACH,REF-859548,
PAY-00000273,PAY-00000273,INV-00000449,2024-12-21,68.44,Wire Transfer,REF-557171,
PAY-00000274,PAY-00000274,INV-00000451,2025-01-28,124.24,Check,REF-269782,
PAY-00000275,PAY-00000275,INV-00000452,2024-01-24,9937.5,ACH,REF-829714,
PAY-00000276,PAY-00000276,INV-00000453,2025-06-16,367.74,Cash,REF-623824,
PAY-00000277,PAY-00000277,INV-00000455,2025-06-22,2012.0,Wire Transfer,REF-889376,
PAY-00000278,PAY-00000278,INV-00000456,2025-03-30,472.01,Check,REF-305922,
PAY-00000279,PAY-00000279,INV-00000457,2024-05-25,641.51,Credit Card,REF-488735,
PAY-00000280,PAY-00000280,INV-00000459,2025-07-13,45.21,ACH,REF-699918,
PAY-00000281,PAY-00000281,INV-00000462,2025-07-17,7171.5,Check,REF-270478,
PAY-00000282,PAY-00000282,INV-00000463,2023-10-24,745.46,Wire Transfer,REF-403666,
PAY-00000283,PAY-00000283,INV-00000465,2025-02-15,49.95,Cash,REF-102014,
PAY-00000284,PAY-00000284,INV-00000466,2024-02-14,33.62,Wire Transfer,REF-931940,
PAY-00000285,PAY-00000285,INV-00000467,2023-12-01,98.48,Credit Card,REF-605408,
PAY-00000286,PAY-00000286,INV-00000470,2024-09-17,981.5,Cash,REF-925543,
PAY-00000287,PAY-00000287,INV-00000471,2024-07-25,702.1,Wire Transfer,REF-800746,
PAY-00000288,PAY-00000288,INV-00000473,2023-10-15,256.3,Cash,REF-141699,
PAY-00000289,PAY-00000289,INV-00000474,2025-04-25,889.0,Credit Card,REF-687948,
PAY-00000290,PAY-00000290,INV-00000477,2024-10-02,60.98,Cash,REF-687028,
PAY-00000291,PAY-00000291,INV-00000479,2024-10-06,85.29,Credit Card,REF-890481,
PAY-00000292,PAY-00000292,INV-00000480,2024-09-05,1056.09,Check,REF-500671,
PAY-00000293,PAY-00000293,INV-00000482,2023-10-23,276.0,Credit Card,REF-908705,
PAY-00000294,PAY-00000294,INV-00000483,2024-09-05,403.2,Wire Transfer,REF-587909,
PAY-00000295,PAY-00000295,INV-00000484,2025-01-18,8.29,ACH,REF-817613,
PAY-00000296,PAY-00000296,INV-00000487,2024-01-29,29.6,Check,REF-956283,
PAY-00000297,PAY-00000297,INV-00000489,2024-05-07,9.09,Credit Card,REF-876898,
PAY-00000298,PAY-00000298,INV-00000490,2025-06-05,31.07,Cash,REF-751043,
PAY-00000299,PAY-00000299,INV-00000492,2024-09-25,27.36,Credit Card,REF-970204,
PAY-00000300,PAY-00000300,INV-00000494,2024-10-29,16.9,Wire Transfer,REF-515992,
