receipt_id,receipt_number,po_id,receipt_date,quantity_received,warehouse_id,quality_check_passed,notes
GR-00000050,GR-00000050,PO-00000037,2023-12-29,26,WH-003,1,
GR-00000051,GR-00000051,PO-00000037,2024-01-04,74,WH-002,0,
GR-00000052,GR-00000052,PO-00000039,2025-06-27,150,WH-001,1,
GR-00000053,GR-00000053,PO-00000040,2024-05-03,100,WH-001,1,
GR-00000054,GR-00000054,PO-00000041,2025-02-14,200,WH-003,1,
GR-00000055,GR-00000055,PO-00000042,2024-05-18,150,WH-002,1,
GR-00000056,GR-00000056,PO-00000043,2025-01-03,75,WH-001,1,
GR-00000057,GR-00000057,PO-00000044,2025-02-04,25,WH-001,1,
GR-00000058,GR-00000058,PO-00000045,2024-08-08,20,WH-002,1,
GR-00000059,GR-00000059,PO-00000046,2025-03-13,20,WH-003,0,
GR-00000060,GR-00000060,PO-00000047,2025-06-13,100,WH-003,1,
GR-00000061,GR-00000061,PO-00000048,2025-01-12,50,WH-001,1,
GR-00000062,GR-00000062,PO-00000049,2024-09-08,25,WH-003,1,
GR-00000063,GR-00000063,PO-00000050,2023-10-10,200,WH-002,1,
GR-00000064,GR-00000064,PO-00000052,2023-12-24,150,WH-003,1,
GR-00000065,GR-00000065,PO-00000053,2023-09-07,2,WH-002,1,
GR-00000066,GR-00000066,PO-00000053,2023-09-07,48,WH-002,1,
GR-00000067,GR-00000067,PO-00000054,2024-08-08,150,WH-002,1,
GR-00000068,GR-00000068,PO-00000055,2024-05-19,17,WH-002,1,
GR-00000069,GR-00000069,PO-00000055,2024-05-18,58,WH-002,1,
GR-00000070,GR-00000070,PO-00000056,2024-06-05,10,WH-003,1,
GR-00000071,GR-00000071,PO-00000057,2023-09-08,100,WH-001,1,
GR-00000072,GR-00000072,PO-00000058,2024-11-24,33,WH-003,1,
GR-00000073,GR-00000073,PO-00000058,2024-11-26,67,WH-003,1,
GR-00000074,GR-00000074,PO-00000059,2025-06-09,200,WH-003,1,
GR-00000075,GR-00000075,PO-00000060,2024-09-01,150,WH-001,1,
GR-00000076,GR-00000076,PO-00000061,2023-08-27,20,WH-003,1,
GR-00000077,GR-00000077,PO-00000062,2025-04-14,20,WH-002,1,
GR-00000078,GR-00000078,PO-00000063,2023-08-01,200,WH-003,1,
GR-00000079,GR-00000079,PO-00000064,2024-04-18,75,WH-002,1,
GR-00000080,GR-00000080,PO-00000065,2024-11-21,14,WH-002,1,
GR-00000081,GR-00000081,PO-00000065,2024-11-24,136,WH-001,1,
GR-00000082,GR-00000082,PO-00000067,2024-04-01,75,WH-003,1,
GR-00000083,GR-00000083,PO-00000068,2024-06-03,4,WH-001,1,
GR-00000084,GR-00000084,PO-00000068,2024-06-03,6,WH-001,1,
GR-00000085,GR-00000085,PO-00000069,2024-09-10,20,WH-002,1,
GR-00000086,GR-00000086,PO-00000070,2025-03-12,16,WH-001,1,
GR-00000087,GR-00000087,PO-00000070,2025-03-12,34,WH-001,1,
GR-00000088,GR-00000088,PO-00000071,2024-11-23,75,WH-003,0,
GR-00000089,GR-00000089,PO-00000072,2023-07-31,50,WH-003,1,
GR-00000090,GR-00000090,PO-00000073,2024-09-12,25,WH-001,1,
GR-00000091,GR-00000091,PO-00000074,2024-01-08,100,WH-003,1,
GR-00000092,GR-00000092,PO-00000075,2024-11-10,10,WH-001,1,
GR-00000093,GR-00000093,PO-00000076,2024-04-14,200,WH-001,1,
GR-00000094,GR-00000094,PO-00000077,2025-01-16,17,WH-002,1,
GR-00000095,GR-00000095,PO-00000077,2025-01-21,58,WH-003,1,
GR-00000096,GR-00000096,PO-00000078,2024-05-07,25,WH-003,1,
GR-00000097,GR-00000097,PO-00000079,2024-10-23,23,WH-002,1,
GR-00000098,GR-00000098,PO-00000079,2024-10-27,52,WH-001,1,
GR-00000099,GR-00000099,PO-00000081,2023-08-16,200,WH-002,1,
GR-00000100,GR-00000100,PO-00000082,2025-05-15,20,WH-003,1,
GR-00000101,GR-00000101,PO-00000083,2024-08-15,20,WH-003,1,
GR-00000102,GR-00000102,PO-00000084,2024-01-28,3,WH-003,1,
GR-00000103,GR-00000103,PO-00000084,2024-02-01,8,WH-002,1,
GR-00000104,GR-00000104,PO-00000084,2024-01-27,9,WH-001,1,
GR-00000105,GR-00000105,PO-00000085,2025-04-16,3,WH-003,1,
GR-00000106,GR-00000106,PO-00000085,2025-04-20,97,WH-001,1,
GR-00000107,GR-00000107,PO-00000086,2024-12-19,100,WH-002,1,
GR-00000108,GR-00000108,PO-00000087,2024-05-03,150,WH-001,1,
GR-00000109,GR-00000109,PO-00000088,2023-12-12,25,WH-003,1,
GR-00000110,GR-00000110,PO-00000089,2024-04-13,50,WH-003,1,
GR-00000111,GR-00000111,PO-00000090,2024-10-01,200,WH-003,1,
GR-00000112,GR-00000112,PO-00000091,2024-09-11,46,WH-003,0,
GR-00000113,GR-00000113,PO-00000091,2024-09-10,35,WH-001,1,
GR-00000114,GR-00000114,PO-00000091,2024-09-12,69,WH-003,1,
GR-00000115,GR-00000115,PO-00000092,2024-03-04,10,WH-002,1,
GR-00000116,GR-00000116,PO-00000093,2024-01-30,100,WH-001,1,
GR-00000117,GR-00000117,PO-00000094,2024-03-29,30,WH-003,1,
GR-00000118,GR-00000118,PO-00000094,2024-03-30,120,WH-001,1,
GR-00000119,GR-00000119,PO-00000095,2023-08-22,10,WH-003,1,
GR-00000120,GR-00000120,PO-00000096,2024-03-23,50,WH-001,1,
GR-00000121,GR-00000121,PO-00000097,2025-04-23,5,WH-003,1,
GR-00000122,GR-00000122,PO-00000097,2025-04-22,15,WH-001,1,
GR-00000123,GR-00000123,PO-00000098,2023-08-22,20,WH-002,1,
GR-00000124,GR-00000124,PO-00000099,2024-10-14,2,WH-001,1,
GR-00000125,GR-00000125,PO-00000099,2024-10-13,8,WH-003,1,
GR-00000126,GR-00000126,PO-00000100,2024-05-22,10,WH-001,1,
GR-00000127,GR-00000127,PO-00000101,2024-10-12,200,WH-003,1,
GR-00000128,GR-00000128,PO-00000102,2025-03-02,200,WH-002,1,
GR-00000129,GR-00000129,PO-00000103,2023-12-10,50,WH-002,1,
GR-00000130,GR-00000130,PO-00000104,2023-12-01,200,WH-003,1,
GR-00000131,GR-00000131,PO-00000105,2025-01-22,100,WH-002,1,
GR-00000132,GR-00000132,PO-00000106,2023-07-29,75,WH-003,1,
GR-00000133,GR-00000133,PO-00000107,2024-02-02,3,WH-003,1,
GR-00000134,GR-00000134,PO-00000107,2024-02-02,7,WH-003,1,
GR-00000135,GR-00000135,PO-00000108,2024-12-06,100,WH-001,1,
GR-00000136,GR-00000136,PO-00000109,2024-09-27,36,WH-001,1,
GR-00000137,GR-00000137,PO-00000109,2024-09-25,64,WH-003,1,
GR-00000138,GR-00000138,PO-00000110,2023-08-03,50,WH-001,1,
GR-00000139,GR-00000139,PO-00000110,2023-08-01,33,WH-003,1,
GR-00000140,GR-00000140,PO-00000110,2023-07-30,117,WH-001,1,
GR-00000141,GR-00000141,PO-00000111,2024-07-10,50,WH-001,1,
GR-00000142,GR-00000142,PO-00000112,2024-07-05,100,WH-001,1,
GR-00000143,GR-00000143,PO-00000114,2024-04-26,2,WH-001,1,
GR-00000144,GR-00000144,PO-00000114,2024-04-27,7,WH-001,1,
GR-00000145,GR-00000145,PO-00000114,2024-04-28,66,WH-003,1,
GR-00000146,GR-00000146,PO-00000115,2024-03-31,10,WH-001,1,
GR-00000147,GR-00000147,PO-00000116,2024-06-07,100,WH-003,1,
GR-00000148,GR-00000148,PO-00000117,2023-09-13,31,WH-002,1,
GR-00000149,GR-00000149,PO-00000117,2023-09-15,39,WH-001,1,
GR-00000150,GR-00000150,PO-00000117,2023-09-16,80,WH-003,1,
GR-00000151,GR-00000151,PO-00000118,2024-08-03,50,WH-003,1,
GR-00000152,GR-00000152,PO-00000119,2024-05-05,18,WH-001,1,
GR-00000153,GR-00000153,PO-00000119,2024-05-04,32,WH-003,1,
GR-00000154,GR-00000154,PO-00000120,2025-03-09,1,WH-002,1,
GR-00000155,GR-00000155,PO-00000120,2025-03-12,24,WH-001,1,
GR-00000156,GR-00000156,PO-00000121,2024-09-02,20,WH-003,1,
GR-00000157,GR-00000157,PO-00000122,2024-08-19,1,WH-003,1,
GR-00000158,GR-00000158,PO-00000122,2024-08-19,24,WH-002,1,
GR-00000159,GR-00000159,PO-00000123,2025-03-17,150,WH-001,0,
GR-00000160,GR-00000160,PO-00000124,2024-09-01,200,WH-003,1,
GR-00000161,GR-00000161,PO-00000125,2023-10-07,46,WH-003,1,
GR-00000162,GR-00000162,PO-00000125,2023-10-13,54,WH-002,1,
GR-00000163,GR-00000163,PO-00000126,2024-11-18,3,WH-001,0,
GR-00000164,GR-00000164,PO-00000126,2024-11-18,16,WH-001,0,
GR-00000165,GR-00000165,PO-00000126,2024-11-22,31,WH-001,1,
GR-00000166,GR-00000166,PO-00000127,2024-12-04,20,WH-002,1,
GR-00000167,GR-00000167,PO-00000127,2024-12-05,130,WH-001,1,
GR-00000168,GR-00000168,PO-00000129,2024-03-09,20,WH-003,1,
GR-00000169,GR-00000169,PO-00000130,2024-06-22,100,WH-001,1,
GR-00000170,GR-00000170,PO-00000131,2024-05-22,75,WH-002,1,
GR-00000171,GR-00000171,PO-00000133,2025-01-15,50,WH-002,1,
GR-00000172,GR-00000172,PO-00000134,2024-06-03,100,WH-002,1,
GR-00000173,GR-00000173,PO-00000135,2023-08-14,51,WH-001,1,
GR-00000174,GR-00000174,PO-00000135,2023-08-16,149,WH-001,1,
GR-00000175,GR-00000175,PO-00000136,2024-07-25,200,WH-001,1,
GR-00000176,GR-00000176,PO-00000137,2023-08-16,10,WH-002,1,
GR-00000177,GR-00000177,PO-00000137,2023-08-20,65,WH-001,1,
GR-00000178,GR-00000178,PO-00000138,2024-02-22,150,WH-003,1,
GR-00000179,GR-00000179,PO-00000140,2024-01-17,8,WH-001,1,
GR-00000180,GR-00000180,PO-00000140,2024-01-17,12,WH-002,1,
GR-00000181,GR-00000181,PO-00000141,2024-08-18,50,WH-001,1,
GR-00000182,GR-00000182,PO-00000142,2024-12-27,200,WH-001,1,
GR-00000183,GR-00000183,PO-00000143,2024-09-28,20,WH-002,1,
GR-00000184,GR-00000184,PO-00000144,2024-06-13,3,WH-003,1,
GR-00000185,GR-00000185,PO-00000144,2024-06-12,22,WH-002,1,
GR-00000186,GR-00000186,PO-00000145,2024-10-26,50,WH-002,1,
GR-00000187,GR-00000187,PO-00000146,2024-04-13,150,WH-002,1,
GR-00000188,GR-00000188,PO-00000148,2024-01-24,75,WH-002,1,
GR-00000189,GR-00000189,PO-00000149,2023-10-24,25,WH-002,1,
GR-00000190,GR-00000190,PO-00000150,2025-01-17,33,WH-003,1,
GR-00000191,GR-00000191,PO-00000150,2025-01-14,42,WH-002,1,
GR-00000192,GR-00000192,PO-00000152,2023-12-27,100,WH-003,1,
GR-00000193,GR-00000193,PO-00000153,2025-06-28,3,WH-001,1,
GR-00000194,GR-00000194,PO-00000153,2025-06-26,5,WH-001,1,
GR-00000195,GR-00000195,PO-00000153,2025-06-25,12,WH-002,1,
GR-00000196,GR-00000196,PO-00000154,2023-07-27,50,WH-003,1,
GR-00000197,GR-00000197,PO-00000155,2023-10-29,200,WH-003,1,
GR-00000198,GR-00000198,PO-00000156,2023-12-30,75,WH-003,1,
GR-00000199,GR-00000199,PO-00000157,2025-05-26,150,WH-003,1,
GR-00000200,GR-00000200,PO-00000158,2023-09-10,25,WH-001,1,
GR-00000201,GR-00000201,PO-00000159,2024-05-29,20,WH-001,1,
GR-00000202,GR-00000202,PO-00000160,2024-07-24,50,WH-002,1,
GR-00000203,GR-00000203,PO-00000161,2024-02-11,10,WH-003,0,
GR-00000204,GR-00000204,PO-00000162,2023-09-06,4,WH-001,1,
GR-00000205,GR-00000205,PO-00000162,2023-09-10,21,WH-003,1,
GR-00000206,GR-00000206,PO-00000163,2024-08-30,8,WH-002,1,
GR-00000207,GR-00000207,PO-00000163,2024-09-01,42,WH-001,1,
GR-00000208,GR-00000208,PO-00000164,2024-09-19,100,WH-002,1,
GR-00000209,GR-00000209,PO-00000165,2024-05-01,50,WH-002,1,
GR-00000210,GR-00000210,PO-00000168,2025-05-20,25,WH-003,1,
GR-00000211,GR-00000211,PO-00000169,2025-03-16,10,WH-003,1,
GR-00000212,GR-00000212,PO-00000170,2023-12-01,50,WH-002,1,
GR-00000213,GR-00000213,PO-00000171,2024-08-10,5,WH-001,1,
GR-00000214,GR-00000214,PO-00000171,2024-08-07,15,WH-002,1,
GR-00000215,GR-00000215,PO-00000172,2025-03-29,10,WH-002,1,
GR-00000216,GR-00000216,PO-00000173,2023-09-13,100,WH-003,1,
GR-00000217,GR-00000217,PO-00000174,2024-06-20,1,WH-002,1,
GR-00000218,GR-00000218,PO-00000174,2024-06-19,9,WH-002,1,
GR-00000219,GR-00000219,PO-00000177,2023-12-03,1,WH-003,1,
GR-00000220,GR-00000220,PO-00000177,2023-12-03,4,WH-001,1,
GR-00000221,GR-00000221,PO-00000177,2023-12-07,5,WH-003,0,
GR-00000222,GR-00000222,PO-00000178,2023-10-15,19,WH-001,1,
GR-00000223,GR-00000223,PO-00000178,2023-10-16,7,WH-003,1,
GR-00000224,GR-00000224,PO-00000178,2023-10-11,24,WH-002,1,
GR-00000225,GR-00000225,PO-00000179,2024-01-28,50,WH-003,1,
GR-00000226,GR-00000226,PO-00000181,2024-10-22,56,WH-002,1,
GR-00000227,GR-00000227,PO-00000181,2024-10-24,94,WH-001,1,
GR-00000228,GR-00000228,PO-00000183,2024-01-15,25,WH-003,0,
GR-00000229,GR-00000229,PO-00000184,2024-11-21,150,WH-002,1,
GR-00000230,GR-00000230,PO-00000185,2025-01-04,50,WH-002,1,
GR-00000231,GR-00000231,PO-00000186,2024-07-30,59,WH-002,1,
GR-00000232,GR-00000232,PO-00000186,2024-08-04,6,WH-002,1,
GR-00000233,GR-00000233,PO-00000186,2024-08-03,85,WH-002,1,
GR-00000234,GR-00000234,PO-00000187,2025-02-19,20,WH-003,1,
GR-00000235,GR-00000235,PO-00000188,2024-12-04,100,WH-001,1,
GR-00000236,GR-00000236,PO-00000189,2024-03-30,150,WH-003,1,
GR-00000237,GR-00000237,PO-00000190,2024-11-11,4,WH-002,1,
GR-00000238,GR-00000238,PO-00000190,2024-11-07,21,WH-002,1,
GR-00000239,GR-00000239,PO-00000191,2023-11-09,10,WH-001,0,
GR-00000240,GR-00000240,PO-00000192,2024-02-06,20,WH-003,0,
GR-00000241,GR-00000241,PO-00000194,2024-03-06,2,WH-001,1,
GR-00000242,GR-00000242,PO-00000194,2024-03-04,23,WH-001,1,
GR-00000243,GR-00000243,PO-00000195,2023-10-17,1,WH-001,1,
GR-00000244,GR-00000244,PO-00000195,2023-10-17,199,WH-003,1,
GR-00000245,GR-00000245,PO-00000196,2024-07-29,150,WH-001,1,
GR-00000246,GR-00000246,PO-00000197,2024-02-18,7,WH-002,1,
GR-00000247,GR-00000247,PO-00000197,2024-02-16,13,WH-001,1,
GR-00000248,GR-00000248,PO-00000198,2024-09-09,11,WH-002,0,
GR-00000249,GR-00000249,PO-00000198,2024-09-13,64,WH-001,0,
GR-00000250,GR-00000250,PO-00000199,2024-08-07,20,WH-003,1,
GR-00000251,GR-00000251,PO-00000200,2023-10-11,94,WH-001,1,
GR-00000252,GR-00000252,PO-00000200,2023-10-13,22,WH-003,1,
GR-00000253,GR-00000253,PO-00000200,2023-10-13,84,WH-003,1,
GR-00000254,GR-00000254,PO-00000201,2023-08-01,20,WH-003,1,
GR-00000255,GR-00000255,PO-00000202,2025-04-07,200,WH-002,1,
GR-00000256,GR-00000256,PO-00000203,2024-08-25,100,WH-002,1,
GR-00000257,GR-00000257,PO-00000204,2024-09-15,20,WH-003,1,
GR-00000258,GR-00000258,PO-00000205,2024-04-06,75,WH-001,1,
GR-00000259,GR-00000259,PO-00000206,2025-05-05,50,WH-002,1,
GR-00000260,GR-00000260,PO-00000207,2024-03-22,100,WH-001,1,
GR-00000261,GR-00000261,PO-00000208,2023-11-12,79,WH-003,1,
GR-00000262,GR-00000262,PO-00000208,2023-11-09,121,WH-002,1,
GR-00000263,GR-00000263,PO-00000209,2023-10-25,10,WH-002,0,
GR-00000264,GR-00000264,PO-00000210,2025-01-17,20,WH-003,1,
GR-00000265,GR-00000265,PO-00000212,2024-04-17,75,WH-002,1,
GR-00000266,GR-00000266,PO-00000214,2024-08-24,20,WH-002,1,
GR-00000267,GR-00000267,PO-00000215,2023-11-07,19,WH-003,1,
GR-00000268,GR-00000268,PO-00000215,2023-11-12,31,WH-003,1,
GR-00000269,GR-00000269,PO-00000217,2025-01-23,75,WH-003,1,
GR-00000270,GR-00000270,PO-00000218,2025-04-12,25,WH-001,1,
GR-00000271,GR-00000271,PO-00000219,2024-05-25,100,WH-001,1,
GR-00000272,GR-00000272,PO-00000220,2023-08-27,25,WH-003,1,
GR-00000273,GR-00000273,PO-00000222,2024-03-13,50,WH-002,1,
GR-00000274,GR-00000274,PO-00000224,2024-11-19,100,WH-001,1,
GR-00000275,GR-00000275,PO-00000226,2025-02-26,9,WH-001,1,
GR-00000276,GR-00000276,PO-00000226,2025-02-23,16,WH-001,1,
GR-00000277,GR-00000277,PO-00000228,2023-07-24,50,WH-003,1,
GR-00000278,GR-00000278,PO-00000229,2024-10-05,150,WH-003,1,
GR-00000279,GR-00000279,PO-00000231,2025-04-28,14,WH-001,1,
GR-00000280,GR-00000280,PO-00000231,2025-04-30,48,WH-002,1,
GR-00000281,GR-00000281,PO-00000231,2025-04-29,88,WH-002,1,
GR-00000282,GR-00000282,PO-00000232,2025-03-24,150,WH-001,1,
GR-00000283,GR-00000283,PO-00000233,2025-05-21,9,WH-001,1,
GR-00000284,GR-00000284,PO-00000233,2025-05-21,1,WH-002,1,
GR-00000285,GR-00000285,PO-00000233,2025-05-26,10,WH-002,1,
GR-00000286,GR-00000286,PO-00000234,2023-11-23,20,WH-003,1,
GR-00000287,GR-00000287,PO-00000235,2023-11-12,200,WH-002,1,
GR-00000288,GR-00000288,PO-00000236,2023-11-13,150,WH-002,1,
GR-00000289,GR-00000289,PO-00000237,2025-01-18,150,WH-003,1,
GR-00000290,GR-00000290,PO-00000238,2025-04-11,20,WH-002,1,
GR-00000291,GR-00000291,PO-00000239,2025-02-20,20,WH-003,1,
GR-00000292,GR-00000292,PO-00000240,2023-11-25,10,WH-003,1,
GR-00000293,GR-00000293,PO-00000241,2025-01-08,4,WH-002,1,
GR-00000294,GR-00000294,PO-00000241,2025-01-08,46,WH-003,1,
GR-00000295,GR-00000295,PO-00000242,2024-07-22,16,WH-002,1,
GR-00000296,GR-00000296,PO-00000242,2024-07-24,84,WH-002,1,
GR-00000297,GR-00000297,PO-00000243,2024-01-19,10,WH-001,1,
GR-00000298,GR-00000298,PO-00000244,2024-04-28,19,WH-003,1,
GR-00000299,GR-00000299,PO-00000244,2024-05-02,31,WH-002,1,
GR-00000300,GR-00000300,PO-00000245,2024-01-03,75,WH-001,1,
GR-00000301,GR-00000301,PO-00000246,2023-10-06,25,WH-001,1,
GR-00000302,GR-00000302,PO-00000248,2024-03-19,2,WH-002,1,
GR-00000303,GR-00000303,PO-00000248,2024-03-16,4,WH-001,1,
GR-00000304,GR-00000304,PO-00000248,2024-03-16,4,WH-003,1,
GR-00000305,GR-00000305,PO-00000250,2024-03-09,25,WH-003,1,
GR-00000306,GR-00000306,PO-00000251,2023-11-17,150,WH-003,1,
GR-00000307,GR-00000307,PO-00000252,2025-02-17,6,WH-002,1,
GR-00000308,GR-00000308,PO-00000252,2025-02-22,6,WH-001,1,
GR-00000309,GR-00000309,PO-00000252,2025-02-17,8,WH-002,0,
GR-00000310,GR-00000310,PO-00000253,2024-08-23,5,WH-003,1,
GR-00000311,GR-00000311,PO-00000253,2024-08-24,20,WH-003,1,
GR-00000312,GR-00000312,PO-00000254,2025-01-05,75,WH-001,1,
GR-00000313,GR-00000313,PO-00000255,2025-05-06,75,WH-002,1,
GR-00000314,GR-00000314,PO-00000256,2024-07-22,200,WH-003,1,
GR-00000315,GR-00000315,PO-00000257,2023-10-16,50,WH-003,1,
GR-00000316,GR-00000316,PO-00000258,2024-03-09,3,WH-002,1,
GR-00000317,GR-00000317,PO-00000258,2024-03-06,17,WH-003,1,
GR-00000318,GR-00000318,PO-00000259,2023-08-02,87,WH-002,1,
GR-00000319,GR-00000319,PO-00000259,2023-08-01,113,WH-003,1,
GR-00000320,GR-00000320,PO-00000263,2023-11-30,25,WH-003,1,
GR-00000321,GR-00000321,PO-00000265,2024-11-20,20,WH-003,1,
GR-00000322,GR-00000322,PO-00000266,2025-05-11,50,WH-002,1,
GR-00000323,GR-00000323,PO-00000267,2023-08-07,200,WH-003,0,
GR-00000324,GR-00000324,PO-00000268,2024-01-25,10,WH-002,1,
GR-00000325,GR-00000325,PO-00000269,2024-12-30,13,WH-003,1,
GR-00000326,GR-00000326,PO-00000269,2024-12-31,37,WH-001,1,
GR-00000327,GR-00000327,PO-00000270,2024-08-31,75,WH-001,0,
GR-00000328,GR-00000328,PO-00000271,2024-10-22,75,WH-003,1,
GR-00000329,GR-00000329,PO-00000272,2024-01-29,150,WH-003,1,
GR-00000330,GR-00000330,PO-00000273,2023-08-25,150,WH-001,1,
GR-00000331,GR-00000331,PO-00000274,2024-12-02,35,WH-001,1,
GR-00000332,GR-00000332,PO-00000274,2024-12-03,40,WH-002,1,
GR-00000333,GR-00000333,PO-00000275,2023-10-29,20,WH-002,0,
GR-00000334,GR-00000334,PO-00000275,2023-11-04,130,WH-003,1,
GR-00000335,GR-00000335,PO-00000277,2024-05-13,150,WH-003,1,
GR-00000336,GR-00000336,PO-00000278,2024-01-20,25,WH-002,1,
GR-00000337,GR-00000337,PO-00000279,2024-09-26,3,WH-001,1,
GR-00000338,GR-00000338,PO-00000279,2024-09-25,1,WH-003,1,
GR-00000339,GR-00000339,PO-00000279,2024-09-25,46,WH-001,1,
GR-00000340,GR-00000340,PO-00000280,2025-03-23,50,WH-003,1,
GR-00000341,GR-00000341,PO-00000281,2024-01-27,150,WH-003,1,
GR-00000342,GR-00000342,PO-00000282,2024-06-06,150,WH-001,1,
GR-00000343,GR-00000343,PO-00000283,2024-12-31,150,WH-002,1,
GR-00000344,GR-00000344,PO-00000284,2024-07-30,100,WH-003,1,
GR-00000345,GR-00000345,PO-00000285,2023-09-20,25,WH-003,1,
GR-00000346,GR-00000346,PO-00000286,2023-11-13,75,WH-003,1,
GR-00000347,GR-00000347,PO-00000287,2025-05-21,75,WH-002,1,
GR-00000348,GR-00000348,PO-00000288,2025-03-20,100,WH-001,1,
GR-00000349,GR-00000349,PO-00000289,2023-10-03,50,WH-002,1,
GR-00000350,GR-00000350,PO-00000291,2024-02-13,37,WH-002,1,
GR-00000351,GR-00000351,PO-00000291,2024-02-13,2,WH-001,1,
GR-00000352,GR-00000352,PO-00000291,2024-02-09,36,WH-002,1,
GR-00000353,GR-00000353,PO-00000293,2023-11-26,200,WH-002,1,
GR-00000354,GR-00000354,PO-00000295,2024-02-23,10,WH-002,1,
GR-00000355,GR-00000355,PO-00000296,2024-12-28,25,WH-003,1,
GR-00000356,GR-00000356,PO-00000297,2023-12-30,50,WH-001,1,
GR-00000357,GR-00000357,PO-00000298,2024-02-22,75,WH-001,1,
GR-00000358,GR-00000358,PO-00000299,2024-05-07,4,WH-003,1,
GR-00000359,GR-00000359,PO-00000299,2024-05-02,6,WH-003,1,
GR-00000360,GR-00000360,PO-00000301,2024-07-20,20,WH-001,1,
GR-00000361,GR-00000361,PO-00000302,2024-09-15,75,WH-001,1,
GR-00000362,GR-00000362,PO-00000303,2024-04-22,100,WH-002,1,
GR-00000363,GR-00000363,PO-00000304,2024-08-23,20,WH-003,1,
GR-00000364,GR-00000364,PO-00000305,2024-02-24,50,WH-003,1,
GR-00000365,GR-00000365,PO-00000306,2024-10-15,7,WH-003,1,
GR-00000366,GR-00000366,PO-00000306,2024-10-14,43,WH-001,1,
