quotation_id,quotation_number,lead_id,customer_id,salesperson_id,amount,quotation_date,valid_until_date,status,notes
QUO-00000025,QUO-00000025,LEAD-00001303,CUST-00000633,SP-00000019,817.62,2023-10-26,2023-11-25,EXPIRED,
QUO-00000026,QUO-00000026,LEAD-00001936,CUST-00000719,SP-00000013,2269.52,2023-08-13,2023-09-12,REJECTED,
QUO-00000027,QUO-00000027,,CUST-00000993,SP-00000015,5974.58,2024-12-17,2025-01-16,ACCEPTED,
QUO-00000028,QUO-00000028,,CUST-00000519,SP-00000003,527.4,2024-10-21,2024-11-20,SENT,
QUO-00000029,QUO-00000029,,CUST-00000520,SP-00000004,316.48,2024-09-13,2024-10-13,ACCEPTED,
QUO-00000030,QUO-00000030,LEAD-00002103,CUST-00000456,SP-00000018,937.4,2025-01-01,2025-01-31,SENT,
QUO-00000031,QUO-00000031,LEAD-00000671,CUST-00000557,SP-00000002,1633.7,2025-04-20,2025-05-20,ACCEPTED,
QUO-00000032,QUO-00000032,LEAD-00000971,CUST-00000890,SP-00000015,889.91,2025-01-16,2025-02-15,ACCEPTED,
QUO-00000033,QUO-00000033,LEAD-00000283,CUST-00000902,SP-00000008,1130.59,2024-06-16,2024-07-16,EXPIRED,
QUO-00000034,QUO-00000034,LEAD-00000427,CUST-00000745,SP-00000017,1070.84,2023-11-25,2023-12-25,ACCEPTED,
QUO-00000035,QUO-00000035,,CUST-00000605,SP-00000018,2168.63,2025-04-08,2025-05-08,DRAFT,
QUO-00000036,QUO-00000036,,CUST-00000835,SP-00000018,807.05,2025-03-03,2025-04-02,ACCEPTED,
QUO-00000037,QUO-00000037,LEAD-00001494,CUST-00000446,SP-00000006,202.81,2024-07-11,2024-08-10,SENT,
QUO-00000038,QUO-00000038,LEAD-00000598,CUST-00000804,SP-00000017,445.41,2023-12-29,2024-01-28,ACCEPTED,
QUO-00000039,QUO-00000039,LEAD-00002269,CUST-00000113,SP-00000014,521.73,2023-07-10,2023-08-09,ACCEPTED,
QUO-00000040,QUO-00000040,LEAD-00002326,CUST-00000073,SP-00000015,2580.75,2024-12-31,2025-01-30,ACCEPTED,
QUO-00000041,QUO-00000041,LEAD-00001205,CUST-00000719,SP-00000005,2172.55,2024-07-29,2024-08-28,ACCEPTED,
QUO-00000042,QUO-00000042,,CUST-00000774,SP-00000009,2804.38,2025-04-19,2025-05-19,ACCEPTED,
QUO-00000043,QUO-00000043,LEAD-00001090,CUST-00000489,SP-00000003,1522.35,2023-08-08,2023-09-07,DRAFT,
QUO-00000044,QUO-00000044,LEAD-00002145,CUST-00000265,SP-00000005,2252.28,2024-01-13,2024-02-12,REJECTED,
QUO-00000045,QUO-00000045,LEAD-00001623,CUST-00000314,SP-00000003,737.56,2024-05-02,2024-06-01,ACCEPTED,
QUO-00000046,QUO-00000046,,CUST-00000609,SP-00000011,1895.84,2025-06-07,2025-07-07,SENT,
QUO-00000047,QUO-00000047,,CUST-00000573,SP-00000014,222.23,2025-06-18,2025-07-18,ACCEPTED,
QUO-00000048,QUO-00000048,,CUST-00000930,SP-00000005,1030.19,2024-11-04,2024-12-04,SENT,
QUO-00000049,QUO-00000049,,CUST-00000195,SP-00000005,466.34,2024-12-01,2024-12-31,ACCEPTED,
QUO-00000050,QUO-00000050,LEAD-00001730,CUST-00000091,SP-00000007,534.24,2024-07-20,2024-08-19,ACCEPTED,
QUO-00000051,QUO-00000051,,CUST-00000896,SP-00000009,17.51,2024-08-03,2024-09-02,ACCEPTED,
QUO-00000052,QUO-00000052,LEAD-00000457,CUST-00000639,SP-00000001,914.26,2025-06-02,2025-07-02,EXPIRED,
QUO-00000053,QUO-00000053,,CUST-00000849,SP-00000017,126.98,2024-07-15,2024-08-14,ACCEPTED,
QUO-00000054,QUO-00000054,LEAD-00002996,CUST-00000287,SP-00000011,96.96,2025-02-15,2025-03-17,EXPIRED,
QUO-00000055,QUO-00000055,,CUST-00000693,SP-00000015,1116.6,2024-11-02,2024-12-02,ACCEPTED,
QUO-00000056,QUO-00000056,,CUST-00000039,SP-00000010,447.69,2023-10-11,2023-11-10,ACCEPTED,
QUO-00000057,QUO-00000057,,CUST-00000593,SP-00000016,1748.34,2024-09-24,2024-10-24,ACCEPTED,
QUO-00000058,QUO-00000058,LEAD-00001527,CUST-00000859,SP-00000018,1244.22,2025-06-14,2025-07-14,EXPIRED,
QUO-00000059,QUO-00000059,,CUST-00000021,SP-00000018,874.68,2024-11-02,2024-12-02,DRAFT,
QUO-00000060,QUO-00000060,,CUST-00000217,SP-00000001,1475.02,2024-02-04,2024-03-05,REJECTED,
QUO-00000061,QUO-00000061,LEAD-00001671,CUST-00000398,SP-00000012,119.76,2024-08-01,2024-08-31,REJECTED,
QUO-00000062,QUO-00000062,,CUST-00000159,SP-00000010,5428.5,2023-07-27,2023-08-26,SENT,
QUO-00000063,QUO-00000063,LEAD-00002712,CUST-00000796,SP-00000010,376.21,2024-11-14,2024-12-14,ACCEPTED,
QUO-00000064,QUO-00000064,LEAD-00001292,CUST-00000205,SP-00000011,1272.44,2024-02-27,2024-03-28,EXPIRED,
QUO-00000065,QUO-00000065,,CUST-00000788,SP-00000014,2296.76,2023-08-28,2023-09-27,REJECTED,
QUO-00000066,QUO-00000066,LEAD-00000309,CUST-00000708,SP-00000007,1663.39,2025-01-06,2025-02-05,ACCEPTED,
QUO-00000067,QUO-00000067,,CUST-00000863,SP-00000012,97.86,2025-05-26,2025-06-25,SENT,
QUO-00000068,QUO-00000068,,CUST-00000049,SP-00000003,4259.2,2025-04-27,2025-05-27,ACCEPTED,
QUO-00000069,QUO-00000069,LEAD-00001965,CUST-00000832,SP-00000001,217.25,2024-08-23,2024-09-22,DRAFT,
QUO-00000070,QUO-00000070,LEAD-00001344,CUST-00000224,SP-00000012,1086.5,2025-02-03,2025-03-05,EXPIRED,
QUO-00000071,QUO-00000071,LEAD-00002591,CUST-00000852,SP-00000013,3750.53,2024-11-06,2024-12-06,DRAFT,
QUO-00000072,QUO-00000072,LEAD-00001474,CUST-00000326,SP-00000010,1662.73,2025-01-29,2025-02-28,ACCEPTED,
QUO-00000073,QUO-00000073,,CUST-00000135,SP-00000002,260.85,2024-12-04,2025-01-03,SENT,
QUO-00000074,QUO-00000074,LEAD-00002686,CUST-00000100,SP-00000007,154.4,2025-02-27,2025-03-29,DRAFT,
QUO-00000075,QUO-00000075,,CUST-00000839,SP-00000017,5511.68,2024-11-19,2024-12-19,SENT,
QUO-00000076,QUO-00000076,,CUST-00000562,SP-00000019,580.72,2024-01-12,2024-02-11,DRAFT,
QUO-00000077,QUO-00000077,,CUST-00000599,SP-00000015,3909.44,2024-01-14,2024-02-13,SENT,
QUO-00000078,QUO-00000078,LEAD-00001561,CUST-00000622,SP-00000020,1575.33,2025-03-09,2025-04-08,SENT,
QUO-00000079,QUO-00000079,,CUST-00000312,SP-00000008,1651.48,2024-05-19,2024-06-18,SENT,
QUO-00000080,QUO-00000080,LEAD-00002338,CUST-00000910,SP-00000011,658.52,2024-02-17,2024-03-18,SENT,
QUO-00000081,QUO-00000081,,CUST-00000207,SP-00000013,317.8,2024-04-22,2024-05-22,ACCEPTED,
QUO-00000082,QUO-00000082,LEAD-00001564,CUST-00000710,SP-00000014,2010.04,2024-11-03,2024-12-03,EXPIRED,
QUO-00000083,QUO-00000083,,CUST-00000989,SP-00000007,67.08,2024-05-06,2024-06-05,REJECTED,
QUO-00000084,QUO-00000084,LEAD-00002990,CUST-00000154,SP-00000006,393.6,2023-08-04,2023-09-03,ACCEPTED,
QUO-00000085,QUO-00000085,,CUST-00000079,SP-00000009,1415.99,2024-08-18,2024-09-17,SENT,
QUO-00000086,QUO-00000086,LEAD-00001738,CUST-00000691,SP-00000019,508.43,2025-03-06,2025-04-05,SENT,
QUO-00000087,QUO-00000087,LEAD-00001407,CUST-00000670,SP-00000014,3096.6,2025-06-06,2025-07-06,ACCEPTED,
QUO-00000088,QUO-00000088,LEAD-00001537,CUST-00000736,SP-00000011,854.16,2023-09-17,2023-10-17,SENT,
QUO-00000089,QUO-00000089,LEAD-00000533,CUST-00000696,SP-00000006,585.1,2024-08-02,2024-09-01,SENT,
QUO-00000090,QUO-00000090,,CUST-00000430,SP-00000019,447.58,2025-04-20,2025-05-20,DRAFT,
QUO-00000091,QUO-00000091,LEAD-00000537,CUST-00000853,SP-00000002,1925.42,2024-10-11,2024-11-10,EXPIRED,
QUO-00000092,QUO-00000092,LEAD-00001981,CUST-00000187,SP-00000015,2757.43,2025-06-30,2025-07-30,SENT,
QUO-00000093,QUO-00000093,LEAD-00002053,CUST-00000776,SP-00000014,2168.86,2023-08-08,2023-09-07,ACCEPTED,
QUO-00000094,QUO-00000094,,CUST-00000926,SP-00000012,1738.68,2024-07-30,2024-08-29,SENT,
QUO-00000095,QUO-00000095,,CUST-00000084,SP-00000018,4859.84,2024-09-20,2024-10-20,ACCEPTED,
QUO-00000096,QUO-00000096,,CUST-00000702,SP-00000019,77.9,2023-08-13,2023-09-12,ACCEPTED,
QUO-00000097,QUO-00000097,LEAD-00000609,CUST-00000097,SP-00000008,22.26,2024-01-23,2024-02-22,ACCEPTED,
QUO-00000098,QUO-00000098,LEAD-00000885,CUST-00000162,SP-00000005,1710.23,2024-10-25,2024-11-24,ACCEPTED,
QUO-00000099,QUO-00000099,LEAD-00002000,CUST-00000403,SP-00000001,4348.99,2025-01-18,2025-02-17,REJECTED,
QUO-00000100,QUO-00000100,LEAD-00002337,CUST-00000154,SP-00000002,1852.88,2024-07-25,2024-08-24,ACCEPTED,
QUO-00000101,QUO-00000101,LEAD-00002186,CUST-00000529,SP-00000020,7254.6,2025-01-15,2025-02-14,ACCEPTED,
QUO-00000102,QUO-00000102,,CUST-00000791,SP-00000012,2699.26,2024-04-13,2024-05-13,SENT,
QUO-00000103,QUO-00000103,LEAD-00001981,CUST-00000187,SP-00000015,126.48,2024-06-28,2024-07-28,REJECTED,
QUO-00000104,QUO-00000104,LEAD-00001423,CUST-00000950,SP-00000001,4500.04,2025-03-30,2025-04-29,SENT,
QUO-00000105,QUO-00000105,LEAD-00002984,CUST-00000214,SP-00000020,1713.2,2023-09-06,2023-10-06,EXPIRED,
QUO-00000106,QUO-00000106,,CUST-00000263,SP-00000006,235.04,2024-01-19,2024-02-18,ACCEPTED,
QUO-00000107,QUO-00000107,,CUST-00000164,SP-00000007,88.92,2024-11-25,2024-12-25,ACCEPTED,
QUO-00000108,QUO-00000108,,CUST-00000813,SP-00000012,675.1,2025-05-15,2025-06-14,EXPIRED,
QUO-00000109,QUO-00000109,,CUST-00000583,SP-00000002,4938.24,2024-01-11,2024-02-10,ACCEPTED,
QUO-00000110,QUO-00000110,LEAD-00002370,CUST-00000934,SP-00000005,742.07,2024-08-23,2024-09-22,ACCEPTED,
QUO-00000111,QUO-00000111,LEAD-00001549,CUST-00000723,SP-00000006,4817.35,2024-11-06,2024-12-06,SENT,
QUO-00000112,QUO-00000112,LEAD-00000119,CUST-00000899,SP-00000006,481.95,2025-03-23,2025-04-22,ACCEPTED,
QUO-00000113,QUO-00000113,LEAD-00001144,CUST-00000884,SP-00000013,4227.44,2024-09-18,2024-10-18,ACCEPTED,
QUO-00000114,QUO-00000114,LEAD-00001371,CUST-00000163,SP-00000010,2442.16,2025-06-05,2025-07-05,ACCEPTED,
QUO-00000115,QUO-00000115,LEAD-00000240,CUST-00000533,SP-00000010,1404.4,2024-07-14,2024-08-13,SENT,
QUO-00000116,QUO-00000116,LEAD-00002270,CUST-00000164,SP-00000015,2656.75,2024-11-15,2024-12-15,SENT,
QUO-00000117,QUO-00000117,,CUST-00000975,SP-00000005,1093.31,2024-09-03,2024-10-03,DRAFT,
QUO-00000118,QUO-00000118,LEAD-00002845,CUST-00000126,SP-00000008,2032.17,2024-11-18,2024-12-18,ACCEPTED,
QUO-00000119,QUO-00000119,LEAD-00001950,CUST-00000376,SP-00000010,1710.82,2025-05-15,2025-06-14,SENT,
QUO-00000120,QUO-00000120,LEAD-00002441,CUST-00000558,SP-00000012,249.16,2024-08-21,2024-09-20,SENT,
QUO-00000121,QUO-00000121,LEAD-00001719,CUST-00000585,SP-00000007,2208.56,2023-09-20,2023-10-20,REJECTED,
QUO-00000122,QUO-00000122,,CUST-00000596,SP-00000013,1763.52,2025-05-18,2025-06-17,ACCEPTED,
QUO-00000123,QUO-00000123,,CUST-00000650,SP-00000015,680.4,2024-10-12,2024-11-11,ACCEPTED,
QUO-00000124,QUO-00000124,,CUST-00000390,SP-00000018,68.44,2023-07-20,2023-08-19,SENT,
QUO-00000125,QUO-00000125,LEAD-00000456,CUST-00000012,SP-00000005,1221.43,2024-06-04,2024-07-04,EXPIRED,
QUO-00000126,QUO-00000126,,CUST-00000993,SP-00000011,517.23,2024-07-17,2024-08-16,EXPIRED,
QUO-00000127,QUO-00000127,LEAD-00000204,CUST-00000799,SP-00000011,1936.29,2025-03-18,2025-04-17,EXPIRED,
QUO-00000128,QUO-00000128,LEAD-00001512,CUST-00000397,SP-00000015,183.57,2024-10-11,2024-11-10,ACCEPTED,
QUO-00000129,QUO-00000129,LEAD-00002361,CUST-00000354,SP-00000019,2762.0,2023-10-14,2023-11-13,ACCEPTED,
QUO-00000130,QUO-00000130,LEAD-00001203,CUST-00000586,SP-00000004,1325.28,2024-11-02,2024-12-02,ACCEPTED,
QUO-00000131,QUO-00000131,,CUST-00000085,SP-00000001,5398.49,2025-06-27,2025-07-27,ACCEPTED,
QUO-00000132,QUO-00000132,LEAD-00000997,CUST-00000970,SP-00000001,5003.26,2025-05-19,2025-06-18,SENT,
QUO-00000133,QUO-00000133,,CUST-00000444,SP-00000019,624.89,2023-08-01,2023-08-31,ACCEPTED,
QUO-00000134,QUO-00000134,LEAD-00000461,CUST-00000767,SP-00000011,1252.45,2025-05-22,2025-06-21,ACCEPTED,
QUO-00000135,QUO-00000135,,CUST-00000755,SP-00000014,773.61,2025-05-25,2025-06-24,EXPIRED,
QUO-00000136,QUO-00000136,,CUST-00000100,SP-00000001,9265.21,2024-07-11,2024-08-10,ACCEPTED,
QUO-00000137,QUO-00000137,LEAD-00000292,CUST-00000616,SP-00000012,82.74,2025-05-17,2025-06-16,ACCEPTED,
QUO-00000138,QUO-00000138,LEAD-00001613,CUST-00000255,SP-00000002,4205.88,2024-07-31,2024-08-30,ACCEPTED,
QUO-00000139,QUO-00000139,LEAD-00002657,CUST-00000137,SP-00000014,118.3,2025-01-12,2025-02-11,SENT,
QUO-00000140,QUO-00000140,LEAD-00001768,CUST-00000790,SP-00000005,3884.57,2025-04-26,2025-05-26,DRAFT,
QUO-00000141,QUO-00000141,LEAD-00002933,CUST-00000235,SP-00000017,517.28,2024-10-31,2024-11-30,DRAFT,
QUO-00000142,QUO-00000142,,CUST-00000661,SP-00000006,773.12,2024-12-29,2025-01-28,ACCEPTED,
QUO-00000143,QUO-00000143,LEAD-00000592,CUST-00000933,SP-00000013,1963.16,2024-12-21,2025-01-20,ACCEPTED,
QUO-00000144,QUO-00000144,LEAD-00002749,CUST-00000019,SP-00000009,1187.87,2025-03-02,2025-04-01,ACCEPTED,
QUO-00000145,QUO-00000145,LEAD-00002139,CUST-00000601,SP-00000017,1273.57,2024-06-02,2024-07-02,REJECTED,
QUO-00000146,QUO-00000146,LEAD-00002753,CUST-00000066,SP-00000009,6326.4,2023-07-01,2023-07-31,SENT,
QUO-00000147,QUO-00000147,LEAD-00002116,CUST-00000268,SP-00000002,279.15,2025-02-27,2025-03-29,REJECTED,
QUO-00000148,QUO-00000148,LEAD-00001698,CUST-00000229,SP-00000018,1135.03,2024-02-02,2024-03-03,ACCEPTED,
QUO-00000149,QUO-00000149,,CUST-00000294,SP-00000011,523.86,2025-01-09,2025-02-08,SENT,
QUO-00000150,QUO-00000150,LEAD-00000350,CUST-00000103,SP-00000004,89.49,2024-12-11,2025-01-10,REJECTED,
QUO-00000151,QUO-00000151,,CUST-00000637,SP-00000004,387.09,2025-03-13,2025-04-12,ACCEPTED,
QUO-00000152,QUO-00000152,LEAD-00001357,CUST-00000819,SP-00000016,1917.17,2023-09-05,2023-10-05,SENT,
QUO-00000153,QUO-00000153,LEAD-00000601,CUST-00000606,SP-00000013,6471.51,2023-10-13,2023-11-12,EXPIRED,
QUO-00000154,QUO-00000154,,CUST-00000618,SP-00000019,4204.9,2024-11-19,2024-12-19,ACCEPTED,
QUO-00000155,QUO-00000155,,CUST-00000202,SP-00000016,2146.52,2024-06-09,2024-07-09,SENT,
QUO-00000156,QUO-00000156,,CUST-00000376,SP-00000014,538.73,2025-05-28,2025-06-27,ACCEPTED,
QUO-00000157,QUO-00000157,,CUST-00000196,SP-00000007,1118.77,2025-04-11,2025-05-11,EXPIRED,
QUO-00000158,QUO-00000158,LEAD-00001745,CUST-00000463,SP-00000011,409.68,2024-07-18,2024-08-17,REJECTED,
QUO-00000159,QUO-00000159,LEAD-00001073,CUST-00000423,SP-00000004,133.05,2024-10-03,2024-11-02,ACCEPTED,
QUO-00000160,QUO-00000160,,CUST-00000123,SP-00000017,1469.15,2024-12-07,2025-01-06,SENT,
QUO-00000161,QUO-00000161,LEAD-00002925,CUST-00000172,SP-00000017,2620.71,2024-01-10,2024-02-09,ACCEPTED,
QUO-00000162,QUO-00000162,LEAD-00000838,CUST-00000783,SP-00000004,1852.03,2024-11-13,2024-12-13,EXPIRED,
QUO-00000163,QUO-00000163,,CUST-00000859,SP-00000003,43.6,2024-12-03,2025-01-02,SENT,
QUO-00000164,QUO-00000164,,CUST-00000226,SP-00000003,272.08,2024-10-02,2024-11-01,EXPIRED,
QUO-00000165,QUO-00000165,LEAD-00001304,CUST-00000190,SP-00000014,1699.26,2024-08-26,2024-09-25,EXPIRED,
QUO-00000166,QUO-00000166,,CUST-00000671,SP-00000010,6801.18,2024-09-19,2024-10-19,ACCEPTED,
QUO-00000167,QUO-00000167,LEAD-00002783,CUST-00000813,SP-00000003,1016.42,2024-09-04,2024-10-04,ACCEPTED,
QUO-00000168,QUO-00000168,LEAD-00001035,CUST-00000979,SP-00000009,3414.88,2024-01-13,2024-02-12,ACCEPTED,
QUO-00000169,QUO-00000169,LEAD-00001348,CUST-00000590,SP-00000017,976.34,2024-03-07,2024-04-06,ACCEPTED,
QUO-00000170,QUO-00000170,LEAD-00002825,CUST-00000896,SP-00000007,63.31,2023-10-05,2023-11-04,SENT,
QUO-00000171,QUO-00000171,LEAD-00002454,CUST-00000240,SP-00000016,200.94,2023-12-14,2024-01-13,ACCEPTED,
QUO-00000172,QUO-00000172,LEAD-00000716,CUST-00000030,SP-00000005,1391.22,2023-10-19,2023-11-18,REJECTED,
QUO-00000173,QUO-00000173,,CUST-00000735,SP-00000012,1708.55,2025-06-30,2025-07-30,ACCEPTED,
QUO-00000174,QUO-00000174,LEAD-00002620,CUST-00000796,SP-00000013,1158.61,2025-05-04,2025-06-03,SENT,
QUO-00000175,QUO-00000175,LEAD-00001091,CUST-00000369,SP-00000007,1512.48,2023-09-27,2023-10-27,SENT,
QUO-00000176,QUO-00000176,LEAD-00000757,CUST-00000713,SP-00000016,635.75,2024-07-28,2024-08-27,SENT,
QUO-00000177,QUO-00000177,,CUST-00000515,SP-00000020,273.67,2024-07-16,2024-08-15,ACCEPTED,
QUO-00000178,QUO-00000178,,CUST-00000914,SP-00000016,145.95,2023-12-17,2024-01-16,ACCEPTED,
QUO-00000179,QUO-00000179,,CUST-00000217,SP-00000019,4732.69,2024-03-14,2024-04-13,ACCEPTED,
QUO-00000180,QUO-00000180,LEAD-00001474,CUST-00000326,SP-00000010,144.54,2023-09-21,2023-10-21,DRAFT,
QUO-00000181,QUO-00000181,,CUST-00000598,SP-00000001,79.77,2023-07-29,2023-08-28,ACCEPTED,
QUO-00000182,QUO-00000182,LEAD-00001254,CUST-00000737,SP-00000014,602.72,2025-03-07,2025-04-06,ACCEPTED,
QUO-00000183,QUO-00000183,LEAD-00002717,CUST-00000142,SP-00000014,171.06,2023-11-14,2023-12-14,ACCEPTED,
QUO-00000184,QUO-00000184,LEAD-00000113,CUST-00000563,SP-00000012,310.43,2023-09-14,2023-10-14,ACCEPTED,
QUO-00000185,QUO-00000185,LEAD-00000648,CUST-00000338,SP-00000008,2205.66,2025-01-26,2025-02-25,REJECTED,
QUO-00000186,QUO-00000186,LEAD-00002026,CUST-00000607,SP-00000013,91.12,2024-06-27,2024-07-27,ACCEPTED,
QUO-00000187,QUO-00000187,,CUST-00000695,SP-00000013,26.78,2023-07-06,2023-08-05,DRAFT,
QUO-00000188,QUO-00000188,,CUST-00000956,SP-00000017,2074.1,2023-10-06,2023-11-05,ACCEPTED,
QUO-00000189,QUO-00000189,LEAD-00002190,CUST-00000032,SP-00000004,521.72,2023-08-17,2023-09-16,ACCEPTED,
QUO-00000190,QUO-00000190,LEAD-00002190,CUST-00000032,SP-00000004,7527.1,2024-08-17,2024-09-16,REJECTED,
QUO-00000191,QUO-00000191,LEAD-00000466,CUST-00000275,SP-00000005,3045.15,2025-06-13,2025-07-13,ACCEPTED,
QUO-00000192,QUO-00000192,LEAD-00000537,CUST-00000853,SP-00000002,1243.7,2025-04-16,2025-05-16,ACCEPTED,
QUO-00000193,QUO-00000193,,CUST-00000428,SP-00000009,442.47,2024-05-03,2024-06-02,EXPIRED,
QUO-00000194,QUO-00000194,LEAD-00000403,CUST-00000223,SP-00000007,2323.32,2025-05-18,2025-06-17,SENT,
QUO-00000195,QUO-00000195,LEAD-00002797,CUST-00000925,SP-00000018,2298.48,2024-11-01,2024-12-01,DRAFT,
QUO-00000196,QUO-00000196,,CUST-00000795,SP-00000008,1371.76,2024-02-07,2024-03-08,REJECTED,
QUO-00000197,QUO-00000197,,CUST-00000994,SP-00000020,122.66,2023-08-18,2023-09-17,SENT,
QUO-00000198,QUO-00000198,,CUST-00000639,SP-00000017,2754.88,2024-10-18,2024-11-17,SENT,
QUO-00000199,QUO-00000199,LEAD-00001385,CUST-00000905,SP-00000015,14.05,2024-04-22,2024-05-22,DRAFT,
QUO-00000200,QUO-00000200,LEAD-00001335,CUST-00000981,SP-00000006,1117.41,2024-02-26,2024-03-27,SENT,
QUO-00000201,QUO-00000201,LEAD-00000368,CUST-00000749,SP-00000017,1826.64,2025-05-01,2025-05-31,ACCEPTED,
QUO-00000202,QUO-00000202,LEAD-00000037,CUST-00000566,SP-00000017,1261.98,2024-07-12,2024-08-11,ACCEPTED,
QUO-00000203,QUO-00000203,LEAD-00001523,CUST-00000329,SP-00000019,247.0,2023-09-15,2023-10-15,DRAFT,
QUO-00000204,QUO-00000204,,CUST-00000493,SP-00000002,310.26,2024-11-18,2024-12-18,REJECTED,
QUO-00000205,QUO-00000205,,CUST-00000244,SP-00000019,2019.25,2025-06-11,2025-07-11,REJECTED,
QUO-00000206,QUO-00000206,,CUST-00000470,SP-00000014,1029.16,2024-07-18,2024-08-17,SENT,
QUO-00000207,QUO-00000207,LEAD-00000865,CUST-00000019,SP-00000014,412.04,2024-11-21,2024-12-21,EXPIRED,
QUO-00000208,QUO-00000208,,CUST-00000231,SP-00000002,523.7,2023-07-30,2023-08-29,REJECTED,
QUO-00000209,QUO-00000209,LEAD-00000853,CUST-00000700,SP-00000007,2627.2,2024-12-07,2025-01-06,SENT,
QUO-00000210,QUO-00000210,LEAD-00001965,CUST-00000832,SP-00000001,3342.28,2024-09-04,2024-10-04,SENT,
QUO-00000211,QUO-00000211,LEAD-00002145,CUST-00000265,SP-00000005,1576.44,2024-10-26,2024-11-25,ACCEPTED,
QUO-00000212,QUO-00000212,LEAD-00001549,CUST-00000723,SP-00000006,2993.14,2025-04-19,2025-05-19,ACCEPTED,
QUO-00000213,QUO-00000213,,CUST-00000865,SP-00000011,4892.12,2024-07-21,2024-08-20,ACCEPTED,
QUO-00000214,QUO-00000214,LEAD-00000245,CUST-00000147,SP-00000012,975.87,2024-08-02,2024-09-01,EXPIRED,
QUO-00000215,QUO-00000215,LEAD-00002752,CUST-00000870,SP-00000019,1035.64,2023-08-16,2023-09-15,ACCEPTED,
QUO-00000216,QUO-00000216,LEAD-00002411,CUST-00000952,SP-00000007,2028.57,2023-08-24,2023-09-23,SENT,
QUO-00000217,QUO-00000217,LEAD-00000908,CUST-00000594,SP-00000001,1592.98,2024-06-12,2024-07-12,ACCEPTED,
QUO-00000218,QUO-00000218,LEAD-00002845,CUST-00000126,SP-00000008,372.97,2024-04-18,2024-05-18,REJECTED,
QUO-00000219,QUO-00000219,LEAD-00001806,CUST-00000912,SP-00000019,505.35,2025-05-07,2025-06-06,ACCEPTED,
QUO-00000220,QUO-00000220,LEAD-00000253,CUST-00000791,SP-00000005,3979.67,2025-05-22,2025-06-21,EXPIRED,
