po_id,po_number,supplier_id,product_id,quantity,unit_cost,total_cost,order_date,expected_receipt_date,actual_receipt_date,status,created_by
PO-00000018,PO-00000018,SUP-00000012,PRD-00000119,10,14.44,144.4,2024-05-19,2024-06-12,2024-06-20,COMPLETED,
PO-00000019,PO-00000019,SUP-00000057,PRD-00000456,20,1.61,32.2,2025-04-22,2025-05-10,2025-05-18,COMPLETED,
PO-00000020,PO-00000020,SUP-00000074,PRD-00000011,75,4.72,354.0,2024-10-23,2024-11-10,2024-11-12,COMPLETED,
PO-00000021,PO-00000021,SUP-00000075,PRD-00000301,100,52.58,5258.0,2025-05-03,2025-05-24,2025-05-28,COMPLETED,
PO-00000022,PO-00000022,SUP-00000041,PRD-00000371,150,5.56,833.9999999999999,2025-05-20,2025-06-16,2025-06-26,COMPLETED,
PO-00000023,PO-00000023,SUP-00000096,PRD-00000410,50,25.3,1265.0,2023-09-27,2023-10-25,2023-10-25,COMPLETED,
PO-00000024,PO-00000024,SUP-00000025,PRD-00000103,200,62.12,12424.0,2024-08-29,2024-09-20,2024-09-21,COMPLETED,
PO-00000025,PO-00000025,SUP-00000035,PRD-00000286,10,19.79,197.89999999999998,2024-03-24,2024-04-11,2024-04-11,COMPLETED,
PO-00000026,PO-00000026,SUP-00000010,PRD-00000424,10,234.15,2341.5,2024-06-10,2024-06-30,2024-07-02,COMPLETED,
PO-00000027,PO-00000027,SUP-00000059,PRD-00000062,200,41.47,8294.0,2024-06-13,2024-07-01,2024-07-04,COMPLETED,
PO-00000028,PO-00000028,SUP-00000093,PRD-00000459,20,32.04,640.8,2024-09-21,2024-10-12,,PENDING,
PO-00000029,PO-00000029,SUP-00000032,PRD-00000387,20,54.62,1092.3999999999999,2025-03-16,2025-03-26,2025-03-22,COMPLETED,
PO-00000030,PO-00000030,SUP-00000023,PRD-00000260,25,5.29,132.25,2024-01-27,2024-02-14,2024-02-18,COMPLETED,
PO-00000031,PO-00000031,SUP-00000033,PRD-00000363,200,14.49,2898.0,2023-10-10,2023-10-21,2023-10-26,COMPLETED,
PO-00000032,PO-00000032,SUP-00000002,PRD-00000420,20,5.73,114.60000000000001,2024-09-22,2024-10-12,2024-10-07,COMPLETED,
PO-00000033,PO-00000033,SUP-00000039,PRD-00000126,100,18.79,1879.0,2023-12-23,2024-01-01,2024-01-09,COMPLETED,
PO-00000034,PO-00000034,SUP-00000008,PRD-00000185,50,115.04,5752.0,2024-12-24,2025-01-13,2025-01-12,COMPLETED,
PO-00000035,PO-00000035,SUP-00000056,PRD-00000411,150,5.7,855.0,2024-10-12,2024-11-04,2024-11-10,COMPLETED,
PO-00000036,PO-00000036,SUP-00000012,PRD-00000484,200,28.29,5658.0,2023-07-11,2023-08-09,2023-08-06,COMPLETED,
PO-00000037,PO-00000037,SUP-00000011,PRD-00000044,100,27.97,2797.0,2023-12-16,2024-01-05,2024-01-01,COMPLETED,
PO-00000038,PO-00000038,SUP-00000053,PRD-00000339,25,31.72,793.0,2023-08-29,2023-09-25,,CANCELLED,
PO-00000039,PO-00000039,SUP-00000064,PRD-00000410,150,26.39,3958.5,2025-05-28,2025-06-26,2025-06-30,COMPLETED,
PO-00000040,PO-00000040,SUP-00000021,PRD-00000370,100,22.55,2255.0,2024-04-12,2024-05-05,2024-05-04,COMPLETED,
PO-00000041,PO-00000041,SUP-00000048,PRD-00000359,200,17.83,3565.9999999999995,2025-01-08,2025-02-03,2025-02-12,COMPLETED,
PO-00000042,PO-00000042,SUP-00000047,PRD-00000358,150,13.53,2029.5,2024-05-04,2024-05-13,2024-05-18,COMPLETED,
PO-00000043,PO-00000043,SUP-00000037,PRD-00000200,75,4.2,315.0,2024-12-05,2024-12-29,2025-01-03,COMPLETED,
PO-00000044,PO-00000044,SUP-00000084,PRD-00000388,25,51.81,1295.25,2025-01-03,2025-01-28,2025-02-01,COMPLETED,
PO-00000045,PO-00000045,SUP-00000005,PRD-00000372,20,4.25,85.0,2024-07-16,2024-07-31,2024-08-06,COMPLETED,
PO-00000046,PO-00000046,SUP-00000030,PRD-00000064,20,197.86,3957.2000000000003,2025-02-06,2025-03-08,2025-03-13,COMPLETED,
PO-00000047,PO-00000047,SUP-00000023,PRD-00000121,100,6.29,629.0,2025-05-13,2025-06-11,2025-06-10,COMPLETED,
PO-00000048,PO-00000048,SUP-00000057,PRD-00000366,50,17.07,853.5,2024-12-10,2025-01-04,2025-01-10,COMPLETED,
PO-00000049,PO-00000049,SUP-00000016,PRD-00000233,25,10.77,269.25,2024-08-25,2024-09-03,2024-09-11,COMPLETED,
PO-00000050,PO-00000050,SUP-00000056,PRD-00000455,200,13.69,2738.0,2023-09-18,2023-10-06,2023-10-13,COMPLETED,
PO-00000051,PO-00000051,SUP-00000076,PRD-00000302,75,47.35,3551.25,2025-04-12,2025-05-02,,CANCELLED,
PO-00000052,PO-00000052,SUP-00000033,PRD-00000353,150,10.28,1542.0,2023-11-25,2023-12-18,2023-12-27,COMPLETED,
PO-00000053,PO-00000053,SUP-00000037,PRD-00000067,50,42.36,2118.0,2023-08-03,2023-09-02,2023-09-08,COMPLETED,
PO-00000054,PO-00000054,SUP-00000059,PRD-00000472,150,47.93,7189.5,2024-07-13,2024-08-07,2024-08-06,COMPLETED,
PO-00000055,PO-00000055,SUP-00000068,PRD-00000061,75,58.06,4354.5,2024-05-06,2024-05-22,2024-05-21,COMPLETED,
PO-00000056,PO-00000056,SUP-00000006,PRD-00000073,10,10.87,108.69999999999999,2024-05-08,2024-05-24,2024-06-03,COMPLETED,
PO-00000057,PO-00000057,SUP-00000068,PRD-00000002,100,3.96,396.0,2023-08-15,2023-09-04,2023-09-08,COMPLETED,
PO-00000058,PO-00000058,SUP-00000063,PRD-00000290,100,34.39,3439.0,2024-10-29,2024-11-28,2024-11-27,COMPLETED,
PO-00000059,PO-00000059,SUP-00000095,PRD-00000391,200,108.35,21670.0,2025-05-14,2025-06-04,2025-06-09,COMPLETED,
PO-00000060,PO-00000060,SUP-00000014,PRD-00000046,150,17.19,2578.5,2024-08-08,2024-08-25,2024-09-03,COMPLETED,
PO-00000061,PO-00000061,SUP-00000065,PRD-00000377,20,3.04,60.8,2023-07-26,2023-08-20,2023-08-24,COMPLETED,
PO-00000062,PO-00000062,SUP-00000049,PRD-00000288,20,11.11,222.2,2025-03-25,2025-04-18,2025-04-14,COMPLETED,
PO-00000063,PO-00000063,SUP-00000046,PRD-00000491,200,5.47,1094.0,2023-07-20,2023-07-30,2023-07-30,COMPLETED,
PO-00000064,PO-00000064,SUP-00000063,PRD-00000493,75,3.58,268.5,2024-03-08,2024-04-06,2024-04-15,COMPLETED,
PO-00000065,PO-00000065,SUP-00000011,PRD-00000044,150,29.77,4465.5,2024-11-15,2024-11-22,2024-11-22,COMPLETED,
PO-00000066,PO-00000066,SUP-00000064,PRD-00000213,100,2.81,281.0,2023-10-02,2023-10-12,,CANCELLED,
PO-00000067,PO-00000067,SUP-00000045,PRD-00000278,75,12.16,912.0,2024-03-18,2024-03-27,2024-04-04,COMPLETED,
PO-00000068,PO-00000068,SUP-00000043,PRD-00000348,10,54.38,543.8000000000001,2024-05-29,2024-06-10,2024-06-06,COMPLETED,
PO-00000069,PO-00000069,SUP-00000088,PRD-00000153,20,9.3,186.0,2024-08-26,2024-09-12,2024-09-10,COMPLETED,
PO-00000070,PO-00000070,SUP-00000047,PRD-00000027,50,45.67,2283.5,2025-02-20,2025-03-06,2025-03-13,COMPLETED,
PO-00000071,PO-00000071,SUP-00000083,PRD-00000487,75,41.95,3146.25,2024-10-18,2024-11-11,2024-11-21,COMPLETED,
PO-00000072,PO-00000072,SUP-00000091,PRD-00000015,50,17.83,891.4999999999999,2023-07-20,2023-08-04,2023-08-02,COMPLETED,
PO-00000073,PO-00000073,SUP-00000072,PRD-00000127,25,46.92,1173.0,2024-08-20,2024-09-10,2024-09-11,COMPLETED,
PO-00000074,PO-00000074,SUP-00000022,PRD-00000401,100,7.94,794.0,2023-12-20,2024-01-03,2024-01-11,COMPLETED,
PO-00000075,PO-00000075,SUP-00000063,PRD-00000493,10,2.73,27.3,2024-10-18,2024-11-13,2024-11-13,COMPLETED,
PO-00000076,PO-00000076,SUP-00000099,PRD-00000001,200,7.5,1500.0,2024-03-13,2024-04-10,2024-04-16,COMPLETED,
PO-00000077,PO-00000077,SUP-00000086,PRD-00000432,75,39.33,2949.75,2024-12-28,2025-01-22,2025-01-19,COMPLETED,
PO-00000078,PO-00000078,SUP-00000065,PRD-00000203,25,15.56,389.0,2024-04-12,2024-05-02,2024-05-07,COMPLETED,
PO-00000079,PO-00000079,SUP-00000061,PRD-00000453,75,3.26,244.49999999999997,2024-10-06,2024-10-21,2024-10-26,COMPLETED,
PO-00000080,PO-00000080,SUP-00000089,PRD-00000175,200,16.92,3384.0000000000005,2024-06-01,2024-06-08,,PENDING,
PO-00000081,PO-00000081,SUP-00000092,PRD-00000069,200,92.76,18552.0,2023-07-10,2023-08-07,2023-08-17,COMPLETED,
PO-00000082,PO-00000082,SUP-00000018,PRD-00000391,20,109.2,2184.0,2025-04-25,2025-05-22,2025-05-17,COMPLETED,
PO-00000083,PO-00000083,SUP-00000072,PRD-00000457,20,2.35,47.0,2024-07-20,2024-08-15,2024-08-15,COMPLETED,
PO-00000084,PO-00000084,SUP-00000033,PRD-00000430,20,6.64,132.79999999999998,2024-01-14,2024-02-04,2024-01-30,COMPLETED,
PO-00000085,PO-00000085,SUP-00000077,PRD-00000389,100,92.47,9247.0,2025-03-20,2025-04-16,2025-04-18,COMPLETED,
PO-00000086,PO-00000086,SUP-00000035,PRD-00000120,100,4.49,449.0,2024-11-16,2024-12-15,2024-12-16,COMPLETED,
PO-00000087,PO-00000087,SUP-00000064,PRD-00000004,150,23.94,3591.0,2024-04-10,2024-05-05,2024-05-05,COMPLETED,
PO-00000088,PO-00000088,SUP-00000022,PRD-00000283,25,13.29,332.25,2023-11-09,2023-12-09,2023-12-12,COMPLETED,
PO-00000089,PO-00000089,SUP-00000028,PRD-00000478,50,13.95,697.5,2024-04-06,2024-04-19,2024-04-14,COMPLETED,
PO-00000090,PO-00000090,SUP-00000079,PRD-00000497,200,2.28,455.99999999999994,2024-09-10,2024-10-07,2024-10-03,COMPLETED,
PO-00000091,PO-00000091,SUP-00000012,PRD-00000438,150,13.01,1951.5,2024-08-20,2024-09-04,2024-09-13,COMPLETED,
PO-00000092,PO-00000092,SUP-00000044,PRD-00000254,10,8.57,85.7,2024-02-15,2024-02-23,2024-03-02,COMPLETED,
PO-00000093,PO-00000093,SUP-00000076,PRD-00000273,100,7.41,741.0,2024-01-16,2024-02-02,2024-01-28,COMPLETED,
PO-00000094,PO-00000094,SUP-00000054,PRD-00000378,150,13.57,2035.5,2024-03-12,2024-03-25,2024-03-29,COMPLETED,
PO-00000095,PO-00000095,SUP-00000095,PRD-00000033,10,9.03,90.3,2023-07-25,2023-08-19,2023-08-24,COMPLETED,
PO-00000096,PO-00000096,SUP-00000049,PRD-00000431,50,83.04,4152.0,2024-03-01,2024-03-18,2024-03-23,COMPLETED,
PO-00000097,PO-00000097,SUP-00000070,PRD-00000267,20,59.0,1180.0,2025-03-26,2025-04-16,2025-04-25,COMPLETED,
PO-00000098,PO-00000098,SUP-00000010,PRD-00000297,20,3.02,60.4,2023-08-04,2023-08-23,2023-08-20,COMPLETED,
PO-00000099,PO-00000099,SUP-00000022,PRD-00000401,10,8.93,89.3,2024-09-25,2024-10-03,2024-10-11,COMPLETED,
PO-00000100,PO-00000100,SUP-00000090,PRD-00000034,10,24.45,244.5,2024-04-27,2024-05-16,2024-05-24,COMPLETED,
PO-00000101,PO-00000101,SUP-00000082,PRD-00000120,200,5.1,1019.9999999999999,2024-09-11,2024-10-07,2024-10-12,COMPLETED,
PO-00000102,PO-00000102,SUP-00000004,PRD-00000334,200,7.31,1462.0,2025-02-21,2025-03-06,2025-03-01,COMPLETED,
PO-00000103,PO-00000103,SUP-00000045,PRD-00000305,50,144.64,7231.999999999999,2023-11-07,2023-12-04,2023-12-10,COMPLETED,
PO-00000104,PO-00000104,SUP-00000015,PRD-00000216,200,1.56,312.0,2023-11-18,2023-11-26,2023-11-30,COMPLETED,
PO-00000105,PO-00000105,SUP-00000080,PRD-00000300,100,5.07,507.0,2025-01-05,2025-01-16,2025-01-20,COMPLETED,
PO-00000106,PO-00000106,SUP-00000054,PRD-00000309,75,97.76,7332.0,2023-07-09,2023-08-01,2023-07-31,COMPLETED,
PO-00000107,PO-00000107,SUP-00000100,PRD-00000030,10,7.83,78.3,2024-01-17,2024-01-30,2024-01-31,COMPLETED,
PO-00000108,PO-00000108,SUP-00000012,PRD-00000403,100,12.25,1225.0,2024-10-30,2024-11-28,2024-12-07,COMPLETED,
PO-00000109,PO-00000109,SUP-00000070,PRD-00000308,100,55.49,5549.0,2024-09-01,2024-09-18,2024-09-27,COMPLETED,
PO-00000110,PO-00000110,SUP-00000085,PRD-00000449,200,17.58,3515.9999999999995,2023-07-04,2023-07-31,2023-08-02,COMPLETED,
PO-00000111,PO-00000111,SUP-00000099,PRD-00000239,50,14.38,719.0,2024-06-04,2024-07-04,2024-07-11,COMPLETED,
PO-00000112,PO-00000112,SUP-00000042,PRD-00000095,100,13.35,1335.0,2024-07-01,2024-07-08,2024-07-07,COMPLETED,
PO-00000113,PO-00000113,SUP-00000066,PRD-00000149,50,112.92,5646.0,2024-07-03,2024-07-11,,CANCELLED,
PO-00000114,PO-00000114,SUP-00000066,PRD-00000102,75,32.61,2445.75,2024-03-25,2024-04-24,2024-04-26,COMPLETED,
PO-00000115,PO-00000115,SUP-00000071,PRD-00000092,10,3.63,36.3,2024-03-25,2024-04-04,2024-04-03,COMPLETED,
PO-00000116,PO-00000116,SUP-00000021,PRD-00000195,100,32.82,3282.0,2024-05-08,2024-05-29,2024-06-04,COMPLETED,
PO-00000117,PO-00000117,SUP-00000039,PRD-00000339,150,31.49,4723.5,2023-09-05,2023-09-15,2023-09-14,COMPLETED,
PO-00000118,PO-00000118,SUP-00000087,PRD-00000407,50,58.01,2900.5,2024-07-18,2024-08-04,2024-08-06,COMPLETED,
PO-00000119,PO-00000119,SUP-00000059,PRD-00000472,50,61.59,3079.5,2024-04-27,2024-05-08,2024-05-04,COMPLETED,
PO-00000120,PO-00000120,SUP-00000053,PRD-00000323,25,16.49,412.24999999999994,2025-02-18,2025-03-12,2025-03-09,COMPLETED,
PO-00000121,PO-00000121,SUP-00000077,PRD-00000402,20,4.98,99.60000000000001,2024-08-01,2024-08-28,2024-09-03,COMPLETED,
PO-00000122,PO-00000122,SUP-00000056,PRD-00000256,25,1.47,36.75,2024-07-17,2024-08-09,2024-08-19,COMPLETED,
PO-00000123,PO-00000123,SUP-00000004,PRD-00000243,150,17.55,2632.5,2025-02-17,2025-03-16,2025-03-18,COMPLETED,
PO-00000124,PO-00000124,SUP-00000093,PRD-00000459,200,33.6,6720.0,2024-08-09,2024-08-22,2024-08-29,COMPLETED,
PO-00000125,PO-00000125,SUP-00000098,PRD-00000293,100,2.67,267.0,2023-09-25,2023-10-06,2023-10-10,COMPLETED,
PO-00000126,PO-00000126,SUP-00000076,PRD-00000228,50,63.56,3178.0,2024-10-19,2024-11-11,2024-11-19,COMPLETED,
PO-00000127,PO-00000127,SUP-00000044,PRD-00000231,150,87.12,13068.0,2024-11-21,2024-12-08,2024-12-03,COMPLETED,
PO-00000128,PO-00000128,SUP-00000015,PRD-00000092,50,3.76,188.0,2023-09-16,2023-10-04,,PENDING,
PO-00000129,PO-00000129,SUP-00000013,PRD-00000151,20,109.79,2195.8,2024-02-19,2024-02-29,2024-03-06,COMPLETED,
PO-00000130,PO-00000130,SUP-00000090,PRD-00000020,100,4.13,413.0,2024-06-02,2024-06-17,2024-06-20,COMPLETED,
PO-00000131,PO-00000131,SUP-00000099,PRD-00000098,75,8.89,666.75,2024-05-02,2024-05-18,2024-05-25,COMPLETED,
PO-00000132,PO-00000132,SUP-00000021,PRD-00000485,10,53.39,533.9,2024-12-06,2024-12-17,,PENDING,
PO-00000133,PO-00000133,SUP-00000061,PRD-00000117,50,18.04,902.0,2024-12-10,2025-01-04,2025-01-13,COMPLETED,
PO-00000134,PO-00000134,SUP-00000021,PRD-00000370,100,29.6,2960.0,2024-05-16,2024-05-29,2024-06-06,COMPLETED,
PO-00000135,PO-00000135,SUP-00000037,PRD-00000108,200,55.69,11138.0,2023-07-31,2023-08-18,2023-08-17,COMPLETED,
PO-00000136,PO-00000136,SUP-00000018,PRD-00000157,200,22.47,4494.0,2024-06-28,2024-07-15,2024-07-23,COMPLETED,
PO-00000137,PO-00000137,SUP-00000036,PRD-00000352,75,40.03,3002.25,2023-07-24,2023-08-18,2023-08-17,COMPLETED,
PO-00000138,PO-00000138,SUP-00000070,PRD-00000079,150,17.44,2616.0,2024-01-26,2024-02-14,2024-02-21,COMPLETED,
PO-00000139,PO-00000139,SUP-00000075,PRD-00000097,20,2.22,44.400000000000006,2024-10-05,2024-11-01,,PENDING,
PO-00000140,PO-00000140,SUP-00000090,PRD-00000048,20,13.46,269.20000000000005,2023-12-29,2024-01-06,2024-01-16,COMPLETED,
PO-00000141,PO-00000141,SUP-00000024,PRD-00000014,50,6.07,303.5,2024-07-30,2024-08-15,2024-08-19,COMPLETED,
PO-00000142,PO-00000142,SUP-00000041,PRD-00000338,200,10.86,2172.0,2024-12-12,2024-12-19,2024-12-27,COMPLETED,
PO-00000143,PO-00000143,SUP-00000097,PRD-00000201,20,6.52,130.39999999999998,2024-09-01,2024-09-23,2024-09-30,COMPLETED,
PO-00000144,PO-00000144,SUP-00000088,PRD-00000490,25,34.85,871.25,2024-05-13,2024-06-02,2024-06-12,COMPLETED,
PO-00000145,PO-00000145,SUP-00000099,PRD-00000082,50,4.83,241.5,2024-10-12,2024-10-27,2024-10-26,COMPLETED,
PO-00000146,PO-00000146,SUP-00000095,PRD-00000229,150,110.27,16540.5,2024-03-09,2024-04-01,2024-04-11,COMPLETED,
PO-00000147,PO-00000147,SUP-00000035,PRD-00000236,10,22.4,224.0,2024-04-20,2024-05-17,,PENDING,
PO-00000148,PO-00000148,SUP-00000064,PRD-00000234,75,21.92,1644.0000000000002,2023-12-27,2024-01-16,2024-01-24,COMPLETED,
PO-00000149,PO-00000149,SUP-00000092,PRD-00000235,25,28.87,721.75,2023-10-06,2023-10-25,2023-10-21,COMPLETED,
PO-00000150,PO-00000150,SUP-00000026,PRD-00000123,75,15.21,1140.75,2025-01-01,2025-01-17,2025-01-14,COMPLETED,
PO-00000151,PO-00000151,SUP-00000019,PRD-00000358,200,12.02,2404.0,2025-01-17,2025-01-27,,CANCELLED,
PO-00000152,PO-00000152,SUP-00000068,PRD-00000040,100,5.35,535.0,2023-12-16,2023-12-31,2023-12-27,COMPLETED,
PO-00000153,PO-00000153,SUP-00000052,PRD-00000237,20,21.19,423.8,2025-05-22,2025-06-21,2025-06-26,COMPLETED,
PO-00000154,PO-00000154,SUP-00000081,PRD-00000382,50,46.62,2331.0,2023-07-11,2023-07-26,2023-07-25,COMPLETED,
PO-00000155,PO-00000155,SUP-00000040,PRD-00000168,200,12.33,2466.0,2023-09-23,2023-10-17,2023-10-26,COMPLETED,
PO-00000156,PO-00000156,SUP-00000031,PRD-00000072,75,56.35,4226.25,2023-12-22,2023-12-29,2023-12-29,COMPLETED,
PO-00000157,PO-00000157,SUP-00000024,PRD-00000151,150,89.16,13374.0,2025-05-18,2025-05-25,2025-05-24,COMPLETED,
PO-00000158,PO-00000158,SUP-00000011,PRD-00000226,25,27.29,682.25,2023-08-05,2023-09-02,2023-09-11,COMPLETED,
PO-00000159,PO-00000159,SUP-00000088,PRD-00000357,20,16.33,326.59999999999997,2024-05-11,2024-06-01,2024-05-27,COMPLETED,
PO-00000160,PO-00000160,SUP-00000050,PRD-00000025,50,155.96,7798.0,2024-07-18,2024-08-01,2024-07-27,COMPLETED,
PO-00000161,PO-00000161,SUP-00000064,PRD-00000216,10,1.65,16.5,2024-01-13,2024-02-10,2024-02-12,COMPLETED,
PO-00000162,PO-00000162,SUP-00000046,PRD-00000491,25,5.87,146.75,2023-08-15,2023-09-04,2023-09-09,COMPLETED,
PO-00000163,PO-00000163,SUP-00000010,PRD-00000166,50,26.41,1320.5,2024-08-08,2024-08-28,2024-08-29,COMPLETED,
PO-00000164,PO-00000164,SUP-00000003,PRD-00000055,100,14.59,1459.0,2024-08-15,2024-09-11,2024-09-18,COMPLETED,
PO-00000165,PO-00000165,SUP-00000040,PRD-00000109,50,100.89,5044.5,2024-04-11,2024-05-08,2024-05-04,COMPLETED,
PO-00000166,PO-00000166,SUP-00000098,PRD-00000035,150,26.99,4048.4999999999995,2025-03-05,2025-03-27,,CANCELLED,
PO-00000167,PO-00000167,SUP-00000061,PRD-00000053,75,3.65,273.75,2025-03-06,2025-03-23,,CANCELLED,
PO-00000168,PO-00000168,SUP-00000032,PRD-00000357,25,16.0,400.0,2025-04-11,2025-05-10,2025-05-20,COMPLETED,
PO-00000169,PO-00000169,SUP-00000029,PRD-00000035,10,29.95,299.5,2025-02-19,2025-03-12,2025-03-14,COMPLETED,
PO-00000170,PO-00000170,SUP-00000041,PRD-00000258,50,11.16,558.0,2023-11-05,2023-11-21,2023-11-29,COMPLETED,
PO-00000171,PO-00000171,SUP-00000092,PRD-00000388,20,52.56,1051.2,2024-07-18,2024-08-09,2024-08-08,COMPLETED,
PO-00000172,PO-00000172,SUP-00000096,PRD-00000193,10,7.96,79.6,2025-03-04,2025-03-25,2025-03-30,COMPLETED,
PO-00000173,PO-00000173,SUP-00000092,PRD-00000069,100,116.44,11644.0,2023-08-10,2023-09-02,2023-09-10,COMPLETED,
PO-00000174,PO-00000174,SUP-00000026,PRD-00000332,10,3.09,30.9,2024-06-04,2024-06-21,2024-06-17,COMPLETED,
PO-00000175,PO-00000175,SUP-00000024,PRD-00000465,50,151.37,7568.5,2024-02-13,2024-03-10,,PENDING,
PO-00000176,PO-00000176,SUP-00000074,PRD-00000267,25,53.0,1325.0,2023-07-07,2023-07-16,,PENDING,
PO-00000177,PO-00000177,SUP-00000035,PRD-00000036,10,25.46,254.60000000000002,2023-11-22,2023-12-05,2023-12-05,COMPLETED,
PO-00000178,PO-00000178,SUP-00000055,PRD-00000304,50,199.33,9966.5,2023-09-19,2023-10-09,2023-10-13,COMPLETED,
PO-00000179,PO-00000179,SUP-00000043,PRD-00000085,50,37.58,1879.0,2023-12-28,2024-01-23,2024-01-27,COMPLETED,
PO-00000180,PO-00000180,SUP-00000064,PRD-00000296,50,1.83,91.5,2024-11-04,2024-11-13,,PENDING,
PO-00000181,PO-00000181,SUP-00000076,PRD-00000185,150,115.74,17361.0,2024-09-24,2024-10-14,2024-10-22,COMPLETED,
PO-00000182,PO-00000182,SUP-00000053,PRD-00000390,200,6.19,1238.0,2024-07-25,2024-08-14,,PENDING,
PO-00000183,PO-00000183,SUP-00000077,PRD-00000389,25,104.88,2622.0,2023-12-27,2024-01-11,2024-01-15,COMPLETED,
PO-00000184,PO-00000184,SUP-00000030,PRD-00000233,150,10.26,1539.0,2024-11-04,2024-11-13,2024-11-23,COMPLETED,
PO-00000185,PO-00000185,SUP-00000087,PRD-00000101,50,46.27,2313.5,2024-11-24,2024-12-24,2025-01-03,COMPLETED,
PO-00000186,PO-00000186,SUP-00000066,PRD-00000208,150,14.39,2158.5,2024-07-17,2024-08-05,2024-08-02,COMPLETED,
PO-00000187,PO-00000187,SUP-00000098,PRD-00000210,20,26.59,531.8,2025-01-30,2025-02-11,2025-02-19,COMPLETED,
PO-00000188,PO-00000188,SUP-00000046,PRD-00000491,100,5.48,548.0,2024-11-12,2024-12-09,2024-12-05,COMPLETED,
PO-00000189,PO-00000189,SUP-00000004,PRD-00000334,150,7.84,1176.0,2024-03-05,2024-03-27,2024-04-02,COMPLETED,
PO-00000190,PO-00000190,SUP-00000083,PRD-00000324,25,24.24,606.0,2024-10-09,2024-11-06,2024-11-08,COMPLETED,
PO-00000191,PO-00000191,SUP-00000026,PRD-00000309,10,89.17,891.7,2023-10-03,2023-10-30,2023-11-06,COMPLETED,
PO-00000192,PO-00000192,SUP-00000090,PRD-00000204,20,27.96,559.2,2024-01-10,2024-01-30,2024-02-07,COMPLETED,
PO-00000193,PO-00000193,SUP-00000082,PRD-00000130,150,25.98,3897.0,2024-08-25,2024-09-24,,PENDING,
PO-00000194,PO-00000194,SUP-00000009,PRD-00000056,25,1.54,38.5,2024-01-31,2024-03-01,2024-03-05,COMPLETED,
PO-00000195,PO-00000195,SUP-00000064,PRD-00000004,200,22.93,4586.0,2023-09-10,2023-10-09,2023-10-17,COMPLETED,
PO-00000196,PO-00000196,SUP-00000083,PRD-00000336,150,1.5,225.0,2024-07-18,2024-07-30,2024-07-31,COMPLETED,
PO-00000197,PO-00000197,SUP-00000085,PRD-00000250,20,25.67,513.4000000000001,2024-02-03,2024-02-15,2024-02-15,COMPLETED,
PO-00000198,PO-00000198,SUP-00000053,PRD-00000415,75,19.92,1494.0000000000002,2024-08-22,2024-09-12,2024-09-10,COMPLETED,
PO-00000199,PO-00000199,SUP-00000079,PRD-00000445,20,46.26,925.1999999999999,2024-07-21,2024-07-31,2024-08-05,COMPLETED,
PO-00000200,PO-00000200,SUP-00000081,PRD-00000016,200,1.81,362.0,2023-10-12,2023-10-19,2023-10-14,COMPLETED,
