movement_id,product_id,warehouse_id,movement_date,movement_type,reference_type,reference_id,quantity_in,quantity_out,unit_cost,running_balance
61,PRD-00000366,WH-001,2025-01-12,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000061,50,0,17.07,-85
62,PRD-00000233,WH-003,2024-09-08,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000062,25,0,10.77,130
63,PRD-00000455,WH-002,2023-10-10,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000063,200,0,13.69,201
64,PRD-00000353,WH-003,2023-12-24,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000064,150,0,10.28,134
65,PRD-00000067,WH-002,2023-09-07,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000065,2,0,42.36,2
66,PRD-00000067,WH-002,2023-09-07,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000066,48,0,42.36,50
67,PRD-00000472,WH-002,2024-08-08,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000067,150,0,47.93,236
68,PRD-00000061,WH-002,2024-05-19,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000068,17,0,58.06,113
69,PRD-00000061,WH-002,2024-05-18,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000069,58,0,58.06,96
70,PRD-00000073,WH-003,2024-06-05,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000070,10,0,10.87,180
71,PRD-00000002,WH-001,2023-09-08,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000071,100,0,3.96,99
72,PRD-00000290,WH-003,2024-11-24,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000072,33,0,34.39,149
73,PRD-00000290,WH-003,2024-11-26,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000073,67,0,34.39,216
74,PRD-00000391,WH-003,2025-06-09,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000074,200,0,108.35,362
75,PRD-00000046,WH-001,2024-09-01,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000075,150,0,17.19,405
76,PRD-00000377,WH-003,2023-08-27,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000076,20,0,3.04,20
77,PRD-00000288,WH-002,2025-04-14,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000077,20,0,11.11,-46
78,PRD-00000491,WH-003,2023-08-01,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000078,200,0,5.47,200
79,PRD-00000493,WH-002,2024-04-18,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000079,75,0,3.58,54
80,PRD-00000044,WH-002,2024-11-21,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000080,14,0,29.77,145
81,PRD-00000044,WH-001,2024-11-24,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000081,136,0,29.77,166
82,PRD-00000278,WH-003,2024-04-01,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000082,75,0,12.16,98
83,PRD-00000348,WH-001,2024-06-03,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000083,4,0,54.38,5
84,PRD-00000348,WH-001,2024-06-03,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000084,6,0,54.38,11
85,PRD-00000153,WH-002,2024-09-10,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000085,20,0,9.3,-20
86,PRD-00000027,WH-001,2025-03-12,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000086,16,0,45.67,364
87,PRD-00000027,WH-001,2025-03-12,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000087,34,0,45.67,398
88,PRD-00000487,WH-003,2024-11-23,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000088,75,0,41.95,156
89,PRD-00000015,WH-003,2023-07-31,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000089,50,0,17.83,50
90,PRD-00000127,WH-001,2024-09-12,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000090,25,0,46.92,107
91,PRD-00000401,WH-003,2024-01-08,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000091,100,0,7.94,236
92,PRD-00000493,WH-001,2024-11-10,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000092,10,0,2.73,35
93,PRD-00000001,WH-001,2024-04-14,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000093,200,0,7.5,225
94,PRD-00000432,WH-002,2025-01-16,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000094,17,0,39.33,21
95,PRD-00000432,WH-003,2025-01-21,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000095,58,0,39.33,353
96,PRD-00000203,WH-003,2024-05-07,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000096,25,0,15.56,225
97,PRD-00000453,WH-002,2024-10-23,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000097,23,0,3.26,32
98,PRD-00000453,WH-001,2024-10-27,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000098,52,0,3.26,146
99,PRD-00000069,WH-002,2023-08-16,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000099,200,0,92.76,178
100,PRD-00000391,WH-003,2025-05-15,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000100,20,0,109.2,172
101,PRD-00000457,WH-003,2024-08-15,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000101,20,0,2.35,-47
102,PRD-00000430,WH-003,2024-01-28,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000102,3,0,6.64,173
103,PRD-00000430,WH-002,2024-02-01,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000103,8,0,6.64,45
104,PRD-00000430,WH-001,2024-01-27,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000104,9,0,6.64,163
105,PRD-00000389,WH-003,2025-04-16,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000105,3,0,92.47,176
106,PRD-00000389,WH-001,2025-04-20,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000106,97,0,92.47,448
107,PRD-00000120,WH-002,2024-12-19,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000107,100,0,4.49,218
108,PRD-00000004,WH-001,2024-05-03,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000108,150,0,23.94,171
109,PRD-00000283,WH-003,2023-12-12,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000109,25,0,13.29,-25
110,PRD-00000478,WH-003,2024-04-13,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000110,50,0,13.95,110
111,PRD-00000497,WH-003,2024-10-01,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000111,200,0,2.28,330
112,PRD-00000438,WH-003,2024-09-11,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000112,46,0,13.01,216
113,PRD-00000438,WH-001,2024-09-10,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000113,35,0,13.01,164
114,PRD-00000438,WH-003,2024-09-12,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000114,69,0,13.01,285
115,PRD-00000254,WH-002,2024-03-04,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000115,10,0,8.57,221
116,PRD-00000273,WH-001,2024-01-30,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000116,100,0,7.41,275
117,PRD-00000378,WH-003,2024-03-29,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000117,30,0,13.57,43
118,PRD-00000378,WH-001,2024-03-30,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000118,120,0,13.57,90
119,PRD-00000033,WH-003,2023-08-22,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000119,10,0,9.03,10
120,PRD-00000431,WH-001,2024-03-23,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000120,50,0,83.04,150
121,PRD-00000267,WH-003,2025-04-23,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000121,5,0,59.0,-27
122,PRD-00000267,WH-001,2025-04-22,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000122,15,0,59.0,61
123,PRD-00000297,WH-002,2023-08-22,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000123,20,0,3.02,20
124,PRD-00000401,WH-001,2024-10-14,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000124,2,0,8.93,251
125,PRD-00000401,WH-003,2024-10-13,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000125,8,0,8.93,428
126,PRD-00000034,WH-001,2024-05-22,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000126,10,0,24.45,171
127,PRD-00000120,WH-003,2024-10-12,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000127,200,0,5.1,135
128,PRD-00000334,WH-002,2025-03-02,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000128,200,0,7.31,426
129,PRD-00000305,WH-002,2023-12-10,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000129,50,0,144.64,45
130,PRD-00000216,WH-003,2023-12-01,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000130,200,0,1.56,134
131,PRD-00000300,WH-002,2025-01-22,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000131,100,0,5.07,-33
132,PRD-00000309,WH-003,2023-07-29,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000132,75,0,97.76,75
133,PRD-00000030,WH-003,2024-02-02,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000133,3,0,7.83,67
134,PRD-00000030,WH-003,2024-02-02,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000134,7,0,7.83,74
135,PRD-00000403,WH-001,2024-12-06,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000135,100,0,12.25,53
136,PRD-00000308,WH-001,2024-09-27,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000136,36,0,55.49,154
137,PRD-00000308,WH-003,2024-09-25,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000137,64,0,55.49,260
138,PRD-00000449,WH-001,2023-08-03,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000138,50,0,17.58,167
139,PRD-00000449,WH-003,2023-08-01,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000139,33,0,17.58,33
140,PRD-00000449,WH-001,2023-07-30,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000140,117,0,17.58,117
141,PRD-00000239,WH-001,2024-07-10,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000141,50,0,14.38,287
142,PRD-00000095,WH-001,2024-07-05,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000142,100,0,13.35,14
143,PRD-00000102,WH-001,2024-04-26,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000143,2,0,32.61,1
144,PRD-00000102,WH-001,2024-04-27,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000144,7,0,32.61,8
145,PRD-00000102,WH-003,2024-04-28,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000145,66,0,32.61,-25
146,PRD-00000092,WH-001,2024-03-31,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000146,10,0,3.63,111
147,PRD-00000195,WH-003,2024-06-07,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000147,100,0,32.82,10
148,PRD-00000339,WH-002,2023-09-13,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000148,31,0,31.49,31
149,PRD-00000339,WH-001,2023-09-15,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000149,39,0,31.49,39
150,PRD-00000339,WH-003,2023-09-16,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000150,80,0,31.49,80
151,PRD-00000407,WH-003,2024-08-03,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000151,50,0,58.01,-10
152,PRD-00000472,WH-001,2024-05-05,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000152,18,0,61.59,203
153,PRD-00000472,WH-003,2024-05-04,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000153,32,0,61.59,-35
154,PRD-00000323,WH-002,2025-03-09,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000154,1,0,16.49,220
155,PRD-00000323,WH-001,2025-03-12,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000155,24,0,16.49,191
156,PRD-00000402,WH-003,2024-09-02,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000156,20,0,4.98,-41
157,PRD-00000256,WH-003,2024-08-19,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000157,1,0,1.47,285
158,PRD-00000256,WH-002,2024-08-19,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000158,24,0,1.47,196
159,PRD-00000243,WH-001,2025-03-17,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000159,150,0,17.55,133
160,PRD-00000459,WH-003,2024-09-01,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000160,200,0,33.6,276
161,PRD-00000293,WH-003,2023-10-07,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000161,46,0,2.67,46
162,PRD-00000293,WH-002,2023-10-13,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000162,54,0,2.67,154
163,PRD-00000228,WH-001,2024-11-18,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000163,3,0,63.56,-58
164,PRD-00000228,WH-001,2024-11-18,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000164,16,0,63.56,-42
165,PRD-00000228,WH-001,2024-11-22,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000165,31,0,63.56,-11
166,PRD-00000231,WH-002,2024-12-04,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000166,20,0,87.12,375
167,PRD-00000231,WH-001,2024-12-05,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000167,130,0,87.12,245
168,PRD-00000151,WH-003,2024-03-09,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000168,20,0,109.79,214
169,PRD-00000020,WH-001,2024-06-22,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000169,100,0,4.13,165
170,PRD-00000098,WH-002,2024-05-22,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000170,75,0,8.89,25
171,PRD-00000117,WH-002,2025-01-15,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000171,50,0,18.04,206
172,PRD-00000370,WH-002,2024-06-03,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000172,100,0,29.6,234
173,PRD-00000108,WH-001,2023-08-14,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000173,51,0,55.69,51
174,PRD-00000108,WH-001,2023-08-16,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000174,149,0,55.69,200
175,PRD-00000157,WH-001,2024-07-25,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000175,200,0,22.47,246
176,PRD-00000352,WH-002,2023-08-16,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000176,10,0,40.03,10
177,PRD-00000352,WH-001,2023-08-20,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000177,65,0,40.03,65
178,PRD-00000079,WH-003,2024-02-22,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000178,150,0,17.44,140
179,PRD-00000048,WH-001,2024-01-17,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000179,8,0,13.46,-24
180,PRD-00000048,WH-002,2024-01-17,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000180,12,0,13.46,266
181,PRD-00000014,WH-001,2024-08-18,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000181,50,0,6.07,222
182,PRD-00000338,WH-001,2024-12-27,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000182,200,0,10.86,485
183,PRD-00000201,WH-002,2024-09-28,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000183,20,0,6.52,180
184,PRD-00000490,WH-003,2024-06-13,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000184,3,0,34.85,122
185,PRD-00000490,WH-002,2024-06-12,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000185,22,0,34.85,222
186,PRD-00000082,WH-002,2024-10-26,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000186,50,0,4.83,91
187,PRD-00000229,WH-002,2024-04-13,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000187,150,0,110.27,374
188,PRD-00000234,WH-002,2024-01-24,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000188,75,0,21.92,65
189,PRD-00000235,WH-002,2023-10-24,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000189,25,0,28.87,155
190,PRD-00000123,WH-003,2025-01-17,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000190,33,0,15.21,-20
191,PRD-00000123,WH-002,2025-01-14,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000191,42,0,15.21,150
192,PRD-00000040,WH-003,2023-12-27,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000192,100,0,5.35,69
193,PRD-00000237,WH-001,2025-06-28,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000193,3,0,21.19,97
194,PRD-00000237,WH-001,2025-06-26,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000194,5,0,21.19,94
195,PRD-00000237,WH-002,2025-06-25,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000195,12,0,21.19,649
196,PRD-00000382,WH-003,2023-07-27,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000196,50,0,46.62,48
197,PRD-00000168,WH-003,2023-10-29,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000197,200,0,12.33,150
198,PRD-00000072,WH-003,2023-12-30,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000198,75,0,56.35,-5
199,PRD-00000151,WH-003,2025-05-26,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000199,150,0,89.16,313
200,PRD-00000226,WH-001,2023-09-10,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000200,25,0,27.29,25
201,PRD-00000357,WH-001,2024-05-29,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000201,20,0,16.33,-17
202,PRD-00000025,WH-002,2024-07-24,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000202,50,0,155.96,113
203,PRD-00000216,WH-003,2024-02-11,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000203,10,0,1.65,144
204,PRD-00000491,WH-001,2023-09-06,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000204,4,0,5.87,4
205,PRD-00000491,WH-003,2023-09-10,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000205,21,0,5.87,221
206,PRD-00000166,WH-002,2024-08-30,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000206,8,0,26.41,87
207,PRD-00000166,WH-001,2024-09-01,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000207,42,0,26.41,364
208,PRD-00000055,WH-002,2024-09-19,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000208,100,0,14.59,389
209,PRD-00000109,WH-002,2024-05-01,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000209,50,0,100.89,50
210,PRD-00000357,WH-003,2025-05-20,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000210,25,0,16.0,187
211,PRD-00000035,WH-003,2025-03-16,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000211,10,0,29.95,-123
212,PRD-00000258,WH-002,2023-12-01,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000212,50,0,11.16,-95
213,PRD-00000388,WH-001,2024-08-10,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000213,5,0,52.56,1
214,PRD-00000388,WH-002,2024-08-07,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000214,15,0,52.56,-37
215,PRD-00000193,WH-002,2025-03-29,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000215,10,0,7.96,40
216,PRD-00000069,WH-003,2023-09-13,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000216,100,0,116.44,100
217,PRD-00000332,WH-002,2024-06-20,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000217,1,0,3.09,160
218,PRD-00000332,WH-002,2024-06-19,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000218,9,0,3.09,159
219,PRD-00000036,WH-003,2023-12-03,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000219,1,0,25.46,-29
