invoice_id,invoice_number,so_id,invoice_date,due_date,total_amount,amount_paid,status,payment_terms_days
INV-00000020,INV-00000020,SO-00000023,2025-01-11,2025-02-25,227.3,227.3,PAID,45
INV-00000021,INV-00000021,SO-00000024,2025-06-26,2025-08-25,441.6,441.6,PAID,60
INV-00000022,INV-00000022,SO-00000025,2023-12-14,2024-01-28,198.75,0.0,OVERDUE,45
INV-00000023,INV-00000023,SO-00000027,2023-12-28,2024-02-11,36.7,24.99,PARTIAL,45
INV-00000024,INV-00000024,SO-00000028,2023-07-24,2023-09-22,959.7,959.7,PAID,60
INV-00000025,INV-00000025,SO-00000029,2024-07-15,2024-09-13,87.48,49.49,PARTIAL,60
INV-00000026,INV-00000026,SO-00000030,2024-01-19,2024-03-19,191.5,0.0,OPEN,60
INV-00000027,INV-00000027,SO-00000031,2024-03-25,2024-05-24,24.89,24.89,PAID,60
INV-00000028,INV-00000028,SO-00000032,2024-10-30,2024-11-29,54.56,0.0,OPEN,30
INV-00000029,INV-00000029,SO-00000033,2024-01-08,2024-03-08,425.44,425.44,PAID,60
INV-00000030,INV-00000030,SO-00000034,2024-12-23,2025-01-07,422.2,422.2,PAID,15
INV-00000031,INV-00000031,SO-00000035,2025-04-16,2025-05-31,619.4,284.38,PARTIAL,45
INV-00000032,INV-00000032,SO-00000036,2023-12-31,2024-01-30,194.05,194.05,PAID,30
INV-00000033,INV-00000033,SO-00000037,2025-02-13,2025-03-30,944.47,0.0,OVERDUE,45
INV-00000034,INV-00000034,SO-00000038,2025-04-08,2025-05-23,1347.5,1347.5,PAID,45
INV-00000035,INV-00000035,SO-00000039,2024-12-20,2025-01-19,151.4,151.4,PAID,30
INV-00000036,INV-00000036,SO-00000040,2025-04-18,2025-06-02,120.75,0.0,OPEN,45
INV-00000037,INV-00000037,SO-00000041,2024-12-20,2025-02-03,259.03,259.03,PAID,45
INV-00000038,INV-00000038,SO-00000042,2025-05-19,2025-07-03,1052.5,559.33,PARTIAL,45
INV-00000039,INV-00000039,SO-00000043,2025-01-10,2025-02-09,412.41,137.49,PARTIAL,30
INV-00000040,INV-00000040,SO-00000044,2025-04-17,2025-06-01,233.29,233.29,PAID,45
INV-00000041,INV-00000041,SO-00000045,2025-06-09,2025-07-24,479.55,479.55,PAID,45
INV-00000042,INV-00000042,SO-00000046,2023-09-17,2023-11-16,1514.7,0.0,OPEN,60
INV-00000043,INV-00000043,SO-00000048,2025-03-24,2025-05-08,195.4,195.4,PAID,45
INV-00000044,INV-00000044,SO-00000049,2024-01-04,2024-03-04,3866.4,0.0,OVERDUE,60
INV-00000045,INV-00000045,SO-00000050,2023-07-31,2023-09-29,224.2,224.2,PAID,60
INV-00000046,INV-00000046,SO-00000051,2023-08-16,2023-10-15,782.9,0.0,OPEN,60
INV-00000047,INV-00000047,SO-00000052,2024-08-29,2024-10-28,84.5,40.52,PARTIAL,60
INV-00000048,INV-00000048,SO-00000053,2023-11-01,2023-12-01,976.0,0.0,OPEN,30
INV-00000049,INV-00000049,SO-00000054,2023-08-01,2023-08-16,1281.5,0.0,OVERDUE,15
INV-00000050,INV-00000050,SO-00000055,2024-01-08,2024-02-07,554.0,554.0,PAID,30
INV-00000051,INV-00000051,SO-00000056,2023-11-13,2023-11-28,83.77,0.0,OPEN,15
INV-00000052,INV-00000052,SO-00000057,2023-09-14,2023-09-29,1992.38,0.0,OPEN,15
INV-00000053,INV-00000053,SO-00000058,2025-06-08,2025-07-23,2124.3,0.0,OVERDUE,45
INV-00000054,INV-00000054,SO-00000059,2023-10-27,2023-11-11,227.7,227.7,PAID,15
INV-00000055,INV-00000055,SO-00000060,2023-11-06,2023-12-21,18.46,0.0,OVERDUE,45
INV-00000056,INV-00000056,SO-00000061,2025-05-15,2025-06-14,3440.24,0.0,OPEN,30
INV-00000057,INV-00000057,SO-00000062,2024-06-14,2024-07-29,78.97,78.97,PAID,45
INV-00000058,INV-00000058,SO-00000063,2024-05-17,2024-07-16,38.7,38.7,PAID,60
INV-00000059,INV-00000059,SO-00000064,2024-07-15,2024-07-30,414.08,414.08,PAID,15
INV-00000060,INV-00000060,SO-00000065,2024-12-12,2024-12-27,5310.6,0.0,OPEN,15
INV-00000061,INV-00000061,SO-00000066,2024-12-21,2025-02-19,65.92,0.0,OVERDUE,60
INV-00000062,INV-00000062,SO-00000067,2025-06-28,2025-08-27,256.01,0.0,OPEN,60
INV-00000063,INV-00000063,SO-00000068,2024-11-19,2025-01-18,444.3,0.0,OPEN,60
INV-00000064,INV-00000064,SO-00000069,2024-08-08,2024-09-07,253.2,0.0,OPEN,30
INV-00000065,INV-00000065,SO-00000070,2024-04-29,2024-05-29,631.5,631.5,PAID,30
INV-00000066,INV-00000066,SO-00000071,2024-04-26,2024-05-11,195.0,195.0,PAID,15
INV-00000067,INV-00000067,SO-00000072,2024-11-26,2024-12-11,218.7,0.0,OPEN,15
INV-00000068,INV-00000068,SO-00000073,2024-12-11,2025-01-10,992.8,992.8,PAID,30
INV-00000069,INV-00000069,SO-00000074,2023-10-20,2023-11-04,177.51,0.0,OPEN,15
INV-00000070,INV-00000070,SO-00000075,2023-10-02,2023-11-01,120.75,0.0,OPEN,30
INV-00000071,INV-00000071,SO-00000076,2025-05-06,2025-07-05,250.3,250.3,PAID,60
INV-00000072,INV-00000072,SO-00000077,2025-04-17,2025-05-02,87.94,0.0,OPEN,15
INV-00000073,INV-00000073,SO-00000078,2024-10-10,2024-10-25,216.92,0.0,OPEN,15
INV-00000074,INV-00000074,SO-00000079,2024-07-20,2024-09-18,43.7,0.0,OPEN,60
INV-00000075,INV-00000075,SO-00000080,2025-02-13,2025-03-30,354.15,0.0,OPEN,45
INV-00000076,INV-00000076,SO-00000081,2025-05-09,2025-06-08,1347.3,0.0,OPEN,30
INV-00000077,INV-00000077,SO-00000082,2023-07-22,2023-09-20,372.85,372.85,PAID,60
INV-00000078,INV-00000078,SO-00000083,2024-10-27,2024-12-11,3012.6,0.0,OPEN,45
INV-00000079,INV-00000079,SO-00000084,2025-05-03,2025-05-18,153.14,153.14,PAID,15
INV-00000080,INV-00000080,SO-00000085,2024-09-05,2024-10-20,811.75,0.0,OPEN,45
INV-00000081,INV-00000081,SO-00000086,2023-09-21,2023-10-06,739.4,739.4,PAID,15
INV-00000082,INV-00000082,SO-00000087,2023-08-24,2023-10-08,419.0,0.0,OPEN,45
INV-00000083,INV-00000083,SO-00000088,2025-02-02,2025-03-04,86.9,0.0,OPEN,30
INV-00000084,INV-00000084,SO-00000089,2023-12-21,2024-01-20,401.5,0.0,OPEN,30
INV-00000085,INV-00000085,SO-00000090,2024-04-12,2024-06-11,315.04,0.0,OPEN,60
INV-00000086,INV-00000086,SO-00000091,2024-11-09,2025-01-08,91.35,91.35,PAID,60
INV-00000087,INV-00000087,SO-00000092,2024-10-05,2024-11-19,745.65,0.0,OVERDUE,45
INV-00000088,INV-00000088,SO-00000093,2024-10-27,2024-11-26,200.13,123.9,PARTIAL,30
INV-00000089,INV-00000089,SO-00000094,2024-08-05,2024-10-04,70.5,0.0,OVERDUE,60
INV-00000090,INV-00000090,SO-00000096,2023-12-23,2024-01-22,1448.92,0.0,OPEN,30
INV-00000091,INV-00000091,SO-00000097,2023-10-27,2023-11-11,827.7,0.0,OPEN,15
INV-00000092,INV-00000092,SO-00000098,2025-04-24,2025-06-08,401.12,271.6,PARTIAL,45
INV-00000093,INV-00000093,SO-00000099,2024-11-15,2025-01-14,38.52,38.52,PAID,60
INV-00000094,INV-00000094,SO-00000100,2024-12-12,2024-12-27,91.35,0.0,OPEN,15
INV-00000095,INV-00000095,SO-00000101,2023-08-03,2023-10-02,1746.95,1746.95,PAID,60
INV-00000096,INV-00000096,SO-00000102,2024-12-30,2025-02-13,131.08,0.0,OPEN,45
INV-00000097,INV-00000097,SO-00000103,2024-12-17,2025-01-16,3306.39,3306.39,PAID,30
INV-00000098,INV-00000098,SO-00000104,2025-01-20,2025-02-19,462.1,462.1,PAID,30
INV-00000099,INV-00000099,SO-00000105,2025-04-15,2025-05-15,2135.0,2135.0,PAID,30
INV-00000100,INV-00000100,SO-00000106,2025-01-25,2025-02-24,92.18,92.18,PAID,30
INV-00000101,INV-00000101,SO-00000107,2024-12-26,2025-01-10,107.35,107.35,PAID,15
INV-00000102,INV-00000102,SO-00000108,2024-06-17,2024-07-17,361.6,361.6,PAID,30
INV-00000103,INV-00000103,SO-00000109,2024-03-28,2024-05-12,1014.8,661.92,PARTIAL,45
INV-00000104,INV-00000104,SO-00000110,2023-11-02,2023-12-17,47.3,47.3,PAID,45
INV-00000105,INV-00000105,SO-00000111,2023-10-30,2023-12-29,4786.48,0.0,OPEN,60
INV-00000106,INV-00000106,SO-00000112,2024-08-28,2024-10-27,36.54,0.0,OPEN,60
INV-00000107,INV-00000107,SO-00000113,2025-05-04,2025-06-03,75.75,0.0,OPEN,30
INV-00000108,INV-00000108,SO-00000114,2025-02-24,2025-03-11,159.22,0.0,OVERDUE,15
INV-00000109,INV-00000109,SO-00000115,2025-04-11,2025-04-26,51.17,0.0,OPEN,15
INV-00000110,INV-00000110,SO-00000116,2024-03-10,2024-04-09,85.5,0.0,OVERDUE,30
INV-00000111,INV-00000111,SO-00000117,2024-10-18,2024-12-02,34.07,0.0,OPEN,45
INV-00000112,INV-00000112,SO-00000118,2024-12-03,2025-02-01,98.5,0.0,OPEN,60
INV-00000113,INV-00000113,SO-00000119,2024-03-24,2024-04-23,1275.23,1275.23,PAID,30
INV-00000114,INV-00000114,SO-00000120,2024-02-26,2024-03-12,21.4,21.4,PAID,15
INV-00000115,INV-00000115,SO-00000121,2024-03-16,2024-05-15,1686.0,0.0,OPEN,60
INV-00000116,INV-00000116,SO-00000122,2025-06-26,2025-07-11,1413.43,1413.43,PAID,15
INV-00000117,INV-00000117,SO-00000123,2024-07-30,2024-08-14,451.7,0.0,OPEN,15
INV-00000118,INV-00000118,SO-00000124,2024-12-29,2025-01-13,2049.15,2049.15,PAID,15
INV-00000119,INV-00000119,SO-00000125,2024-01-31,2024-03-16,201.96,201.96,PAID,45
INV-00000120,INV-00000120,SO-00000126,2023-11-23,2023-12-23,728.46,0.0,OPEN,30
INV-00000121,INV-00000121,SO-00000127,2024-10-06,2024-11-05,963.96,0.0,OVERDUE,30
INV-00000122,INV-00000122,SO-00000128,2025-02-27,2025-03-14,32.35,0.0,OPEN,15
INV-00000123,INV-00000123,SO-00000129,2024-11-04,2025-01-03,2646.56,1712.21,PARTIAL,60
INV-00000124,INV-00000124,SO-00000130,2025-06-15,2025-06-30,664.4,664.4,PAID,15
INV-00000125,INV-00000125,SO-00000131,2024-11-23,2025-01-07,319.7,319.7,PAID,45
INV-00000126,INV-00000126,SO-00000132,2023-12-23,2024-01-22,26.12,0.0,OPEN,30
INV-00000127,INV-00000127,SO-00000133,2024-04-12,2024-06-11,982.95,0.0,OVERDUE,60
INV-00000128,INV-00000128,SO-00000134,2023-08-01,2023-09-30,378.1,378.1,PAID,60
INV-00000129,INV-00000129,SO-00000136,2025-04-12,2025-05-12,3084.48,0.0,OPEN,30
INV-00000130,INV-00000130,SO-00000137,2024-03-22,2024-04-06,4500.1,4500.1,PAID,15
INV-00000131,INV-00000131,SO-00000138,2024-02-18,2024-04-18,2985.5,0.0,OPEN,60
INV-00000132,INV-00000132,SO-00000139,2024-11-30,2024-12-15,338.73,0.0,OVERDUE,15
INV-00000133,INV-00000133,SO-00000140,2025-02-05,2025-02-20,16.73,0.0,OPEN,15
INV-00000134,INV-00000134,SO-00000141,2024-05-08,2024-06-07,757.5,413.97,PARTIAL,30
INV-00000135,INV-00000135,SO-00000142,2024-09-09,2024-10-24,3470.91,3470.91,PAID,45
INV-00000136,INV-00000136,SO-00000143,2023-10-29,2023-11-13,186.4,0.0,OPEN,15
INV-00000137,INV-00000137,SO-00000144,2024-01-02,2024-01-17,333.89,333.89,PAID,15
INV-00000138,INV-00000138,SO-00000145,2024-10-07,2024-11-21,7.01,0.0,OPEN,45
INV-00000139,INV-00000139,SO-00000146,2023-11-28,2023-12-28,939.75,0.0,OPEN,30
INV-00000140,INV-00000140,SO-00000147,2024-11-20,2024-12-05,1345.0,0.0,OPEN,15
INV-00000141,INV-00000141,SO-00000148,2025-06-05,2025-07-05,702.0,702.0,PAID,30
INV-00000142,INV-00000142,SO-00000149,2024-09-26,2024-10-26,489.77,489.77,PAID,30
INV-00000143,INV-00000143,SO-00000151,2023-10-12,2023-12-11,76.76,76.76,PAID,60
INV-00000144,INV-00000144,SO-00000152,2025-01-17,2025-02-01,396.0,396.0,PAID,15
INV-00000145,INV-00000145,SO-00000153,2025-03-02,2025-04-01,409.0,0.0,OPEN,30
INV-00000146,INV-00000146,SO-00000154,2025-05-24,2025-07-08,246.55,0.0,OPEN,45
INV-00000147,INV-00000147,SO-00000156,2023-09-23,2023-10-08,46.15,46.15,PAID,15
INV-00000148,INV-00000148,SO-00000157,2025-03-07,2025-04-06,9.32,0.0,OPEN,30
INV-00000149,INV-00000149,SO-00000158,2024-05-03,2024-06-17,24.53,24.53,PAID,45
INV-00000150,INV-00000150,SO-00000159,2024-09-20,2024-10-20,316.54,0.0,OPEN,30
INV-00000151,INV-00000151,SO-00000160,2023-08-17,2023-10-01,17.13,0.0,OPEN,45
INV-00000152,INV-00000152,SO-00000162,2023-08-31,2023-09-30,1001.24,1001.24,PAID,30
INV-00000153,INV-00000153,SO-00000163,2024-11-08,2024-11-23,512.5,0.0,OVERDUE,15
INV-00000154,INV-00000154,SO-00000164,2024-10-26,2024-12-25,15.36,15.36,PAID,60
INV-00000155,INV-00000155,SO-00000165,2023-11-10,2024-01-09,76.56,0.0,OPEN,60
INV-00000156,INV-00000156,SO-00000166,2024-07-03,2024-08-17,85.52,0.0,OPEN,45
INV-00000157,INV-00000157,SO-00000167,2023-10-25,2023-12-24,103.5,71.34,PARTIAL,60
INV-00000158,INV-00000158,SO-00000168,2024-10-18,2024-12-02,171.0,171.0,PAID,45
INV-00000159,INV-00000159,SO-00000169,2024-12-05,2024-12-20,119.3,0.0,OPEN,15
INV-00000160,INV-00000160,SO-00000170,2025-03-06,2025-05-05,945.25,945.25,PAID,60
INV-00000161,INV-00000161,SO-00000171,2024-09-26,2024-10-26,420.11,420.11,PAID,30
INV-00000162,INV-00000162,SO-00000172,2023-12-25,2024-02-23,1255.5,1255.5,PAID,60
INV-00000163,INV-00000163,SO-00000173,2023-10-31,2023-11-15,207.0,207.0,PAID,15
INV-00000164,INV-00000164,SO-00000174,2025-04-11,2025-05-26,29.5,15.35,PARTIAL,45
INV-00000165,INV-00000165,SO-00000175,2023-10-08,2023-12-07,31.54,31.54,PAID,60
INV-00000166,INV-00000166,SO-00000176,2024-08-18,2024-10-17,3720.13,0.0,OPEN,60
INV-00000167,INV-00000167,SO-00000177,2023-07-07,2023-08-06,73.2,41.88,PARTIAL,30
INV-00000168,INV-00000168,SO-00000178,2024-02-02,2024-04-02,541.69,257.56,PARTIAL,60
INV-00000169,INV-00000169,SO-00000180,2025-04-14,2025-05-14,1412.0,0.0,OPEN,30
INV-00000170,INV-00000170,SO-00000181,2023-07-17,2023-08-01,538.0,538.0,PAID,15
INV-00000171,INV-00000171,SO-00000182,2023-08-21,2023-09-20,369.7,369.7,PAID,30
INV-00000172,INV-00000172,SO-00000183,2023-11-25,2023-12-10,127.4,61.91,PARTIAL,15
INV-00000173,INV-00000173,SO-00000184,2024-08-11,2024-10-10,26.95,26.95,PAID,60
INV-00000174,INV-00000174,SO-00000185,2024-08-31,2024-09-15,184.35,0.0,OPEN,15
INV-00000175,INV-00000175,SO-00000186,2025-05-24,2025-06-23,678.35,0.0,OVERDUE,30
INV-00000176,INV-00000176,SO-00000188,2024-06-07,2024-08-06,451.85,451.85,PAID,60
INV-00000177,INV-00000177,SO-00000189,2023-07-20,2023-09-03,177.5,0.0,OPEN,45
INV-00000178,INV-00000178,SO-00000190,2024-06-30,2024-08-14,2566.25,2566.25,PAID,45
INV-00000179,INV-00000179,SO-00000191,2025-04-27,2025-06-11,873.2,0.0,OPEN,45
INV-00000180,INV-00000180,SO-00000192,2023-12-03,2023-12-18,46.0,19.89,PARTIAL,15
INV-00000181,INV-00000181,SO-00000193,2024-04-18,2024-06-17,221.9,0.0,OPEN,60
INV-00000182,INV-00000182,SO-00000194,2024-12-23,2025-02-21,4838.25,0.0,OPEN,60
INV-00000183,INV-00000183,SO-00000195,2024-06-04,2024-06-19,26.86,13.75,PARTIAL,15
INV-00000184,INV-00000184,SO-00000196,2024-10-26,2024-12-25,77.1,77.1,PAID,60
INV-00000185,INV-00000185,SO-00000197,2024-02-19,2024-03-05,136.61,0.0,OVERDUE,15
INV-00000186,INV-00000186,SO-00000198,2025-05-07,2025-06-21,41.46,41.46,PAID,45
INV-00000187,INV-00000187,SO-00000199,2024-10-20,2024-11-04,1231.25,689.35,PARTIAL,15
INV-00000188,INV-00000188,SO-00000200,2023-12-09,2023-12-24,646.6,646.6,PAID,15
INV-00000189,INV-00000189,SO-00000201,2024-10-31,2024-11-15,329.5,0.0,OPEN,15
INV-00000190,INV-00000190,SO-00000202,2023-12-11,2024-01-25,618.8,0.0,OPEN,45
INV-00000191,INV-00000191,SO-00000203,2025-05-02,2025-07-01,85.75,85.75,PAID,60
INV-00000192,INV-00000192,SO-00000204,2024-09-30,2024-10-15,131.4,0.0,OPEN,15
INV-00000193,INV-00000193,SO-00000205,2025-05-05,2025-06-04,227.0,152.81,PARTIAL,30
INV-00000194,INV-00000194,SO-00000206,2024-02-10,2024-03-26,216.0,0.0,OPEN,45
INV-00000195,INV-00000195,SO-00000207,2025-02-26,2025-03-28,380.01,380.01,PAID,30
INV-00000196,INV-00000196,SO-00000208,2025-04-17,2025-05-17,299.4,0.0,OPEN,30
INV-00000197,INV-00000197,SO-00000209,2025-04-25,2025-05-25,206.55,72.93,PARTIAL,30
INV-00000198,INV-00000198,SO-00000211,2024-08-16,2024-10-15,178.26,0.0,OPEN,60
INV-00000199,INV-00000199,SO-00000212,2024-02-24,2024-04-24,46.66,0.0,OPEN,60
INV-00000200,INV-00000200,SO-00000213,2024-09-12,2024-11-11,96.13,0.0,OPEN,60
INV-00000201,INV-00000201,SO-00000214,2023-12-06,2023-12-21,2990.25,0.0,OPEN,15
INV-00000202,INV-00000202,SO-00000215,2023-10-26,2023-12-25,2663.7,2663.7,PAID,60
INV-00000203,INV-00000203,SO-00000216,2024-03-20,2024-05-19,25.31,0.0,OPEN,60
INV-00000204,INV-00000204,SO-00000218,2023-11-30,2023-12-15,448.4,292.33,PARTIAL,15
INV-00000205,INV-00000205,SO-00000219,2025-01-03,2025-03-04,556.5,355.15,PARTIAL,60
INV-00000206,INV-00000206,SO-00000220,2023-07-07,2023-09-05,8.82,0.0,OPEN,60
INV-00000207,INV-00000207,SO-00000221,2024-11-28,2025-01-27,678.8,678.8,PAID,60
INV-00000208,INV-00000208,SO-00000222,2024-10-03,2024-12-02,2069.25,0.0,OVERDUE,60
INV-00000209,INV-00000209,SO-00000223,2025-01-26,2025-02-25,1165.0,1165.0,PAID,30
INV-00000210,INV-00000210,SO-00000224,2024-04-02,2024-06-01,18211.5,18211.5,PAID,60
INV-00000211,INV-00000211,SO-00000225,2024-10-19,2024-12-18,101.48,101.48,PAID,60
INV-00000212,INV-00000212,SO-00000226,2025-02-20,2025-03-07,2988.15,2988.15,PAID,15
INV-00000213,INV-00000213,SO-00000227,2025-07-01,2025-07-31,113.2,113.2,PAID,30
INV-00000214,INV-00000214,SO-00000228,2024-04-16,2024-05-16,128.6,128.6,PAID,30
INV-00000215,INV-00000215,SO-00000230,2024-12-17,2025-01-01,20.7,20.7,PAID,15
INV-00000216,INV-00000216,SO-00000231,2024-07-18,2024-09-16,379.65,0.0,OPEN,60
INV-00000217,INV-00000217,SO-00000232,2023-07-05,2023-08-04,1256.4,0.0,OPEN,30
INV-00000218,INV-00000218,SO-00000233,2024-11-16,2024-12-31,77.53,77.53,PAID,45
INV-00000219,INV-00000219,SO-00000234,2024-12-11,2025-02-09,197.76,0.0,OPEN,60
INV-00000220,INV-00000220,SO-00000235,2024-01-11,2024-01-26,434.55,0.0,OPEN,15
INV-00000221,INV-00000221,SO-00000236,2024-07-07,2024-08-21,495.2,495.2,PAID,45
INV-00000222,INV-00000222,SO-00000237,2024-10-16,2024-11-30,340.78,0.0,OPEN,45
INV-00000223,INV-00000223,SO-00000238,2025-06-29,2025-08-13,76.6,0.0,OPEN,45
INV-00000224,INV-00000224,SO-00000240,2024-01-30,2024-02-14,33.94,33.94,PAID,15
INV-00000225,INV-00000225,SO-00000241,2023-08-14,2023-08-29,294.45,294.45,PAID,15
INV-00000226,INV-00000226,SO-00000242,2023-11-02,2023-12-17,98.25,0.0,OPEN,45
INV-00000227,INV-00000227,SO-00000243,2024-01-26,2024-03-11,947.75,0.0,OPEN,45
INV-00000228,INV-00000228,SO-00000244,2025-05-16,2025-06-30,329.6,0.0,OVERDUE,45
INV-00000229,INV-00000229,SO-00000245,2023-11-13,2023-12-13,16.58,0.0,OVERDUE,30
INV-00000230,INV-00000230,SO-00000246,2024-07-17,2024-08-16,73.2,0.0,OPEN,30
INV-00000231,INV-00000231,SO-00000247,2023-09-15,2023-11-14,502.2,502.2,PAID,60
INV-00000232,INV-00000232,SO-00000248,2024-07-24,2024-09-07,538.35,538.35,PAID,45
INV-00000233,INV-00000233,SO-00000249,2025-02-02,2025-03-04,17.12,17.12,PAID,30
INV-00000234,INV-00000234,SO-00000250,2024-06-24,2024-08-23,1638.2,1638.2,PAID,60
INV-00000235,INV-00000235,SO-00000251,2023-10-30,2023-11-29,356.07,0.0,OVERDUE,30
INV-00000236,INV-00000236,SO-00000253,2023-10-20,2023-11-04,821.67,821.67,PAID,15
INV-00000237,INV-00000237,SO-00000254,2024-06-01,2024-07-16,166.5,166.5,PAID,45
INV-00000238,INV-00000238,SO-00000255,2024-09-08,2024-11-07,741.03,0.0,OVERDUE,60
INV-00000239,INV-00000239,SO-00000256,2024-11-04,2024-11-19,460.9,0.0,OPEN,15
INV-00000240,INV-00000240,SO-00000257,2025-03-20,2025-05-19,42.25,42.25,PAID,60
INV-00000241,INV-00000241,SO-00000258,2023-09-15,2023-10-30,647.65,0.0,OPEN,45
INV-00000242,INV-00000242,SO-00000259,2024-08-21,2024-10-20,518.85,0.0,OPEN,60
INV-00000243,INV-00000243,SO-00000260,2023-08-19,2023-10-18,6648.0,2057.12,PARTIAL,60
INV-00000244,INV-00000244,SO-00000261,2024-03-08,2024-04-07,1017.02,681.42,PARTIAL,30
INV-00000245,INV-00000245,SO-00000262,2024-02-07,2024-02-22,6783.5,0.0,OPEN,15
INV-00000246,INV-00000246,SO-00000263,2024-12-26,2025-02-09,39.26,0.0,OPEN,45
INV-00000247,INV-00000247,SO-00000264,2023-12-02,2024-01-01,7.32,0.0,OPEN,30
INV-00000248,INV-00000248,SO-00000265,2024-09-05,2024-11-04,32.96,0.0,OPEN,60
INV-00000249,INV-00000249,SO-00000266,2025-03-03,2025-04-02,46.4,24.46,PARTIAL,30
INV-00000250,INV-00000250,SO-00000268,2023-08-23,2023-09-07,1175.55,0.0,OPEN,15
INV-00000251,INV-00000251,SO-00000269,2024-01-04,2024-03-04,25.2,0.0,OPEN,60
INV-00000252,INV-00000252,SO-00000270,2025-06-06,2025-08-05,40.15,0.0,OPEN,60
INV-00000253,INV-00000253,SO-00000272,2025-05-06,2025-05-21,303.0,0.0,OVERDUE,15
INV-00000254,INV-00000254,SO-00000273,2024-11-15,2025-01-14,138.5,138.5,PAID,60
INV-00000255,INV-00000255,SO-00000274,2024-01-18,2024-03-03,11.48,0.0,OPEN,45
INV-00000256,INV-00000256,SO-00000275,2025-06-19,2025-07-04,89.12,89.12,PAID,15
INV-00000257,INV-00000257,SO-00000276,2024-01-17,2024-02-16,412.6,0.0,OPEN,30
INV-00000258,INV-00000258,SO-00000277,2025-06-14,2025-06-29,1166.5,1166.5,PAID,15
INV-00000259,INV-00000259,SO-00000278,2024-12-05,2025-02-03,93.46,0.0,OPEN,60
INV-00000260,INV-00000260,SO-00000279,2025-06-04,2025-07-04,1241.55,1241.55,PAID,30
INV-00000261,INV-00000261,SO-00000280,2025-01-31,2025-03-17,7.72,0.0,OPEN,45
INV-00000262,INV-00000262,SO-00000281,2024-06-12,2024-07-27,325.88,194.04,PARTIAL,45
INV-00000263,INV-00000263,SO-00000282,2024-11-02,2024-12-02,1336.14,1336.14,PAID,30
INV-00000264,INV-00000264,SO-00000283,2025-06-12,2025-08-11,8387.5,8387.5,PAID,60
INV-00000265,INV-00000265,SO-00000284,2024-07-07,2024-09-05,593.37,593.37,PAID,60
INV-00000266,INV-00000266,SO-00000285,2024-12-02,2025-01-31,40.35,19.0,PARTIAL,60
INV-00000267,INV-00000267,SO-00000286,2025-04-21,2025-05-21,132.95,0.0,OPEN,30
INV-00000268,INV-00000268,SO-00000287,2024-01-23,2024-03-23,103.42,0.0,OPEN,60
INV-00000269,INV-00000269,SO-00000288,2024-09-23,2024-11-22,41.3,16.95,PARTIAL,60
INV-00000270,INV-00000270,SO-00000289,2024-04-03,2024-05-18,22.42,0.0,OPEN,45
INV-00000271,INV-00000271,SO-00000290,2024-02-16,2024-03-17,626.25,0.0,OPEN,30
INV-00000272,INV-00000272,SO-00000291,2024-10-28,2024-12-27,91.9,0.0,OPEN,60
INV-00000273,INV-00000273,SO-00000293,2024-03-06,2024-04-20,207.24,0.0,OPEN,45
INV-00000274,INV-00000274,SO-00000294,2025-01-06,2025-03-07,1455.0,1455.0,PAID,60
INV-00000275,INV-00000275,SO-00000295,2024-07-12,2024-08-26,276.25,276.25,PAID,45
INV-00000276,INV-00000276,SO-00000296,2024-08-01,2024-08-16,2382.5,0.0,OPEN,15
