so_id,so_number,customer_id,product_id,quantity,unit_price,total_amount,order_date,expected_delivery_date,actual_delivery_date,status,salesperson_id,warehouse_id,so_type,notes
SO-00000037,SO-00000037,CUST-00000375,PRD-00000124,20,47.22,944.47,2025-02-10,2025-02-21,,DELIVERED,SP-00000006,WH-003,STANDARD,
SO-00000038,SO-00000038,CUST-00000846,PRD-00000169,50,26.95,1347.5,2025-04-06,2025-04-17,,DELIVERED,SP-00000011,WH-002,STANDARD,
SO-00000039,SO-00000039,CUST-00000270,PRD-00000211,20,7.57,151.4,2024-12-19,2024-12-28,,SHIPPED,SP-00000015,WH-003,STANDARD,
SO-00000040,SO-00000040,CUST-00000266,PRD-00000082,15,8.05,120.75,2025-04-17,2025-04-26,,CONFIRMED,SP-00000007,WH-001,STANDARD,
SO-00000041,SO-00000041,CUST-00000683,PRD-00000114,10,25.9,259.03,2024-12-19,2024-12-31,,PROCESSING,SP-00000006,WH-003,STANDARD,
SO-00000042,SO-00000042,CUST-00000791,PRD-00000130,25,42.1,1052.5,2025-05-16,2025-05-26,,CONFIRMED,SP-00000017,WH-002,STANDARD,
SO-00000043,SO-00000043,CUST-00000630,PRD-00000439,20,20.62,412.41,2025-01-07,2025-01-10,,PROCESSING,SP-00000011,WH-002,STANDARD,
SO-00000044,SO-00000044,CUST-00000636,PRD-00000361,20,11.66,233.29,2025-04-16,2025-04-19,,SHIPPED,SP-00000014,WH-001,STANDARD,
SO-00000045,SO-00000045,CUST-00000485,PRD-00000209,15,31.97,479.55,2025-06-08,2025-06-22,,PROCESSING,SP-00000018,WH-003,STANDARD,
SO-00000046,SO-00000046,CUST-00000817,PRD-00000268,15,100.98,1514.7,2023-09-15,2023-09-28,,PROCESSING,SP-00000018,WH-002,STANDARD,
SO-00000047,SO-00000047,CUST-00000455,PRD-00000489,15,30.55,458.26,2025-05-13,2025-05-27,,CANCELLED,SP-00000002,WH-003,STANDARD,
SO-00000048,SO-00000048,CUST-00000300,PRD-00000328,10,19.54,195.4,2025-03-23,2025-04-05,,CONFIRMED,SP-00000010,WH-003,STANDARD,
SO-00000049,SO-00000049,CUST-00000332,PRD-00000265,20,193.32,3866.4,2024-01-02,2024-01-10,,CONFIRMED,SP-00000006,WH-002,STANDARD,
SO-00000050,SO-00000050,CUST-00000786,PRD-00000430,20,11.21,224.2,2023-07-29,2023-08-02,,PROCESSING,SP-00000001,WH-003,STANDARD,
SO-00000051,SO-00000051,CUST-00000037,PRD-00000267,10,78.29,782.9,2023-08-15,2023-08-20,,CONFIRMED,SP-00000015,WH-001,STANDARD,
SO-00000052,SO-00000052,CUST-00000586,PRD-00000260,10,8.45,84.5,2024-08-27,2024-09-10,,CONFIRMED,SP-00000004,WH-001,STANDARD,
SO-00000053,SO-00000053,CUST-00000898,PRD-00000118,50,19.52,976.0,2023-10-29,2023-11-08,,CONFIRMED,SP-00000017,WH-002,STANDARD,
SO-00000054,SO-00000054,CUST-00000079,PRD-00000437,50,25.63,1281.5,2023-07-30,2023-08-11,,PROCESSING,SP-00000009,WH-001,STANDARD,
SO-00000055,SO-00000055,CUST-00000792,PRD-00000039,20,27.7,554.0,2024-01-07,2024-01-20,,PROCESSING,SP-00000002,WH-002,STANDARD,
SO-00000056,SO-00000056,CUST-00000214,PRD-00000491,10,8.38,83.77,2023-11-12,2023-11-26,,CONFIRMED,SP-00000003,WH-002,STANDARD,
SO-00000057,SO-00000057,CUST-00000793,PRD-00000472,25,79.7,1992.38,2023-09-12,2023-09-23,,CONFIRMED,SP-00000007,WH-002,STANDARD,
SO-00000058,SO-00000058,CUST-00000011,PRD-00000305,10,212.43,2124.3,2025-06-07,2025-06-21,,SHIPPED,SP-00000013,WH-001,STANDARD,
SO-00000059,SO-00000059,CUST-00000869,PRD-00000403,10,22.77,227.7,2023-10-26,2023-10-31,,PROCESSING,SP-00000011,WH-001,STANDARD,
SO-00000060,SO-00000060,CUST-00000454,PRD-00000100,2,9.23,18.46,2023-11-05,2023-11-16,,DELIVERED,SP-00000007,WH-003,STANDARD,
SO-00000061,SO-00000061,CUST-00000285,PRD-00000471,25,137.61,3440.24,2025-05-13,2025-05-18,,PROCESSING,SP-00000019,WH-001,STANDARD,
SO-00000062,SO-00000062,CUST-00000788,PRD-00000061,1,78.97,78.97,2024-06-13,2024-06-24,,CONFIRMED,SP-00000008,WH-003,STANDARD,
SO-00000063,SO-00000063,CUST-00000978,PRD-00000200,5,7.74,38.7,2024-05-16,2024-05-25,,DELIVERED,SP-00000006,WH-001,STANDARD,
SO-00000064,SO-00000064,CUST-00000921,PRD-00000279,20,20.7,414.08,2024-07-12,2024-07-18,,PROCESSING,SP-00000005,WH-001,STANDARD,
SO-00000065,SO-00000065,CUST-00000327,PRD-00000424,15,354.04,5310.6,2024-12-11,2024-12-17,,PROCESSING,SP-00000007,WH-003,STANDARD,
SO-00000066,SO-00000066,CUST-00000907,PRD-00000326,2,32.96,65.92,2024-12-20,2025-01-02,,CONFIRMED,SP-00000007,WH-003,STANDARD,
SO-00000067,SO-00000067,CUST-00000709,PRD-00000055,10,25.6,256.01,2025-06-25,2025-07-09,,CONFIRMED,SP-00000015,WH-001,STANDARD,
SO-00000068,SO-00000068,CUST-00000168,PRD-00000427,5,88.86,444.3,2024-11-18,2024-11-21,,SHIPPED,SP-00000008,WH-002,STANDARD,
SO-00000069,SO-00000069,CUST-00000601,PRD-00000414,20,12.66,253.2,2024-08-07,2024-08-17,,CONFIRMED,SP-00000012,WH-003,STANDARD,
SO-00000070,SO-00000070,CUST-00000601,PRD-00000130,15,42.1,631.5,2024-04-26,2024-05-06,,SHIPPED,SP-00000011,WH-002,STANDARD,
SO-00000071,SO-00000071,CUST-00000410,PRD-00000280,20,9.75,195.0,2024-04-25,2024-05-01,,PROCESSING,SP-00000004,WH-002,STANDARD,
SO-00000072,SO-00000072,CUST-00000132,PRD-00000026,5,43.74,218.7,2024-11-25,2024-12-02,,DELIVERED,SP-00000012,WH-001,STANDARD,
SO-00000073,SO-00000073,CUST-00000776,PRD-00000259,20,49.64,992.8,2024-12-08,2024-12-12,,SHIPPED,SP-00000003,WH-002,STANDARD,
SO-00000074,SO-00000074,CUST-00000350,PRD-00000478,10,17.75,177.51,2023-10-18,2023-10-21,,CONFIRMED,SP-00000015,WH-003,STANDARD,
SO-00000075,SO-00000075,CUST-00000108,PRD-00000082,15,8.05,120.75,2023-09-30,2023-10-14,,DELIVERED,SP-00000017,WH-003,STANDARD,
SO-00000076,SO-00000076,CUST-00000481,PRD-00000163,10,25.03,250.3,2025-05-03,2025-05-10,,PROCESSING,SP-00000013,WH-001,STANDARD,
SO-00000077,SO-00000077,CUST-00000141,PRD-00000173,20,4.4,87.94,2025-04-14,2025-04-23,,SHIPPED,SP-00000003,WH-003,STANDARD,
SO-00000078,SO-00000078,CUST-00000618,PRD-00000210,5,43.38,216.92,2024-10-07,2024-10-14,,CONFIRMED,SP-00000019,WH-002,STANDARD,
SO-00000079,SO-00000079,CUST-00000264,PRD-00000080,5,8.74,43.7,2024-07-17,2024-07-30,,SHIPPED,SP-00000019,WH-002,STANDARD,
SO-00000080,SO-00000080,CUST-00000039,PRD-00000352,5,70.83,354.15,2025-02-10,2025-02-17,,DELIVERED,SP-00000005,WH-001,STANDARD,
SO-00000081,SO-00000081,CUST-00000376,PRD-00000485,15,89.82,1347.3,2025-05-08,2025-05-19,,DELIVERED,SP-00000014,WH-002,STANDARD,
SO-00000082,SO-00000082,CUST-00000716,PRD-00000362,50,7.46,372.85,2023-07-19,2023-08-01,,CONFIRMED,SP-00000002,WH-002,STANDARD,
SO-00000083,SO-00000083,CUST-00000031,PRD-00000105,15,200.84,3012.6,2024-10-26,2024-11-04,,PROCESSING,SP-00000004,WH-003,STANDARD,
SO-00000084,SO-00000084,CUST-00000556,PRD-00000206,5,30.63,153.14,2025-04-30,2025-05-08,,CONFIRMED,SP-00000005,WH-001,STANDARD,
SO-00000085,SO-00000085,CUST-00000124,PRD-00000477,25,32.47,811.75,2024-09-04,2024-09-08,,CONFIRMED,SP-00000001,WH-002,STANDARD,
SO-00000086,SO-00000086,CUST-00000694,PRD-00000116,20,36.97,739.4,2023-09-18,2023-10-02,,CONFIRMED,SP-00000010,WH-001,STANDARD,
SO-00000087,SO-00000087,CUST-00000767,PRD-00000160,50,8.38,419.0,2023-08-21,2023-08-28,,PROCESSING,SP-00000008,WH-001,STANDARD,
SO-00000088,SO-00000088,CUST-00000052,PRD-00000099,2,43.45,86.9,2025-01-31,2025-02-14,,CONFIRMED,SP-00000006,WH-001,STANDARD,
SO-00000089,SO-00000089,CUST-00000615,PRD-00000060,50,8.03,401.5,2023-12-18,2023-12-23,,DELIVERED,SP-00000018,WH-003,STANDARD,
SO-00000090,SO-00000090,CUST-00000899,PRD-00000269,2,157.52,315.04,2024-04-11,2024-04-18,,CONFIRMED,SP-00000006,WH-003,STANDARD,
SO-00000091,SO-00000091,CUST-00000910,PRD-00000212,15,6.09,91.35,2024-11-06,2024-11-11,,SHIPPED,SP-00000001,WH-002,STANDARD,
SO-00000092,SO-00000092,CUST-00000294,PRD-00000124,15,49.71,745.65,2024-10-04,2024-10-14,,CONFIRMED,SP-00000013,WH-001,STANDARD,
SO-00000093,SO-00000093,CUST-00000554,PRD-00000198,10,20.01,200.13,2024-10-25,2024-11-07,,CONFIRMED,SP-00000018,WH-001,STANDARD,
SO-00000094,SO-00000094,CUST-00000309,PRD-00000176,25,2.82,70.5,2024-08-03,2024-08-12,,CONFIRMED,SP-00000006,WH-002,STANDARD,
SO-00000095,SO-00000095,CUST-00000915,PRD-00000458,20,20.71,414.2,2024-03-20,2024-03-25,,CANCELLED,SP-00000020,WH-002,STANDARD,
SO-00000096,SO-00000096,CUST-00000661,PRD-00000462,20,72.45,1448.92,2023-12-22,2024-01-05,,CONFIRMED,SP-00000002,WH-001,STANDARD,
SO-00000097,SO-00000097,CUST-00000005,PRD-00000307,10,82.77,827.7,2023-10-25,2023-11-02,,PROCESSING,SP-00000001,WH-002,STANDARD,
SO-00000098,SO-00000098,CUST-00000683,PRD-00000065,2,200.56,401.12,2025-04-21,2025-04-25,,PROCESSING,SP-00000006,WH-002,STANDARD,
SO-00000099,SO-00000099,CUST-00000709,PRD-00000300,5,7.7,38.52,2024-11-14,2024-11-19,,CONFIRMED,SP-00000006,WH-003,STANDARD,
SO-00000100,SO-00000100,CUST-00000768,PRD-00000212,15,6.09,91.35,2024-12-10,2024-12-23,,DELIVERED,SP-00000003,WH-003,STANDARD,
SO-00000101,SO-00000101,CUST-00000545,PRD-00000116,50,34.94,1746.95,2023-08-01,2023-08-06,,PROCESSING,SP-00000008,WH-002,STANDARD,
SO-00000102,SO-00000102,CUST-00000435,PRD-00000162,15,8.74,131.08,2024-12-27,2025-01-05,,DELIVERED,SP-00000020,WH-002,STANDARD,
SO-00000103,SO-00000103,CUST-00000784,PRD-00000022,50,66.13,3306.39,2024-12-14,2024-12-18,,SHIPPED,SP-00000014,WH-001,STANDARD,
SO-00000104,SO-00000104,CUST-00000996,PRD-00000289,15,30.81,462.1,2025-01-18,2025-01-26,,PROCESSING,SP-00000014,WH-001,STANDARD,
SO-00000105,SO-00000105,CUST-00000235,PRD-00000499,50,42.7,2135.0,2025-04-13,2025-04-16,,SHIPPED,SP-00000004,WH-001,STANDARD,
SO-00000106,SO-00000106,CUST-00000595,PRD-00000210,2,46.09,92.18,2025-01-23,2025-02-03,,CONFIRMED,SP-00000011,WH-003,STANDARD,
SO-00000107,SO-00000107,CUST-00000749,PRD-00000320,15,7.16,107.35,2024-12-25,2025-01-08,,SHIPPED,SP-00000019,WH-001,STANDARD,
SO-00000108,SO-00000108,CUST-00000281,PRD-00000154,10,36.16,361.6,2024-06-14,2024-06-27,,DELIVERED,SP-00000019,WH-001,STANDARD,
SO-00000109,SO-00000109,CUST-00000419,PRD-00000181,10,101.48,1014.8,2024-03-25,2024-04-03,,PROCESSING,SP-00000016,WH-002,STANDARD,
SO-00000110,SO-00000110,CUST-00000070,PRD-00000220,5,9.46,47.3,2023-11-01,2023-11-14,,SHIPPED,SP-00000018,WH-001,STANDARD,
SO-00000111,SO-00000111,CUST-00000568,PRD-00000385,25,191.46,4786.48,2023-10-27,2023-11-04,,PROCESSING,SP-00000016,WH-003,STANDARD,
SO-00000112,SO-00000112,CUST-00000163,PRD-00000058,2,18.27,36.54,2024-08-26,2024-09-02,,DELIVERED,SP-00000010,WH-002,STANDARD,
SO-00000113,SO-00000113,CUST-00000195,PRD-00000033,5,15.15,75.75,2025-05-01,2025-05-07,,DELIVERED,SP-00000020,WH-001,STANDARD,
SO-00000114,SO-00000114,CUST-00000723,PRD-00000431,1,159.22,159.22,2025-02-22,2025-02-27,,SHIPPED,SP-00000020,WH-001,STANDARD,
SO-00000115,SO-00000115,CUST-00000739,PRD-00000139,1,51.17,51.17,2025-04-09,2025-04-22,,CONFIRMED,SP-00000005,WH-003,STANDARD,
SO-00000116,SO-00000116,CUST-00000807,PRD-00000032,1,85.5,85.5,2024-03-07,2024-03-12,,PROCESSING,SP-00000002,WH-001,STANDARD,
SO-00000117,SO-00000117,CUST-00000938,PRD-00000077,1,34.07,34.07,2024-10-17,2024-10-31,,CONFIRMED,SP-00000007,WH-002,STANDARD,
SO-00000118,SO-00000118,CUST-00000014,PRD-00000355,2,49.25,98.5,2024-12-01,2024-12-09,,CONFIRMED,SP-00000008,WH-001,STANDARD,
SO-00000119,SO-00000119,CUST-00000195,PRD-00000422,20,63.76,1275.23,2024-03-21,2024-03-30,,PROCESSING,SP-00000005,WH-002,STANDARD,
SO-00000120,SO-00000120,CUST-00000834,PRD-00000013,5,4.28,21.4,2024-02-24,2024-03-09,,PROCESSING,SP-00000008,WH-002,STANDARD,
SO-00000121,SO-00000121,CUST-00000708,PRD-00000126,50,33.72,1686.0,2024-03-15,2024-03-18,,SHIPPED,SP-00000007,WH-001,STANDARD,
SO-00000122,SO-00000122,CUST-00000882,PRD-00000152,20,70.67,1413.43,2025-06-24,2025-07-03,,CONFIRMED,SP-00000002,WH-002,STANDARD,
SO-00000123,SO-00000123,CUST-00000725,PRD-00000156,10,45.17,451.7,2024-07-28,2024-08-01,,CONFIRMED,SP-00000009,WH-001,STANDARD,
SO-00000124,SO-00000124,CUST-00000798,PRD-00000143,15,136.61,2049.15,2024-12-27,2025-01-06,,DELIVERED,SP-00000005,WH-003,STANDARD,
SO-00000125,SO-00000125,CUST-00000112,PRD-00000268,2,100.98,201.96,2024-01-30,2024-02-06,,DELIVERED,SP-00000009,WH-001,STANDARD,
SO-00000126,SO-00000126,CUST-00000262,PRD-00000304,2,364.23,728.46,2023-11-21,2023-12-03,,CONFIRMED,SP-00000003,WH-002,STANDARD,
SO-00000127,SO-00000127,CUST-00000502,PRD-00000199,50,19.28,963.96,2024-10-05,2024-10-17,,SHIPPED,SP-00000004,WH-001,STANDARD,
SO-00000128,SO-00000128,CUST-00000183,PRD-00000276,1,32.35,32.35,2025-02-25,2025-03-06,,SHIPPED,SP-00000004,WH-003,STANDARD,
SO-00000129,SO-00000129,CUST-00000122,PRD-00000224,10,264.66,2646.56,2024-11-01,2024-11-09,,CONFIRMED,SP-00000015,WH-001,STANDARD,
SO-00000130,SO-00000130,CUST-00000524,PRD-00000343,5,132.88,664.4,2025-06-12,2025-06-15,,CONFIRMED,SP-00000019,WH-002,STANDARD,
SO-00000131,SO-00000131,CUST-00000621,PRD-00000209,10,31.97,319.7,2024-11-20,2024-11-26,,DELIVERED,SP-00000013,WH-003,STANDARD,
SO-00000132,SO-00000132,CUST-00000240,PRD-00000401,2,13.06,26.12,2023-12-21,2023-12-28,,DELIVERED,SP-00000006,WH-001,STANDARD,
SO-00000133,SO-00000133,CUST-00000338,PRD-00000109,5,196.59,982.95,2024-04-11,2024-04-14,,SHIPPED,SP-00000008,WH-001,STANDARD,
SO-00000134,SO-00000134,CUST-00000744,PRD-00000074,10,37.81,378.1,2023-07-31,2023-08-06,,CONFIRMED,SP-00000009,WH-002,STANDARD,
SO-00000135,SO-00000135,CUST-00000531,PRD-00000141,2,94.24,188.48,2023-11-05,2023-11-14,,CANCELLED,SP-00000008,WH-001,STANDARD,
SO-00000136,SO-00000136,CUST-00000390,PRD-00000085,50,61.69,3084.48,2025-04-11,2025-04-24,,SHIPPED,SP-00000017,WH-003,STANDARD,
SO-00000137,SO-00000137,CUST-00000045,PRD-00000287,50,90.0,4500.1,2024-03-20,2024-03-25,,SHIPPED,SP-00000001,WH-003,STANDARD,
SO-00000138,SO-00000138,CUST-00000904,PRD-00000103,25,119.42,2985.5,2024-02-15,2024-02-27,,DELIVERED,SP-00000013,WH-003,STANDARD,
SO-00000139,SO-00000139,CUST-00000864,PRD-00000328,20,16.94,338.73,2024-11-28,2024-12-11,,CONFIRMED,SP-00000002,WH-001,STANDARD,
SO-00000140,SO-00000140,CUST-00000821,PRD-00000118,1,16.73,16.73,2025-02-02,2025-02-14,,DELIVERED,SP-00000010,WH-001,STANDARD,
SO-00000141,SO-00000141,CUST-00000417,PRD-00000033,50,15.15,757.5,2024-05-05,2024-05-13,,DELIVERED,SP-00000011,WH-003,STANDARD,
SO-00000142,SO-00000142,CUST-00000948,PRD-00000312,50,69.42,3470.91,2024-09-06,2024-09-13,,SHIPPED,SP-00000004,WH-001,STANDARD,
SO-00000143,SO-00000143,CUST-00000025,PRD-00000480,20,9.32,186.4,2023-10-26,2023-11-07,,CONFIRMED,SP-00000011,WH-001,STANDARD,
SO-00000144,SO-00000144,CUST-00000421,PRD-00000325,5,66.78,333.89,2023-12-31,2024-01-12,,SHIPPED,SP-00000002,WH-003,STANDARD,
SO-00000145,SO-00000145,CUST-00000527,PRD-00000282,1,7.01,7.01,2024-10-06,2024-10-17,,CONFIRMED,SP-00000012,WH-002,STANDARD,
SO-00000146,SO-00000146,CUST-00000502,PRD-00000486,25,37.59,939.75,2023-11-27,2023-12-03,,DELIVERED,SP-00000007,WH-003,STANDARD,
SO-00000147,SO-00000147,CUST-00000686,PRD-00000495,50,26.9,1345.0,2024-11-19,2024-11-30,,CONFIRMED,SP-00000012,WH-001,STANDARD,
SO-00000148,SO-00000148,CUST-00000195,PRD-00000393,50,14.04,702.0,2025-06-02,2025-06-12,,PROCESSING,SP-00000007,WH-002,STANDARD,
SO-00000149,SO-00000149,CUST-00000288,PRD-00000199,25,19.59,489.77,2024-09-25,2024-10-01,,CONFIRMED,SP-00000013,WH-002,STANDARD,
SO-00000150,SO-00000150,CUST-00000402,PRD-00000045,5,83.25,416.25,2023-09-24,2023-10-07,,CANCELLED,SP-00000005,WH-001,STANDARD,
SO-00000151,SO-00000151,CUST-00000518,PRD-00000302,1,76.76,76.76,2023-10-10,2023-10-15,,DELIVERED,SP-00000011,WH-003,STANDARD,
SO-00000152,SO-00000152,CUST-00000581,PRD-00000112,5,79.2,396.0,2025-01-16,2025-01-23,,CONFIRMED,SP-00000001,WH-003,STANDARD,
SO-00000153,SO-00000153,CUST-00000880,PRD-00000131,50,8.18,409.0,2025-02-27,2025-03-04,,SHIPPED,SP-00000004,WH-002,STANDARD,
SO-00000154,SO-00000154,CUST-00000435,PRD-00000395,5,49.31,246.55,2025-05-21,2025-05-31,,SHIPPED,SP-00000009,WH-001,STANDARD,
SO-00000155,SO-00000155,CUST-00000708,PRD-00000191,50,143.23,7161.5,2024-08-21,2024-09-04,,CANCELLED,SP-00000008,WH-003,STANDARD,
SO-00000156,SO-00000156,CUST-00000857,PRD-00000100,5,9.23,46.15,2023-09-22,2023-09-26,,CONFIRMED,SP-00000018,WH-003,STANDARD,
SO-00000157,SO-00000157,CUST-00000433,PRD-00000480,1,9.32,9.32,2025-03-05,2025-03-13,,DELIVERED,SP-00000013,WH-003,STANDARD,
SO-00000158,SO-00000158,CUST-00000259,PRD-00000375,1,24.53,24.53,2024-05-02,2024-05-05,,PROCESSING,SP-00000008,WH-003,STANDARD,
SO-00000159,SO-00000159,CUST-00000726,PRD-00000251,50,6.33,316.54,2024-09-19,2024-09-25,,DELIVERED,SP-00000006,WH-002,STANDARD,
SO-00000160,SO-00000160,CUST-00000948,PRD-00000118,1,17.13,17.13,2023-08-16,2023-08-22,,DELIVERED,SP-00000004,WH-003,STANDARD,
SO-00000161,SO-00000161,CUST-00000710,PRD-00000195,15,47.76,716.4,2024-04-04,2024-04-11,,CANCELLED,SP-00000004,WH-001,STANDARD,
SO-00000162,SO-00000162,CUST-00000335,PRD-00000422,15,66.75,1001.24,2023-08-29,2023-09-09,,DELIVERED,SP-00000018,WH-003,STANDARD,
SO-00000163,SO-00000163,CUST-00000123,PRD-00000122,50,10.25,512.5,2024-11-06,2024-11-10,,SHIPPED,SP-00000009,WH-002,STANDARD,
SO-00000164,SO-00000164,CUST-00000558,PRD-00000371,2,7.68,15.36,2024-10-23,2024-11-05,,CONFIRMED,SP-00000015,WH-003,STANDARD,
SO-00000165,SO-00000165,CUST-00000886,PRD-00000394,2,38.28,76.56,2023-11-09,2023-11-16,,SHIPPED,SP-00000008,WH-003,STANDARD,
SO-00000166,SO-00000166,CUST-00000062,PRD-00000235,2,42.76,85.52,2024-07-01,2024-07-14,,CONFIRMED,SP-00000004,WH-001,STANDARD,
SO-00000167,SO-00000167,CUST-00000919,PRD-00000038,5,20.7,103.5,2023-10-23,2023-10-31,,CONFIRMED,SP-00000011,WH-002,STANDARD,
SO-00000168,SO-00000168,CUST-00000419,PRD-00000440,20,8.55,171.0,2024-10-17,2024-10-26,,SHIPPED,SP-00000016,WH-001,STANDARD,
SO-00000169,SO-00000169,CUST-00000184,PRD-00000054,10,11.93,119.3,2024-12-02,2024-12-08,,CONFIRMED,SP-00000002,WH-001,STANDARD,
