lead_id,lead_number,customer_id,salesperson_id,estimated_value,lead_date,lead_status,source,notes
LEAD-00000069,LEAD-00000069,CUST-00000695,SP-00000005,500.0,2024-04-16,NEW,Website,
LEAD-00000070,LEAD-00000070,CUST-00000387,SP-00000004,500.0,2024-03-26,CONVERTED,Website,
LEAD-00000071,LEAD-00000071,CUST-00000766,SP-00000013,2500.0,2024-05-25,CONTACTED,Email Campaign,
LEAD-00000072,LEAD-00000072,CUST-00000191,SP-00000001,500.0,2025-05-30,QUALIFIED,Website,
LEAD-00000073,LEAD-00000073,CUST-00000710,SP-00000005,50000.0,2024-04-02,CONTACTED,Website,
LEAD-00000074,LEAD-00000074,CUST-00000385,SP-00000004,10000.0,2024-05-10,CONVERTED,Trade Show,
LEAD-00000075,LEAD-00000075,CUST-00000254,SP-00000015,500.0,2025-03-31,NEW,Partner,
LEAD-00000076,LEAD-00000076,CUST-00000524,SP-00000016,10000.0,2024-12-12,CONVERTED,Referral,
LEAD-00000077,LEAD-00000077,CUST-00000641,SP-00000008,1000.0,2024-03-06,QUALIFIED,Cold Call,
LEAD-00000078,LEAD-00000078,CUST-00000451,SP-00000001,10000.0,2025-01-15,QUALIFIED,Trade Show,
LEAD-00000079,LEAD-00000079,CUST-00000209,SP-00000010,1000.0,2024-06-27,QUALIFIED,Website,
LEAD-00000080,LEAD-00000080,CUST-00000509,SP-00000002,500.0,2024-01-13,CONVERTED,Trade Show,
LEAD-00000081,LEAD-00000081,CUST-00000513,SP-00000018,50000.0,2023-10-02,QUALIFIED,Website,
LEAD-00000082,LEAD-00000082,CUST-00000383,SP-00000012,50000.0,2024-06-23,LOST,Trade Show,
LEAD-00000083,LEAD-00000083,CUST-00000573,SP-00000019,10000.0,2024-03-12,CONVERTED,Email Campaign,
LEAD-00000084,LEAD-00000084,CUST-00000484,SP-00000004,1000.0,2023-07-14,CONVERTED,Cold Call,
LEAD-00000085,LEAD-00000085,CUST-00000094,SP-00000018,10000.0,2023-07-28,CONTACTED,Website,
LEAD-00000086,LEAD-00000086,CUST-00000107,SP-00000006,50000.0,2023-09-06,QUALIFIED,Cold Call,
LEAD-00000087,LEAD-00000087,CUST-00000126,SP-00000002,10000.0,2025-05-17,QUALIFIED,Website,
LEAD-00000088,LEAD-00000088,CUST-00000436,SP-00000004,500.0,2025-06-24,CONVERTED,Partner,
LEAD-00000089,LEAD-00000089,CUST-00000586,SP-00000013,5000.0,2024-03-30,LOST,Partner,
LEAD-00000090,LEAD-00000090,CUST-00000609,SP-00000016,5000.0,2024-12-05,NEW,Trade Show,
LEAD-00000091,LEAD-00000091,CUST-00000586,SP-00000007,500.0,2024-09-19,CONVERTED,Partner,
LEAD-00000092,LEAD-00000092,CUST-00000609,SP-00000007,25000.0,2024-05-07,QUALIFIED,Trade Show,
LEAD-00000093,LEAD-00000093,CUST-00000372,SP-00000015,2500.0,2025-02-10,NEW,Trade Show,
LEAD-00000094,LEAD-00000094,CUST-00000451,SP-00000010,5000.0,2023-09-24,CONTACTED,Website,
LEAD-00000095,LEAD-00000095,CUST-00000328,SP-00000011,5000.0,2024-04-24,QUALIFIED,Partner,
LEAD-00000096,LEAD-00000096,CUST-00000386,SP-00000009,1000.0,2023-12-04,NEW,Trade Show,
LEAD-00000097,LEAD-00000097,CUST-00000798,SP-00000013,10000.0,2024-07-30,CONTACTED,Email Campaign,
LEAD-00000098,LEAD-00000098,CUST-00000963,SP-00000004,2500.0,2024-12-27,QUALIFIED,Cold Call,
LEAD-00000099,LEAD-00000099,CUST-00000002,SP-00000019,10000.0,2024-01-18,QUALIFIED,Partner,
LEAD-00000100,LEAD-00000100,CUST-00000647,SP-00000006,5000.0,2024-01-24,CONTACTED,Website,
LEAD-00000101,LEAD-00000101,CUST-00000614,SP-00000005,5000.0,2023-12-09,NEW,Trade Show,
LEAD-00000102,LEAD-00000102,CUST-00000525,SP-00000005,2500.0,2023-07-21,NEW,Trade Show,
LEAD-00000103,LEAD-00000103,CUST-00000149,SP-00000003,5000.0,2024-01-29,QUALIFIED,Website,
LEAD-00000104,LEAD-00000104,CUST-00000070,SP-00000017,50000.0,2025-03-21,LOST,Referral,
LEAD-00000105,LEAD-00000105,CUST-00000760,SP-00000007,25000.0,2025-04-01,NEW,Cold Call,
LEAD-00000106,LEAD-00000106,CUST-00000101,SP-00000011,25000.0,2023-12-14,CONTACTED,Email Campaign,
LEAD-00000107,LEAD-00000107,CUST-00000631,SP-00000020,25000.0,2025-06-22,CONTACTED,Cold Call,
LEAD-00000108,LEAD-00000108,CUST-00000901,SP-00000008,10000.0,2023-08-31,NEW,Cold Call,
LEAD-00000109,LEAD-00000109,CUST-00000583,SP-00000015,50000.0,2023-12-28,CONVERTED,Website,
LEAD-00000110,LEAD-00000110,CUST-00000968,SP-00000018,50000.0,2024-12-04,CONTACTED,Email Campaign,
LEAD-00000111,LEAD-00000111,CUST-00000257,SP-00000002,5000.0,2024-03-04,CONVERTED,Trade Show,
LEAD-00000112,LEAD-00000112,CUST-00000235,SP-00000003,10000.0,2023-07-21,LOST,Partner,
LEAD-00000113,LEAD-00000113,CUST-00000563,SP-00000012,25000.0,2024-10-01,QUALIFIED,Trade Show,
LEAD-00000114,LEAD-00000114,CUST-00000404,SP-00000020,50000.0,2024-12-10,CONVERTED,Cold Call,
LEAD-00000115,LEAD-00000115,CUST-00000725,SP-00000015,2500.0,2025-06-01,QUALIFIED,Email Campaign,
LEAD-00000116,LEAD-00000116,CUST-00000486,SP-00000002,500.0,2024-06-02,QUALIFIED,Partner,
LEAD-00000117,LEAD-00000117,CUST-00000294,SP-00000005,25000.0,2023-11-14,LOST,Partner,
LEAD-00000118,LEAD-00000118,CUST-00000505,SP-00000002,10000.0,2024-07-11,CONTACTED,Cold Call,
LEAD-00000119,LEAD-00000119,CUST-00000899,SP-00000006,500.0,2023-08-18,QUALIFIED,Partner,
LEAD-00000120,LEAD-00000120,CUST-00000240,SP-00000014,50000.0,2025-01-13,CONVERTED,Partner,
LEAD-00000121,LEAD-00000121,CUST-00000797,SP-00000020,500.0,2025-01-18,QUALIFIED,Trade Show,
LEAD-00000122,LEAD-00000122,CUST-00000226,SP-00000011,25000.0,2024-03-08,CONVERTED,Referral,
LEAD-00000123,LEAD-00000123,CUST-00000033,SP-00000004,10000.0,2024-10-23,CONTACTED,Cold Call,
LEAD-00000124,LEAD-00000124,CUST-00000713,SP-00000003,1000.0,2025-02-05,CONTACTED,Partner,
LEAD-00000125,LEAD-00000125,CUST-00000259,SP-00000003,500.0,2024-07-14,CONTACTED,Website,
LEAD-00000126,LEAD-00000126,CUST-00000991,SP-00000020,500.0,2023-12-01,QUALIFIED,Partner,
LEAD-00000127,LEAD-00000127,CUST-00000058,SP-00000015,1000.0,2024-07-29,CONTACTED,Website,
LEAD-00000128,LEAD-00000128,CUST-00000996,SP-00000014,25000.0,2023-12-02,CONTACTED,Trade Show,
LEAD-00000129,LEAD-00000129,CUST-00000981,SP-00000009,5000.0,2023-07-13,CONVERTED,Email Campaign,
LEAD-00000130,LEAD-00000130,CUST-00000978,SP-00000014,5000.0,2024-03-23,CONTACTED,Cold Call,
LEAD-00000131,LEAD-00000131,CUST-00000067,SP-00000014,1000.0,2024-02-24,QUALIFIED,Trade Show,
LEAD-00000132,LEAD-00000132,CUST-00000137,SP-00000014,25000.0,2024-06-20,QUALIFIED,Trade Show,
LEAD-00000133,LEAD-00000133,CUST-00000341,SP-00000015,2500.0,2024-09-27,CONTACTED,Partner,
LEAD-00000134,LEAD-00000134,CUST-00000527,SP-00000004,500.0,2023-12-14,CONVERTED,Website,
LEAD-00000135,LEAD-00000135,CUST-00000038,SP-00000012,5000.0,2024-05-24,QUALIFIED,Trade Show,
LEAD-00000136,LEAD-00000136,CUST-00000959,SP-00000008,500.0,2025-05-11,CONTACTED,Cold Call,
LEAD-00000137,LEAD-00000137,CUST-00000818,SP-00000009,1000.0,2025-04-03,CONVERTED,Referral,
LEAD-00000138,LEAD-00000138,CUST-00000544,SP-00000015,1000.0,2025-05-08,CONTACTED,Website,
LEAD-00000139,LEAD-00000139,CUST-00000487,SP-00000012,10000.0,2024-02-05,CONTACTED,Email Campaign,
LEAD-00000140,LEAD-00000140,CUST-00000670,SP-00000006,2500.0,2023-12-19,NEW,Trade Show,
LEAD-00000141,LEAD-00000141,CUST-00000257,SP-00000018,1000.0,2024-03-09,QUALIFIED,Email Campaign,
LEAD-00000142,LEAD-00000142,CUST-00000604,SP-00000001,500.0,2024-10-25,NEW,Cold Call,
LEAD-00000143,LEAD-00000143,CUST-00000207,SP-00000016,10000.0,2023-09-16,QUALIFIED,Website,
LEAD-00000144,LEAD-00000144,CUST-00000559,SP-00000014,10000.0,2025-02-21,CONVERTED,Email Campaign,
LEAD-00000145,LEAD-00000145,CUST-00000217,SP-00000019,25000.0,2025-06-20,CONVERTED,Partner,
LEAD-00000146,LEAD-00000146,CUST-00000352,SP-00000009,1000.0,2024-04-09,QUALIFIED,Cold Call,
LEAD-00000147,LEAD-00000147,CUST-00000712,SP-00000003,1000.0,2025-01-23,CONTACTED,Referral,
LEAD-00000148,LEAD-00000148,CUST-00000777,SP-00000017,2500.0,2023-09-02,CONVERTED,Email Campaign,
LEAD-00000149,LEAD-00000149,CUST-00000899,SP-00000017,5000.0,2023-07-07,CONTACTED,Email Campaign,
LEAD-00000150,LEAD-00000150,CUST-00000753,SP-00000003,10000.0,2024-01-20,CONVERTED,Email Campaign,
LEAD-00000151,LEAD-00000151,CUST-00000668,SP-00000015,1000.0,2023-11-10,CONTACTED,Referral,
LEAD-00000152,LEAD-00000152,CUST-00000335,SP-00000004,10000.0,2024-06-01,NEW,Cold Call,
LEAD-00000153,LEAD-00000153,CUST-00000988,SP-00000005,1000.0,2024-03-09,CONTACTED,Website,
LEAD-00000154,LEAD-00000154,CUST-00000692,SP-00000012,50000.0,2025-01-31,CONVERTED,Partner,
LEAD-00000155,LEAD-00000155,CUST-00000738,SP-00000008,50000.0,2025-01-17,QUALIFIED,Email Campaign,
LEAD-00000156,LEAD-00000156,CUST-00000241,SP-00000008,1000.0,2024-02-01,CONTACTED,Email Campaign,
LEAD-00000157,LEAD-00000157,CUST-00000499,SP-00000007,25000.0,2025-05-05,CONTACTED,Partner,
LEAD-00000158,LEAD-00000158,CUST-00000537,SP-00000002,2500.0,2025-01-13,NEW,Partner,
LEAD-00000159,LEAD-00000159,CUST-00000852,SP-00000019,10000.0,2025-03-08,QUALIFIED,Email Campaign,
LEAD-00000160,LEAD-00000160,CUST-00000766,SP-00000017,500.0,2024-04-15,LOST,Email Campaign,
LEAD-00000161,LEAD-00000161,CUST-00000013,SP-00000011,10000.0,2024-06-07,NEW,Trade Show,
LEAD-00000162,LEAD-00000162,CUST-00000421,SP-00000016,2500.0,2024-08-17,CONTACTED,Referral,
LEAD-00000163,LEAD-00000163,CUST-00000474,SP-00000007,500.0,2023-08-08,CONTACTED,Cold Call,
LEAD-00000164,LEAD-00000164,CUST-00000301,SP-00000015,500.0,2024-04-10,CONVERTED,Cold Call,
LEAD-00000165,LEAD-00000165,CUST-00000062,SP-00000010,50000.0,2023-11-21,QUALIFIED,Partner,
LEAD-00000166,LEAD-00000166,CUST-00000046,SP-00000009,25000.0,2025-01-04,CONVERTED,Email Campaign,
LEAD-00000167,LEAD-00000167,CUST-00000112,SP-00000020,1000.0,2025-03-27,CONTACTED,Partner,
LEAD-00000168,LEAD-00000168,CUST-00000277,SP-00000015,5000.0,2024-02-05,NEW,Partner,
LEAD-00000169,LEAD-00000169,CUST-00000467,SP-00000016,50000.0,2025-03-08,QUALIFIED,Referral,
LEAD-00000170,LEAD-00000170,CUST-00000523,SP-00000001,2500.0,2024-10-02,CONVERTED,Website,
LEAD-00000171,LEAD-00000171,CUST-00000250,SP-00000001,1000.0,2024-10-07,CONTACTED,Website,
LEAD-00000172,LEAD-00000172,CUST-00000939,SP-00000009,10000.0,2023-10-20,QUALIFIED,Website,
LEAD-00000173,LEAD-00000173,CUST-00000756,SP-00000016,10000.0,2025-01-29,CONTACTED,Trade Show,
LEAD-00000174,LEAD-00000174,CUST-00000467,SP-00000019,50000.0,2025-05-21,CONTACTED,Website,
LEAD-00000175,LEAD-00000175,CUST-00000021,SP-00000017,500.0,2023-12-25,CONTACTED,Website,
LEAD-00000176,LEAD-00000176,CUST-00000234,SP-00000014,1000.0,2024-01-03,LOST,Trade Show,
LEAD-00000177,LEAD-00000177,CUST-00000498,SP-00000017,2500.0,2023-09-12,LOST,Website,
LEAD-00000178,LEAD-00000178,CUST-00000256,SP-00000005,1000.0,2023-11-15,NEW,Referral,
LEAD-00000179,LEAD-00000179,CUST-00000845,SP-00000017,10000.0,2024-09-09,QUALIFIED,Partner,
LEAD-00000180,LEAD-00000180,CUST-00000070,SP-00000018,5000.0,2024-09-16,CONVERTED,Cold Call,
LEAD-00000181,LEAD-00000181,CUST-00000015,SP-00000020,50000.0,2024-05-11,NEW,Email Campaign,
LEAD-00000182,LEAD-00000182,CUST-00000330,SP-00000016,1000.0,2024-03-15,NEW,Cold Call,
LEAD-00000183,LEAD-00000183,CUST-00000571,SP-00000011,25000.0,2024-12-01,LOST,Partner,
LEAD-00000184,LEAD-00000184,CUST-00000263,SP-00000012,25000.0,2024-01-30,QUALIFIED,Email Campaign,
LEAD-00000185,LEAD-00000185,CUST-00000989,SP-00000017,25000.0,2023-09-14,QUALIFIED,Trade Show,
LEAD-00000186,LEAD-00000186,CUST-00000205,SP-00000010,500.0,2024-07-07,CONTACTED,Cold Call,
LEAD-00000187,LEAD-00000187,CUST-00000862,SP-00000010,10000.0,2024-01-04,CONVERTED,Partner,
LEAD-00000188,LEAD-00000188,CUST-00000846,SP-00000007,500.0,2025-06-03,QUALIFIED,Website,
LEAD-00000189,LEAD-00000189,CUST-00000483,SP-00000020,10000.0,2024-02-23,CONTACTED,Cold Call,
LEAD-00000190,LEAD-00000190,CUST-00000367,SP-00000003,50000.0,2024-02-15,QUALIFIED,Website,
LEAD-00000191,LEAD-00000191,CUST-00000859,SP-00000016,25000.0,2023-12-20,CONTACTED,Trade Show,
LEAD-00000192,LEAD-00000192,CUST-00000874,SP-00000011,50000.0,2024-03-12,QUALIFIED,Email Campaign,
LEAD-00000193,LEAD-00000193,CUST-00000385,SP-00000005,2500.0,2025-02-07,QUALIFIED,Website,
LEAD-00000194,LEAD-00000194,CUST-00000452,SP-00000018,50000.0,2023-07-31,QUALIFIED,Referral,
LEAD-00000195,LEAD-00000195,CUST-00000493,SP-00000004,2500.0,2024-01-07,CONVERTED,Cold Call,
LEAD-00000196,LEAD-00000196,CUST-00000241,SP-00000016,50000.0,2025-06-18,NEW,Referral,
LEAD-00000197,LEAD-00000197,CUST-00000933,SP-00000014,1000.0,2024-12-22,LOST,Website,
LEAD-00000198,LEAD-00000198,CUST-00000958,SP-00000015,500.0,2024-07-24,QUALIFIED,Referral,
LEAD-00000199,LEAD-00000199,CUST-00000775,SP-00000018,50000.0,2024-01-11,CONTACTED,Website,
LEAD-00000200,LEAD-00000200,CUST-00000806,SP-00000016,10000.0,2023-10-06,NEW,Trade Show,
LEAD-00000201,LEAD-00000201,CUST-00000158,SP-00000010,25000.0,2024-05-24,NEW,Trade Show,
LEAD-00000202,LEAD-00000202,CUST-00000465,SP-00000018,1000.0,2024-07-10,CONTACTED,Website,
LEAD-00000203,LEAD-00000203,CUST-00000769,SP-00000004,25000.0,2024-01-21,CONVERTED,Partner,
LEAD-00000204,LEAD-00000204,CUST-00000799,SP-00000011,5000.0,2025-03-25,CONVERTED,Website,
LEAD-00000205,LEAD-00000205,CUST-00000318,SP-00000009,2500.0,2023-07-24,NEW,Cold Call,
LEAD-00000206,LEAD-00000206,CUST-00000599,SP-00000019,5000.0,2025-03-11,QUALIFIED,Referral,
LEAD-00000207,LEAD-00000207,CUST-00000085,SP-00000011,1000.0,2023-12-14,CONTACTED,Email Campaign,
LEAD-00000208,LEAD-00000208,CUST-00000087,SP-00000004,500.0,2025-05-25,CONTACTED,Cold Call,
LEAD-00000209,LEAD-00000209,CUST-00000360,SP-00000011,500.0,2024-08-19,CONTACTED,Referral,
LEAD-00000210,LEAD-00000210,CUST-00000010,SP-00000006,25000.0,2023-07-07,NEW,Email Campaign,
LEAD-00000211,LEAD-00000211,CUST-00000767,SP-00000013,50000.0,2024-06-20,QUALIFIED,Referral,
LEAD-00000212,LEAD-00000212,CUST-00000161,SP-00000002,2500.0,2023-11-17,CONVERTED,Partner,
LEAD-00000213,LEAD-00000213,CUST-00000296,SP-00000006,1000.0,2024-04-11,CONTACTED,Website,
LEAD-00000214,LEAD-00000214,CUST-00000268,SP-00000006,10000.0,2024-04-29,QUALIFIED,Trade Show,
LEAD-00000215,LEAD-00000215,CUST-00000050,SP-00000003,1000.0,2024-08-17,CONTACTED,Trade Show,
LEAD-00000216,LEAD-00000216,CUST-00000345,SP-00000001,10000.0,2025-03-22,CONTACTED,Partner,
LEAD-00000217,LEAD-00000217,CUST-00000055,SP-00000001,10000.0,2024-05-20,CONVERTED,Partner,
LEAD-00000218,LEAD-00000218,CUST-00000564,SP-00000015,2500.0,2023-11-26,NEW,Email Campaign,
LEAD-00000219,LEAD-00000219,CUST-00000232,SP-00000006,5000.0,2025-03-12,CONTACTED,Partner,
LEAD-00000220,LEAD-00000220,CUST-00000385,SP-00000010,1000.0,2023-10-10,NEW,Email Campaign,
LEAD-00000221,LEAD-00000221,CUST-00000119,SP-00000005,500.0,2025-01-28,CONTACTED,Partner,
LEAD-00000222,LEAD-00000222,CUST-00000350,SP-00000017,1000.0,2025-04-06,CONTACTED,Website,
LEAD-00000223,LEAD-00000223,CUST-00000660,SP-00000016,10000.0,2024-09-06,NEW,Email Campaign,
LEAD-00000224,LEAD-00000224,CUST-00000759,SP-00000020,1000.0,2024-10-11,QUALIFIED,Cold Call,
LEAD-00000225,LEAD-00000225,CUST-00000631,SP-00000007,2500.0,2025-01-20,CONTACTED,Email Campaign,
LEAD-00000226,LEAD-00000226,CUST-00000259,SP-00000017,500.0,2024-11-16,CONTACTED,Cold Call,
LEAD-00000227,LEAD-00000227,CUST-00000515,SP-00000020,500.0,2023-10-31,CONTACTED,Website,
LEAD-00000228,LEAD-00000228,CUST-00000098,SP-00000015,5000.0,2024-06-21,CONTACTED,Trade Show,
LEAD-00000229,LEAD-00000229,CUST-00000034,SP-00000008,25000.0,2023-09-16,LOST,Partner,
LEAD-00000230,LEAD-00000230,CUST-00000825,SP-00000017,500.0,2024-07-01,CONTACTED,Cold Call,
LEAD-00000231,LEAD-00000231,CUST-00000439,SP-00000010,25000.0,2023-07-15,QUALIFIED,Email Campaign,
LEAD-00000232,LEAD-00000232,CUST-00000756,SP-00000014,10000.0,2023-07-07,NEW,Website,
LEAD-00000233,LEAD-00000233,CUST-00000020,SP-00000007,10000.0,2023-07-22,LOST,Email Campaign,
LEAD-00000234,LEAD-00000234,CUST-00000667,SP-00000004,25000.0,2025-03-01,CONTACTED,Website,
LEAD-00000235,LEAD-00000235,CUST-00000688,SP-00000010,5000.0,2024-08-19,CONTACTED,Email Campaign,
LEAD-00000236,LEAD-00000236,CUST-00000341,SP-00000010,50000.0,2024-04-21,CONVERTED,Email Campaign,
LEAD-00000237,LEAD-00000237,CUST-00000554,SP-00000018,10000.0,2024-06-08,CONVERTED,Referral,
LEAD-00000238,LEAD-00000238,CUST-00000822,SP-00000016,1000.0,2023-09-08,LOST,Email Campaign,
LEAD-00000239,LEAD-00000239,CUST-00000210,SP-00000001,2500.0,2023-10-03,QUALIFIED,Website,
LEAD-00000240,LEAD-00000240,CUST-00000533,SP-00000010,10000.0,2023-11-13,QUALIFIED,Cold Call,
LEAD-00000241,LEAD-00000241,CUST-00000018,SP-00000010,5000.0,2023-12-08,NEW,Email Campaign,
LEAD-00000242,LEAD-00000242,CUST-00000512,SP-00000008,50000.0,2025-01-14,CONTACTED,Referral,
