id,invoice_id,invoice_number,so_number,invoice_date,due_date,customer_id,customer_name,total_amount,amount_paid,amount_outstanding,days_overdue,aging_bucket,status
33,INV-00000033,INV-00000033,SO-00000037,2025-02-13,2025-03-30,CUST-00000375,Armstrong-Young Corp,944.47,0.0,944.47,437.27543738437817,OVER 90 DAYS,OVERDUE
34,INV-00000034,INV-00000034,SO-00000038,2025-04-08,2025-05-23,CUST-00000846,Perkins Ltd Ltd,1347.5,1347.5,0.0,0.0,PAID,PAID
35,INV-00000035,INV-00000035,SO-00000039,2024-12-20,2025-01-19,CUST-00000270,Jones-Bradley Co,151.4,151.4,0.0,0.0,PAID,PAID
36,INV-00000036,INV-00000036,SO-00000040,2025-04-18,2025-06-02,CUST-00000266,Dawson Inc Ltd,120.75,0.0,120.75,373.27543738437817,OVER 90 DAYS,OPEN
37,INV-00000037,INV-00000037,SO-00000041,2024-12-20,2025-02-03,CUST-00000683,Cruz-Rodriguez Corp,259.03,259.03,0.0,0.0,PAID,PAID
38,INV-00000038,INV-00000038,SO-00000042,2025-05-19,2025-07-03,CUST-00000791,Martinez and Sons Inc,1052.5,559.33,493.16999999999996,342.27543738437817,OVER 90 DAYS,PARTIAL
39,INV-00000039,INV-00000039,SO-00000043,2025-01-10,2025-02-09,CUST-00000630,"Rios, Garcia and Harvey Corp",412.41,137.49,274.92,486.27543738437817,OVER 90 DAYS,PARTIAL
40,INV-00000040,INV-00000040,SO-00000044,2025-04-17,2025-06-01,CUST-00000636,Hill-Ward Inc,233.29,233.29,0.0,0.0,PAID,PAID
41,INV-00000041,INV-00000041,SO-00000045,2025-06-09,2025-07-24,CUST-00000485,Gonzalez-Gonzalez LLC,479.55,479.55,0.0,0.0,PAID,PAID
42,INV-00000042,INV-00000042,SO-00000046,2023-09-17,2023-11-16,CUST-00000817,Garrett-Black Ltd,1514.7,0.0,1514.7,937.2754373843782,OVER 90 DAYS,OPEN
43,INV-00000043,INV-00000043,SO-00000048,2025-03-24,2025-05-08,CUST-00000300,Mendez PLC LLC,195.4,195.4,0.0,0.0,PAID,PAID
44,INV-00000044,INV-00000044,SO-00000049,2024-01-04,2024-03-04,CUST-00000332,"Buchanan, Walker and Chapman Co",3866.4,0.0,3866.4,828.2754373843782,OVER 90 DAYS,OVERDUE
45,INV-00000045,INV-00000045,SO-00000050,2023-07-31,2023-09-29,CUST-00000786,Edwards Ltd Ltd,224.2,224.2,0.0,0.0,PAID,PAID
46,INV-00000046,INV-00000046,SO-00000051,2023-08-16,2023-10-15,CUST-00000037,Williamson Ltd LLC,782.9,0.0,782.9,969.2754373843782,OVER 90 DAYS,OPEN
47,INV-00000047,INV-00000047,SO-00000052,2024-08-29,2024-10-28,CUST-00000586,"Robinson, White and Jones LLC",84.5,40.52,43.98,590.2754373843782,OVER 90 DAYS,PARTIAL
48,INV-00000048,INV-00000048,SO-00000053,2023-11-01,2023-12-01,CUST-00000898,Moore-Baker LLC,976.0,0.0,976.0,922.2754373843782,OVER 90 DAYS,OPEN
49,INV-00000049,INV-00000049,SO-00000054,2023-08-01,2023-08-16,CUST-00000079,"Davis, George and Nguyen Corp",1281.5,0.0,1281.5,1029.2754373843782,OVER 90 DAYS,OVERDUE
50,INV-00000050,INV-00000050,SO-00000055,2024-01-08,2024-02-07,CUST-00000792,"King, Manning and Brady Co",554.0,554.0,0.0,0.0,PAID,PAID
51,INV-00000051,INV-00000051,SO-00000056,2023-11-13,2023-11-28,CUST-00000214,Abbott Ltd Co,83.77,0.0,83.77,925.2754373843782,OVER 90 DAYS,OPEN
52,INV-00000052,INV-00000052,SO-00000057,2023-09-14,2023-09-29,CUST-00000793,Jackson Inc Inc,1992.38,0.0,1992.38,985.2754373843782,OVER 90 DAYS,OPEN
53,INV-00000053,INV-00000053,SO-00000058,2025-06-08,2025-07-23,CUST-00000011,Coastal Manufacturing,2124.3,0.0,2124.3,322.27543738437817,OVER 90 DAYS,OVERDUE
54,INV-00000054,INV-00000054,SO-00000059,2023-10-27,2023-11-11,CUST-00000869,Washington Inc LLC,227.7,227.7,0.0,0.0,PAID,PAID
55,INV-00000055,INV-00000055,SO-00000060,2023-11-06,2023-12-21,CUST-00000454,Maxwell Group Inc,18.46,0.0,18.46,902.2754373843782,OVER 90 DAYS,OVERDUE
56,INV-00000056,INV-00000056,SO-00000061,2025-05-15,2025-06-14,CUST-00000285,Crane Group Corp,3440.24,0.0,3440.24,361.27543738437817,OVER 90 DAYS,OPEN
57,INV-00000057,INV-00000057,SO-00000062,2024-06-14,2024-07-29,CUST-00000788,Nelson-Wallace LLC,78.97,78.97,0.0,0.0,PAID,PAID
58,INV-00000058,INV-00000058,SO-00000063,2024-05-17,2024-07-16,CUST-00000978,"Burns, Nguyen and Ellis Inc",38.7,38.7,0.0,0.0,PAID,PAID
59,INV-00000059,INV-00000059,SO-00000064,2024-07-15,2024-07-30,CUST-00000921,Cohen-Johnston Corp,414.08,414.08,0.0,0.0,PAID,PAID
60,INV-00000060,INV-00000060,SO-00000065,2024-12-12,2024-12-27,CUST-00000327,Yu-Brooks Ltd,5310.6,0.0,5310.6,530.2754373843782,OVER 90 DAYS,OPEN
61,INV-00000061,INV-00000061,SO-00000066,2024-12-21,2025-02-19,CUST-00000907,"Delgado, Guzman and Smith Inc",65.92,0.0,65.92,476.27543738437817,OVER 90 DAYS,OVERDUE
62,INV-00000062,INV-00000062,SO-00000067,2025-06-28,2025-08-27,CUST-00000709,"Mann, Martin and Oconnell Co",256.01,0.0,256.01,287.27543738437817,OVER 90 DAYS,OPEN
63,INV-00000063,INV-00000063,SO-00000068,2024-11-19,2025-01-18,CUST-00000168,"Adams, Hodge and Duke LLC",444.3,0.0,444.3,508.27543738437817,OVER 90 DAYS,OPEN
64,INV-00000064,INV-00000064,SO-00000069,2024-08-08,2024-09-07,CUST-00000601,Hancock Group Corp,253.2,0.0,253.2,641.2754373843782,OVER 90 DAYS,OPEN
65,INV-00000065,INV-00000065,SO-00000070,2024-04-29,2024-05-29,CUST-00000601,Hancock Group Corp,631.5,631.5,0.0,0.0,PAID,PAID
66,INV-00000066,INV-00000066,SO-00000071,2024-04-26,2024-05-11,CUST-00000410,Hull Ltd Corp,195.0,195.0,0.0,0.0,PAID,PAID
67,INV-00000067,INV-00000067,SO-00000072,2024-11-26,2024-12-11,CUST-00000132,Ray PLC Inc,218.7,0.0,218.7,546.2754373843782,OVER 90 DAYS,OPEN
68,INV-00000068,INV-00000068,SO-00000073,2024-12-11,2025-01-10,CUST-00000776,Cooper-Jenkins Ltd,992.8,992.8,0.0,0.0,PAID,PAID
69,INV-00000069,INV-00000069,SO-00000074,2023-10-20,2023-11-04,CUST-00000350,Lynn-Jones Corp,177.51,0.0,177.51,949.2754373843782,OVER 90 DAYS,OPEN
70,INV-00000070,INV-00000070,SO-00000075,2023-10-02,2023-11-01,CUST-00000108,Rodriguez and Sons Ltd,120.75,0.0,120.75,952.2754373843782,OVER 90 DAYS,OPEN
71,INV-00000071,INV-00000071,SO-00000076,2025-05-06,2025-07-05,CUST-00000481,Bates LLC Inc,250.3,250.3,0.0,0.0,PAID,PAID
72,INV-00000072,INV-00000072,SO-00000077,2025-04-17,2025-05-02,CUST-00000141,Brooks and Sons Inc,87.94,0.0,87.94,404.27543738437817,OVER 90 DAYS,OPEN
73,INV-00000073,INV-00000073,SO-00000078,2024-10-10,2024-10-25,CUST-00000618,"Phillips, Walters and Evans Ltd",216.92,0.0,216.92,593.2754373843782,OVER 90 DAYS,OPEN
74,INV-00000074,INV-00000074,SO-00000079,2024-07-20,2024-09-18,CUST-00000264,"Acosta, Garcia and Moreno Co",43.7,0.0,43.7,630.2754373843782,OVER 90 DAYS,OPEN
75,INV-00000075,INV-00000075,SO-00000080,2025-02-13,2025-03-30,CUST-00000039,"Arnold, Smith and Moreno Corp",354.15,0.0,354.15,437.27543738437817,OVER 90 DAYS,OPEN
76,INV-00000076,INV-00000076,SO-00000081,2025-05-09,2025-06-08,CUST-00000376,Miller-Orr Inc,1347.3,0.0,1347.3,367.27543738437817,OVER 90 DAYS,OPEN
77,INV-00000077,INV-00000077,SO-00000082,2023-07-22,2023-09-20,CUST-00000716,Bowman Group LLC,372.85,372.85,0.0,0.0,PAID,PAID
78,INV-00000078,INV-00000078,SO-00000083,2024-10-27,2024-12-11,CUST-00000031,"Bernard, Warren and Combs Corp",3012.6,0.0,3012.6,546.2754373843782,OVER 90 DAYS,OPEN
79,INV-00000079,INV-00000079,SO-00000084,2025-05-03,2025-05-18,CUST-00000556,"Hester, Thompson and Daniels Inc",153.14,153.14,0.0,0.0,PAID,PAID
80,INV-00000080,INV-00000080,SO-00000085,2024-09-05,2024-10-20,CUST-00000124,"Marsh, Spears and Yang Co",811.75,0.0,811.75,598.2754373843782,OVER 90 DAYS,OPEN
81,INV-00000081,INV-00000081,SO-00000086,2023-09-21,2023-10-06,CUST-00000694,Kent Inc LLC,739.4,739.4,0.0,0.0,PAID,PAID
82,INV-00000082,INV-00000082,SO-00000087,2023-08-24,2023-10-08,CUST-00000767,Gonzalez-Marsh Ltd,419.0,0.0,419.0,976.2754373843782,OVER 90 DAYS,OPEN
83,INV-00000083,INV-00000083,SO-00000088,2025-02-02,2025-03-04,CUST-00000052,"Mueller, Knight and Hodge Ltd",86.9,0.0,86.9,463.27543738437817,OVER 90 DAYS,OPEN
84,INV-00000084,INV-00000084,SO-00000089,2023-12-21,2024-01-20,CUST-00000615,James-Short LLC,401.5,0.0,401.5,872.2754373843782,OVER 90 DAYS,OPEN
85,INV-00000085,INV-00000085,SO-00000090,2024-04-12,2024-06-11,CUST-00000899,"Wright, Scott and Evans Inc",315.04,0.0,315.04,729.2754373843782,OVER 90 DAYS,OPEN
86,INV-00000086,INV-00000086,SO-00000091,2024-11-09,2025-01-08,CUST-00000910,Williams Ltd LLC,91.35,91.35,0.0,0.0,PAID,PAID
87,INV-00000087,INV-00000087,SO-00000092,2024-10-05,2024-11-19,CUST-00000294,Williams Group Inc,745.65,0.0,745.65,568.2754373843782,OVER 90 DAYS,OVERDUE
88,INV-00000088,INV-00000088,SO-00000093,2024-10-27,2024-11-26,CUST-00000554,"Robinson, Clark and Klein Inc",200.13,123.9,76.22999999999999,561.2754373843782,OVER 90 DAYS,PARTIAL
89,INV-00000089,INV-00000089,SO-00000094,2024-08-05,2024-10-04,CUST-00000309,Nelson-Johnson Ltd,70.5,0.0,70.5,614.2754373843782,OVER 90 DAYS,OVERDUE
90,INV-00000090,INV-00000090,SO-00000096,2023-12-23,2024-01-22,CUST-00000661,"Hudson, Bennett and Gray Inc",1448.92,0.0,1448.92,870.2754373843782,OVER 90 DAYS,OPEN
91,INV-00000091,INV-00000091,SO-00000097,2023-10-27,2023-11-11,CUST-00000005,Premier Industries,827.7,0.0,827.7,942.2754373843782,OVER 90 DAYS,OPEN
92,INV-00000092,INV-00000092,SO-00000098,2025-04-24,2025-06-08,CUST-00000683,Cruz-Rodriguez Corp,401.12,271.6,129.51999999999998,367.27543738437817,OVER 90 DAYS,PARTIAL
93,INV-00000093,INV-00000093,SO-00000099,2024-11-15,2025-01-14,CUST-00000709,"Mann, Martin and Oconnell Co",38.52,38.52,0.0,0.0,PAID,PAID
94,INV-00000094,INV-00000094,SO-00000100,2024-12-12,2024-12-27,CUST-00000768,"Hernandez, Shaffer and Thompso Co",91.35,0.0,91.35,530.2754373843782,OVER 90 DAYS,OPEN
95,INV-00000095,INV-00000095,SO-00000101,2023-08-03,2023-10-02,CUST-00000545,"Webb, Romero and Morse LLC",1746.95,1746.95,0.0,0.0,PAID,PAID
96,INV-00000096,INV-00000096,SO-00000102,2024-12-30,2025-02-13,CUST-00000435,"Johnson, Jimenez and Phillips Inc",131.08,0.0,131.08,482.27543738437817,OVER 90 DAYS,OPEN
97,INV-00000097,INV-00000097,SO-00000103,2024-12-17,2025-01-16,CUST-00000784,Welch-Duncan Co,3306.39,3306.39,0.0,0.0,PAID,PAID
98,INV-00000098,INV-00000098,SO-00000104,2025-01-20,2025-02-19,CUST-00000996,Higgins Inc Inc,462.1,462.1,0.0,0.0,PAID,PAID
99,INV-00000099,INV-00000099,SO-00000105,2025-04-15,2025-05-15,CUST-00000235,"Yang, Wilson and Zimmerman Co",2135.0,2135.0,0.0,0.0,PAID,PAID
100,INV-00000100,INV-00000100,SO-00000106,2025-01-25,2025-02-24,CUST-00000595,"Campbell, Pruitt and Short Inc",92.18,92.18,0.0,0.0,PAID,PAID
101,INV-00000101,INV-00000101,SO-00000107,2024-12-26,2025-01-10,CUST-00000749,"Rubio, Charles and Watson Corp",107.35,107.35,0.0,0.0,PAID,PAID
102,INV-00000102,INV-00000102,SO-00000108,2024-06-17,2024-07-17,CUST-00000281,"Terry, Williams and Huff Inc",361.6,361.6,0.0,0.0,PAID,PAID
103,INV-00000103,INV-00000103,SO-00000109,2024-03-28,2024-05-12,CUST-00000419,Byrd LLC Ltd,1014.8,661.92,352.88,759.2754373843782,OVER 90 DAYS,PARTIAL
104,INV-00000104,INV-00000104,SO-00000110,2023-11-02,2023-12-17,CUST-00000070,Miller-Montgomery Inc,47.3,47.3,0.0,0.0,PAID,PAID
105,INV-00000105,INV-00000105,SO-00000111,2023-10-30,2023-12-29,CUST-00000568,"Stevenson, Hancock and Newton LLC",4786.48,0.0,4786.48,894.2754373843782,OVER 90 DAYS,OPEN
106,INV-00000106,INV-00000106,SO-00000112,2024-08-28,2024-10-27,CUST-00000163,"Norris, Callahan and Bishop Corp",36.54,0.0,36.54,591.2754373843782,OVER 90 DAYS,OPEN
107,INV-00000107,INV-00000107,SO-00000113,2025-05-04,2025-06-03,CUST-00000195,Rios-Padilla Co,75.75,0.0,75.75,372.27543738437817,OVER 90 DAYS,OPEN
108,INV-00000108,INV-00000108,SO-00000114,2025-02-24,2025-03-11,CUST-00000723,"Gonzalez, Smith and Padilla Co",159.22,0.0,159.22,456.27543738437817,OVER 90 DAYS,OVERDUE
109,INV-00000109,INV-00000109,SO-00000115,2025-04-11,2025-04-26,CUST-00000739,"Goodman, Peterson and Spencer LLC",51.17,0.0,51.17,410.27543738437817,OVER 90 DAYS,OPEN
110,INV-00000110,INV-00000110,SO-00000116,2024-03-10,2024-04-09,CUST-00000807,Ballard Group Ltd,85.5,0.0,85.5,792.2754373843782,OVER 90 DAYS,OVERDUE
111,INV-00000111,INV-00000111,SO-00000117,2024-10-18,2024-12-02,CUST-00000938,"Williamson, Brown and Pena Ltd",34.07,0.0,34.07,555.2754373843782,OVER 90 DAYS,OPEN
112,INV-00000112,INV-00000112,SO-00000118,2024-12-03,2025-02-01,CUST-00000014,Eastern Supplies,98.5,0.0,98.5,494.27543738437817,OVER 90 DAYS,OPEN
113,INV-00000113,INV-00000113,SO-00000119,2024-03-24,2024-04-23,CUST-00000195,Rios-Padilla Co,1275.23,1275.23,0.0,0.0,PAID,PAID
114,INV-00000114,INV-00000114,SO-00000120,2024-02-26,2024-03-12,CUST-00000834,Huang LLC Co,21.4,21.4,0.0,0.0,PAID,PAID
115,INV-00000115,INV-00000115,SO-00000121,2024-03-16,2024-05-15,CUST-00000708,Owen-Mendez Ltd,1686.0,0.0,1686.0,756.2754373843782,OVER 90 DAYS,OPEN
116,INV-00000116,INV-00000116,SO-00000122,2025-06-26,2025-07-11,CUST-00000882,"Curry, Perry and Garcia Corp",1413.43,1413.43,0.0,0.0,PAID,PAID
117,INV-00000117,INV-00000117,SO-00000123,2024-07-30,2024-08-14,CUST-00000725,"Herman, Bailey and Richmond Inc",451.7,0.0,451.7,665.2754373843782,OVER 90 DAYS,OPEN
118,INV-00000118,INV-00000118,SO-00000124,2024-12-29,2025-01-13,CUST-00000798,Perez-Rojas Inc,2049.15,2049.15,0.0,0.0,PAID,PAID
119,INV-00000119,INV-00000119,SO-00000125,2024-01-31,2024-03-16,CUST-00000112,Garcia and Sons Ltd,201.96,201.96,0.0,0.0,PAID,PAID
120,INV-00000120,INV-00000120,SO-00000126,2023-11-23,2023-12-23,CUST-00000262,"Franco, Wiley and Tapia Corp",728.46,0.0,728.46,900.2754373843782,OVER 90 DAYS,OPEN
121,INV-00000121,INV-00000121,SO-00000127,2024-10-06,2024-11-05,CUST-00000502,Marsh-Banks LLC,963.96,0.0,963.96,582.2754373843782,OVER 90 DAYS,OVERDUE
122,INV-00000122,INV-00000122,SO-00000128,2025-02-27,2025-03-14,CUST-00000183,Kelley-Anderson Corp,32.35,0.0,32.35,453.27543738437817,OVER 90 DAYS,OPEN
123,INV-00000123,INV-00000123,SO-00000129,2024-11-04,2025-01-03,CUST-00000122,"Chavez, Jones and Williams Inc",2646.56,1712.21,934.3499999999999,523.2754373843782,OVER 90 DAYS,PARTIAL
124,INV-00000124,INV-00000124,SO-00000130,2025-06-15,2025-06-30,CUST-00000524,West-Wilson LLC,664.4,664.4,0.0,0.0,PAID,PAID
125,INV-00000125,INV-00000125,SO-00000131,2024-11-23,2025-01-07,CUST-00000621,Medina-Arroyo Ltd,319.7,319.7,0.0,0.0,PAID,PAID
126,INV-00000126,INV-00000126,SO-00000132,2023-12-23,2024-01-22,CUST-00000240,Nelson-Brown LLC,26.12,0.0,26.12,870.2754373843782,OVER 90 DAYS,OPEN
127,INV-00000127,INV-00000127,SO-00000133,2024-04-12,2024-06-11,CUST-00000338,Rivera Inc Ltd,982.95,0.0,982.95,729.2754373843782,OVER 90 DAYS,OVERDUE
128,INV-00000128,INV-00000128,SO-00000134,2023-08-01,2023-09-30,CUST-00000744,Moss LLC Inc,378.1,378.1,0.0,0.0,PAID,PAID
129,INV-00000129,INV-00000129,SO-00000136,2025-04-12,2025-05-12,CUST-00000390,"Chang, Ayers and Buckley Co",3084.48,0.0,3084.48,394.27543738437817,OVER 90 DAYS,OPEN
130,INV-00000130,INV-00000130,SO-00000137,2024-03-22,2024-04-06,CUST-00000045,Chung-Stevens Ltd,4500.1,4500.1,0.0,0.0,PAID,PAID
131,INV-00000131,INV-00000131,SO-00000138,2024-02-18,2024-04-18,CUST-00000904,Deleon LLC LLC,2985.5,0.0,2985.5,783.2754373843782,OVER 90 DAYS,OPEN
132,INV-00000132,INV-00000132,SO-00000139,2024-11-30,2024-12-15,CUST-00000864,Warren Group Corp,338.73,0.0,338.73,542.2754373843782,OVER 90 DAYS,OVERDUE
133,INV-00000133,INV-00000133,SO-00000140,2025-02-05,2025-02-20,CUST-00000821,Walsh PLC Co,16.73,0.0,16.73,475.27543738437817,OVER 90 DAYS,OPEN
134,INV-00000134,INV-00000134,SO-00000141,2024-05-08,2024-06-07,CUST-00000417,Johnson-Williams LLC,757.5,413.97,343.53,733.2754373843782,OVER 90 DAYS,PARTIAL
135,INV-00000135,INV-00000135,SO-00000142,2024-09-09,2024-10-24,CUST-00000948,Garrett-Young LLC,3470.91,3470.91,0.0,0.0,PAID,PAID
136,INV-00000136,INV-00000136,SO-00000143,2023-10-29,2023-11-13,CUST-00000025,Hudson-Sanchez Corp,186.4,0.0,186.4,940.2754373843782,OVER 90 DAYS,OPEN
137,INV-00000137,INV-00000137,SO-00000144,2024-01-02,2024-01-17,CUST-00000421,"Smith, Buck and Holland Inc",333.89,333.89,0.0,0.0,PAID,PAID
138,INV-00000138,INV-00000138,SO-00000145,2024-10-07,2024-11-21,CUST-00000527,Petersen PLC Ltd,7.01,0.0,7.01,566.2754373843782,OVER 90 DAYS,OPEN
139,INV-00000139,INV-00000139,SO-00000146,2023-11-28,2023-12-28,CUST-00000502,Marsh-Banks LLC,939.75,0.0,939.75,895.2754373843782,OVER 90 DAYS,OPEN
140,INV-00000140,INV-00000140,SO-00000147,2024-11-20,2024-12-05,CUST-00000686,Valenzuela-Greene Corp,1345.0,0.0,1345.0,552.2754373843782,OVER 90 DAYS,OPEN
141,INV-00000141,INV-00000141,SO-00000148,2025-06-05,2025-07-05,CUST-00000195,Rios-Padilla Co,702.0,702.0,0.0,0.0,PAID,PAID
142,INV-00000142,INV-00000142,SO-00000149,2024-09-26,2024-10-26,CUST-00000288,Anderson Group Ltd,489.77,489.77,0.0,0.0,PAID,PAID
143,INV-00000143,INV-00000143,SO-00000151,2023-10-12,2023-12-11,CUST-00000518,Christian-Booth Co,76.76,76.76,0.0,0.0,PAID,PAID
144,INV-00000144,INV-00000144,SO-00000152,2025-01-17,2025-02-01,CUST-00000581,Rivera Ltd Ltd,396.0,396.0,0.0,0.0,PAID,PAID
145,INV-00000145,INV-00000145,SO-00000153,2025-03-02,2025-04-01,CUST-00000880,Lee Ltd Co,409.0,0.0,409.0,435.27543738437817,OVER 90 DAYS,OPEN
146,INV-00000146,INV-00000146,SO-00000154,2025-05-24,2025-07-08,CUST-00000435,"Johnson, Jimenez and Phillips Inc",246.55,0.0,246.55,337.27543738437817,OVER 90 DAYS,OPEN
147,INV-00000147,INV-00000147,SO-00000156,2023-09-23,2023-10-08,CUST-00000857,Stephens LLC Ltd,46.15,46.15,0.0,0.0,PAID,PAID
148,INV-00000148,INV-00000148,SO-00000157,2025-03-07,2025-04-06,CUST-00000433,Trujillo PLC LLC,9.32,0.0,9.32,430.27543738437817,OVER 90 DAYS,OPEN
149,INV-00000149,INV-00000149,SO-00000158,2024-05-03,2024-06-17,CUST-00000259,Oconnor PLC Ltd,24.53,24.53,0.0,0.0,PAID,PAID
150,INV-00000150,INV-00000150,SO-00000159,2024-09-20,2024-10-20,CUST-00000726,Perez-Mccarty Inc,316.54,0.0,316.54,598.2754373843782,OVER 90 DAYS,OPEN
151,INV-00000151,INV-00000151,SO-00000160,2023-08-17,2023-10-01,CUST-00000948,Garrett-Young LLC,17.13,0.0,17.13,983.2754373843782,OVER 90 DAYS,OPEN
152,INV-00000152,INV-00000152,SO-00000162,2023-08-31,2023-09-30,CUST-00000335,"Fry, Myers and Gamble Co",1001.24,1001.24,0.0,0.0,PAID,PAID
