id,customer_id,customer_name,industry,region,total_orders,total_revenue,total_profit,avg_margin_pct,total_invoices,open_invoices,overdue_invoices,avg_days_to_pay,last_order_date
120,CUST-00000120,Mueller-Boyd Inc,Healthcare,North,9,6950.79,2035.36,35.94,9,6,1,58.333333333333336,2025-05-07
121,CUST-00000121,Alvarez-Kim Ltd,Transportation,South,3,702.16,61.5,32.72,3,1,0,37.0,2025-06-02
122,CUST-00000122,"Chavez, Jones and Williams Inc",Consulting,South,5,3682.46,263.50000000000006,45.394999999999996,5,0,1,58.0,2025-02-01
123,CUST-00000123,"Wilson, Sweeney and Wong Co",Energy,East,21,17150.81,6173.5599999999995,39.53153846153846,21,9,5,23.333333333333332,2025-06-20
124,CUST-00000124,"Marsh, Spears and Yang Co",Agriculture,West,11,6387.34,315.56999999999994,41.086666666666666,11,7,0,43.25,2025-06-24
125,CUST-00000125,"Thompson, Moore and Castro LLC",Manufacturing,East,15,6399.04,1346.05,37.86833333333333,15,5,2,59.9,2025-04-24
126,CUST-00000126,Hall-Sullivan Corp,Agriculture,North,20,5071.06,781.93,40.012857142857136,20,10,1,32.5,2025-06-02
127,CUST-00000127,Lopez Ltd Corp,Real Estate,East,7,3167.93,1245.07,34.00857142857143,7,2,0,17.6,2025-05-21
128,CUST-00000128,Foster-Mclaughlin Co,Manufacturing,Central,4,11324.02,2418.25,37.47333333333333,4,1,1,46.333333333333336,2025-06-02
129,CUST-00000129,Cole Group Ltd,Construction,North,8,8218.27,2215.02,40.135,8,4,1,55.75,2025-04-30
130,CUST-00000130,Smith-Lewis Ltd,Construction,Central,12,37094.17,8505.37,38.30833333333333,12,4,0,19.0,2025-05-22
131,CUST-00000131,Goodwin-Stokes Inc,Retail,West,4,1384.67,629.0600000000001,43.43,4,2,2,42.0,2024-11-23
132,CUST-00000132,Ray PLC Inc,Education,Central,22,33502.11,2652.79,40.54125,22,9,1,14.307692307692308,2025-05-26
133,CUST-00000133,Diaz and Sons LLC,Manufacturing,South,11,21915.38,6320.34,35.905,11,7,0,74.25,2024-09-26
134,CUST-00000134,Wilson-Lambert Ltd,Technology,South,8,8745.66,3057.55,37.506,8,2,0,30.166666666666668,2025-06-05
135,CUST-00000135,Rose-Fowler Corp,Energy,Central,11,1904.89,511.7900000000001,39.044,11,3,4,62.875,2025-03-19
136,CUST-00000136,"Price, Long and Wilson Ltd",Real Estate,East,15,5248.97,248.82999999999996,34.916000000000004,15,7,1,60.375,2025-06-16
137,CUST-00000137,Bruce-Williamson Ltd,Construction,West,14,23342.5,2638.28,37.53,14,6,0,52.5,2024-12-28
138,CUST-00000138,"Mccarthy, Evans and Mendez LLC",Transportation,Central,11,9052.52,1611.95,39.8325,11,5,0,60.5,2025-02-17
139,CUST-00000139,Powers LLC Corp,Finance,Central,3,3910.1899999999996,892.8399999999997,35.55,3,1,0,31.5,2025-01-07
140,CUST-00000140,Allen Inc Ltd,Technology,South,5,3210.36,422.3,34.510000000000005,5,3,1,57.0,2024-05-26
141,CUST-00000141,Brooks and Sons Inc,Media,South,12,10081.56,197.99,35.734,12,4,3,19.125,2025-05-30
142,CUST-00000142,"Price, Carlson and Andrews Inc",Manufacturing,West,11,5282.9400000000005,159.87999999999997,36.56,11,7,0,27.0,2025-03-24
143,CUST-00000143,Lopez-Reid Co,Real Estate,South,6,1600.9,549.14,54.65333333333333,6,4,0,65.5,2024-10-03
144,CUST-00000144,"Ellison, Arias and Thompson LLC",Real Estate,South,7,3146.29,298.34999999999997,33.665,7,1,0,48.166666666666664,2025-02-15
145,CUST-00000145,Burns and Sons Co,Agriculture,West,13,39044.28,11324.31,38.83625,13,5,2,63.375,2025-06-13
146,CUST-00000146,Edwards Group Ltd,Hospitality,Central,5,7353.54,569.5,43.72,5,2,1,69.0,2025-05-30
147,CUST-00000147,"Brown, Howard and Smith Inc",Education,East,11,20495.23,1517.7800000000002,33.47666666666667,11,5,2,25.166666666666668,2025-06-16
148,CUST-00000148,Lee Group Corp,Consulting,East,6,5617.55,32.99,35.0,6,3,1,63.0,2025-06-27
149,CUST-00000149,"Wagner, Simpson and Cohen Corp",Technology,East,12,6827.72,1287.72,31.25,12,9,0,56.333333333333336,2025-03-29
150,CUST-00000150,Mckinney-Wallace LLC,Government,Central,7,12208.48,2318.6800000000003,39.153333333333336,7,1,1,50.166666666666664,2025-03-01
151,CUST-00000151,Miller Inc Inc,Construction,North,9,2397.36,958.9440000000001,40.0,9,3,0,41.833333333333336,2025-06-10
152,CUST-00000152,Carter LLC Co,Finance,East,6,7703.150000000001,184.05,40.215,6,1,1,32.0,2025-04-25
153,CUST-00000153,Medina and Sons Inc,Media,Central,4,3682.48,1224.2,37.68,4,4,0,0.0,2024-12-01
154,CUST-00000154,Cunningham-Barton Inc,Retail,Central,13,9907.85,988.3599999999999,37.138,13,5,3,33.0,2025-06-28
155,CUST-00000155,Dunn-Wilson Inc,Manufacturing,Central,25,19170.46,1542.21,39.90222222222222,25,15,2,21.1,2025-06-09
156,CUST-00000156,Adams PLC LLC,Transportation,East,8,8772.08,1798.0499999999997,35.28,8,1,1,22.571428571428573,2025-04-15
157,CUST-00000157,Weaver-Sherman Inc,Manufacturing,Central,13,5637.69,1785.3199999999997,37.91142857142857,13,3,1,63.6,2025-06-21
158,CUST-00000158,"Alexander, Robinson and Colema Co",Finance,South,6,6850.84,2740.3360000000002,40.0,6,2,0,55.25,2025-05-19
159,CUST-00000159,"Greer, Potter and Evans LLC",Energy,North,8,6834.15,1371.25,30.616666666666664,8,2,2,30.833333333333332,2025-05-09
160,CUST-00000160,Cole LLC Ltd,Real Estate,North,8,7362.68,134.1,36.27,8,3,1,29.8,2024-07-19
161,CUST-00000161,Gonzales Inc LLC,Media,West,6,2144.84,285.57000000000005,43.36333333333334,6,3,0,49.0,2025-06-14
162,CUST-00000162,Clark Ltd LLC,Manufacturing,East,9,5832.03,627.25,30.7825,9,4,0,12.2,2025-01-19
163,CUST-00000163,"Norris, Callahan and Bishop Corp",Construction,West,8,2795.02,751.8799999999999,38.40428571428571,8,4,0,59.75,2025-06-18
164,CUST-00000164,Martin-Taylor Inc,Media,Central,11,5919.46,1250.72,40.308,11,6,1,30.0,2025-06-30
165,CUST-00000165,Li Inc LLC,Hospitality,South,9,17415.75,3099.32,42.449999999999996,9,5,0,52.75,2025-03-23
166,CUST-00000166,"Bell, Campbell and Ryan Inc",Manufacturing,East,28,12820.11,977.51,35.391000000000005,28,10,3,33.166666666666664,2025-05-21
167,CUST-00000167,Werner-Carter Inc,Government,West,5,4013.66,916.73,41.205,5,2,1,57.333333333333336,2025-02-24
168,CUST-00000168,"Adams, Hodge and Duke LLC",Transportation,North,38,30025.15,6669.15,40.14058823529412,38,13,4,62.84,2025-06-16
169,CUST-00000169,"Ochoa, Taylor and Brady Corp",Energy,South,8,1709.73,180.66000000000003,36.0025,8,3,1,65.4,2025-05-07
170,CUST-00000170,Sellers-Riddle Inc,Technology,East,3,120.22999999999999,3.0,32.5,3,2,0,40.0,2024-04-18
171,CUST-00000171,"Martinez, Cline and Wright Corp",Finance,East,5,5963.85,302.85,45.97,5,4,0,15.0,2025-05-14
172,CUST-00000172,"Morris, Wright and Bridges LLC",Technology,East,13,11330.89,930.3199999999999,37.044,13,4,1,40.77777777777778,2025-04-15
173,CUST-00000173,Burns-Ray LLC,Finance,East,8,2392.22,546.46,38.944,8,2,0,32.833333333333336,2025-06-03
174,CUST-00000174,Burton-Brooks Inc,Healthcare,West,3,4659.74,1863.896,40.0,3,0,1,39.333333333333336,2024-11-20
175,CUST-00000175,Schultz Inc Co,Real Estate,Central,15,10939.05,1658.35,34.076,15,4,2,30.454545454545453,2025-04-19
176,CUST-00000176,Robertson-Ramirez Inc,Finance,Central,9,8342.65,1552.6799999999996,28.895000000000003,9,3,1,67.5,2025-05-27
177,CUST-00000177,Gibson-Freeman Ltd,Real Estate,East,12,10354.53,647.9899999999999,41.67142857142857,12,5,1,12.285714285714286,2025-01-27
178,CUST-00000178,"Smith, Schroeder and Oconnor LLC",Media,Central,11,18308.04,163.12000000000003,40.17,11,4,4,31.0,2025-05-26
179,CUST-00000179,"Stanton, Reid and Terry Inc",Hospitality,Central,9,4143.45,842.88,36.37,9,2,3,25.142857142857142,2025-04-25
180,CUST-00000180,Flynn Group Ltd,Technology,North,7,4830.33,1169.62,34.61,7,3,1,13.5,2024-12-02
181,CUST-00000181,Donaldson and Sons Co,Healthcare,Central,6,4013.85,652.1299999999999,35.24666666666666,6,3,1,19.333333333333332,2025-03-12
182,CUST-00000182,Adams-Clayton Ltd,Technology,East,10,2854.05,295.36999999999995,40.9175,10,3,1,62.857142857142854,2025-02-11
183,CUST-00000183,Kelley-Anderson Corp,Media,North,10,9009.21,2015.9600000000003,34.57,10,4,1,16.166666666666668,2025-02-25
184,CUST-00000184,Kramer-Shannon LLC,Transportation,East,14,15545.33,693.5600000000001,41.555,14,10,1,20.0,2025-06-29
185,CUST-00000185,Williams Ltd LLC,Energy,West,5,4777.51,845.6700000000001,32.605000000000004,5,1,2,59.75,2025-04-10
186,CUST-00000186,Smith-Noble Inc,Consulting,South,14,15252.3,4728.619999999999,42.5,14,2,6,47.583333333333336,2025-04-20
187,CUST-00000187,Alexander Inc Co,Technology,West,8,4418.57,275.85999999999996,35.39333333333334,8,4,2,23.5,2025-06-22
188,CUST-00000188,Harris-Barker Corp,Retail,South,15,8207.86,1306.88,38.14857142857143,15,7,2,31.375,2025-06-13
189,CUST-00000189,Khan LLC Inc,Media,North,10,6880.66,2489.22,38.37125,10,2,1,56.0,2024-11-29
190,CUST-00000190,Baxter LLC Ltd,Transportation,Central,7,3398.43,330.67999999999995,43.25333333333333,7,4,0,28.0,2025-05-14
191,CUST-00000191,Pena LLC Co,Hospitality,South,8,3309.96,446.22999999999996,33.983333333333334,8,4,0,20.75,2025-02-12
192,CUST-00000192,Watson Ltd LLC,Consulting,West,12,3512.91,923.7499999999999,38.26625,12,3,4,27.333333333333332,2025-04-06
193,CUST-00000193,Williams Ltd Inc,Retail,North,7,2708.87,454.1700000000001,43.54666666666666,7,1,1,61.666666666666664,2024-07-19
194,CUST-00000194,Barber-Fischer Ltd,Finance,North,7,5764.76,1878.3200000000002,36.835,7,4,1,52.666666666666664,2025-06-24
195,CUST-00000195,Rios-Padilla Co,Education,Central,72,73749.95,10923.43,37.68363636363636,72,25,9,32.340425531914896,2025-06-24
196,CUST-00000196,Lewis Inc Ltd,Construction,South,11,6117.52,611.13,39.79,11,3,1,44.625,2025-04-30
197,CUST-00000197,Wheeler PLC Ltd,Government,East,7,5050.73,808.6800000000001,42.82,7,2,0,39.8,2025-06-12
198,CUST-00000198,"Wallace, Smith and Cooper Ltd",Education,West,17,13504.75,1485.18,40.022000000000006,17,8,2,23.22222222222222,2025-05-24
199,CUST-00000199,Mcneil Group Ltd,Government,South,23,32961.31,4295.67,38.255,23,6,1,60.705882352941174,2025-04-16
200,CUST-00000200,"Anderson, Jones and Reyes LLC",Hospitality,West,9,5993.86,209.79999999999995,35.97,9,2,0,63.142857142857146,2025-06-12
201,CUST-00000201,"Shaffer, Garcia and Richardson Co",Healthcare,East,8,29198.2,7037.879999999999,43.64,8,7,0,54.0,2025-06-26
202,CUST-00000202,Taylor-Ayala Inc,Media,South,18,13423.199999999999,1610.99,37.739999999999995,18,11,0,58.0,2025-06-27
203,CUST-00000203,May Ltd LLC,Agriculture,West,13,7773.91,125.91000000000003,39.49,13,4,0,33.22222222222222,2025-06-30
204,CUST-00000204,Jones PLC Co,Education,East,12,11985.74,1150.17,34.92166666666667,12,4,1,22.125,2025-05-15
205,CUST-00000205,Bishop and Sons Co,Media,East,5,2063.31,678.15,40.913333333333334,5,3,1,23.5,2025-04-24
206,CUST-00000206,Bell-Lewis LLC,Construction,West,3,1680.26,395.4,43.55,3,1,0,9.5,2025-01-08
